"gene","p-adj-1-0","mean-0","mean-1","SEM-0","SEM-1","Q1-0","Q1-1","Q3-0","Q3-1","count-0","count-1"
"ZFP30",0.498095136359773,197.929125,217.3216,15.0092424726886,21.4255,189.572275,206.60885,214.94165,228.03435,4,2
"ZNF549",0.732485350139528,178.94185,162.4603,29.6505426799831,10.7202,142.534625,157.1002,194.312725,167.8204,4,2
"ZNF211",0.920922566091231,228.7319,220.73955,45.7713943544255,51.78365,184.265275,194.847725,234.677125,246.631375,4,2
"ZNF205",0.0829848418149105,234.05555,279.5115,12.9676757611956,5.75069999999999,213.897575,276.63615,254.076675,282.38685,4,2
"ZNF45",0.698195519374732,249.277225,254.5424,8.24488874438532,4.1944,239.36485,252.4452,252.343575,256.6396,4,2
"ZNF133",0.41058496453516,222.6846,255.42665,17.9305586973282,38.25725,199.318625,236.298025,246.487025,274.555275,4,2
"ZNF436",0.117199844984966,796.95735,1192.36095,126.846566723749,92.4186500000001,708.99375,1146.151625,961.6676,1238.570275,4,2
"ZNF484",0.606365540906938,172.636575,154.93755,20.9961031494488,5.85135000000001,149.586,152.011875,192.229575,157.863225,4,2
"ZNF780B",0.45533989446748,467.306025,386.7928,64.2631472410429,23.9158,387.470675,374.8349,510.53395,398.7507,4,2
"ZNF557",0.40702508705515,295.386675,368.3589,49.8621510625106,40.6898,235.3627,348.014,329.746425,388.7038,4,2
"ZNF337",0.961041556334482,363.32885,371.1938,88.5019716493885,118.6138,253.0101,311.8869,421.78675,430.5007,4,2
"ZNF317",0.0877544369960777,983.617375,813.6884,48.1583426517216,36.1956,917.9311,795.5906,1040.495925,831.7862,4,2
"ZNF426",0.243489467934147,227.615675,273.4164,21.8032470929361,11.9315,210.11165,267.45065,250.904075,279.38215,4,2
"ZNF331",0.292364146571479,439.9389,518.33965,38.7611091814764,46.39355,375.716575,495.142875,502.121575,541.536425,4,2
"ZNF227",0.638476969585753,257.4418,247.1196,13.3677314502125,5.54860000000001,244.058325,244.3453,274.559775,249.8939,4,2
"ZNF141",0.121842450323002,118.867,78.98215,13.4109630029564,5.24055,117.2281,76.361875,132.6699,81.602425,4,2
"ZNF304",0.889420695532723,323.9401,329.2537,19.0919909241633,35.2862,304.864875,311.6106,343.393725,346.8968,4,2
"ZNF132",0.0131276731894817,84.996625,147.08685,9.73227901815868,0.244949999999989,74.7091,146.964375,88.179475,147.209325,4,2
"ZNF20",0.196722590696791,77.97975,109.8465,12.3513010177403,14.6934,60.894275,102.4998,87.360475,117.1932,4,2
"ZNF670",0.688234638711651,65.979375,62.1341,4.47627775191528,9.5596,60.2936,57.3543,71.529825,66.9139,4,2
"ZFP37",0.00726376909202775,67.929475,112.95425,3.58270183017766,11.63975,67.446725,107.134375,71.7549,118.774125,4,2
"ZNF189",0.221523461413678,383.6466,444.50225,26.2491384222416,24.17525,340.28165,432.414625,422.46845,456.589875,4,2
"ZNF434",0.436427098034955,324.026925,266.0089,42.0149319361854,37.9347,273.181925,247.04155,349.9921,284.97625,4,2
"ZNF287",0.0344420281147397,104.553425,160.3163,11.7934541905227,0.00850000000001216,92.46565,160.31205,122.625475,160.32055,4,2
"ZIM3",0.541469885856186,0.8095,0,0.8095,0,0,0,0.8095,0,4,2
"ZFP14",0.578053328228659,243.034525,198.0327,48.9226730880712,20.3065,178.974925,187.87945,295.2944,208.18595,4,2
"ZNF473",0.649496580947353,255.032975,226.1344,39.1297008847153,8.43639999999999,216.39765,221.9162,281.904775,230.3526,4,2
"ZNF614",0.0127267772030975,283.44215,383.1138,15.3027595640732,5.74929999999998,263.35225,380.23915,295.8895,385.98845,4,2
"POGK",0.705826057114058,1443.5674,1376.9515,104.931378975627,76.7195,1335.49165,1338.59175,1476.25085,1415.31125,4,2
"ZNF514",0.463706236271678,227.61955,187.5522,21.3893742285938,61.5661,208.507875,156.76915,240.307875,218.33525,4,2
"ZNF300",0.143601109085656,80.2158,130.4063,15.005355761916,26.2062,74.4841,117.3032,93.42165,143.5094,4,2
"RBAK",0.0667076656533651,513.1411,627.23435,13.6487923659324,66.57775,497.68385,593.945475,522.1052,660.523225,4,2
"ZNF92",0.140540424709957,318.457125,206.6608,32.8637749961711,58.5364,269.7035,177.3926,350.605375,235.929,4,2
"ZNF157",0.345185497184334,4.384775,1.4807,1.77791203212036,0.8395,2.5726,1.06095,4.513425,1.90045,4,2
"ZNF182",0.826485646388724,170.004425,155.59635,35.9303386202008,48.63575,120.534275,131.278475,198.36805,179.914225,4,2
"ZNF673",0.535002682634189,223.2656,255.5422,31.7183805868143,2.874,177.7788,254.1052,249.4901,256.9792,4,2
"ZNF41",0.0625617894458953,333.437225,275.2197,15.1525213675467,0.509700000000009,326.629275,274.96485,351.86965,275.47455,4,2
"ZNF7",0.999491973942086,403.139025,403.211,70.4934332783602,17.0904,334.286,394.6658,432.199875,411.7562,4,2
"ZNF214",0.0748516031865143,36.9877,60.2981,5.87671176211663,6.7553,26.9753,56.92045,45.74345,63.67575,4,2
"ZNF215",0.206255838929156,52.0798,30.00035,9.73941330103273,1.78615,50.048475,29.107275,61.660325,30.893425,4,2
"ZNF547",0.967184750241794,51.99415,52.89475,13.5593780290309,5.07575,33.209875,50.356875,61.405275,55.432625,4,2
"ZNF773",0.103455694509949,72.7355,54.8182,5.67754545820639,0.6342,67.66145,54.5011,78.48725,55.1353,4,2
"ZNF776",0.0309951425596361,444.47795,362.42045,11.753647214482,29.28485,428.79555,347.778025,462.9153,377.062875,4,2
"ZNF256",0.551865694951801,105.101325,83.93045,20.9141487290452,14.67745,80.113525,76.591725,134.00215,91.269175,4,2
"ZNF599",0.0936213098554683,83.743125,123.2644,10.0511301393073,16.1788,73.467675,115.175,97.10455,131.3538,4,2
"ZNF18",0.157218659781327,171.32185,199.80835,10.4175736751654,8.08024999999999,162.645875,195.768225,185.216225,203.848475,4,2
"ZKSCAN2",0.0579195428298784,159.552175,208.0472,11.6315378300675,9.58619999999999,152.918375,203.2541,174.56545,212.8403,4,2
"ZNF689",0.0740813188037113,328.31595,218.7181,30.1595694809154,9.3561,309.649175,214.04005,346.702125,223.39615,4,2
"ZNF19",0.567784205501468,65.28335,49.6147,16.4852759058147,7.9326,49.699525,45.6484,70.424775,53.581,4,2
"ZNF230",0.703019725186506,113.305575,104.00465,15.0610494069069,3.65195,97.271575,102.178675,124.5588,105.830625,4,2
"ZNF222",0.685622464626059,33.695975,40.0868,9.06578723557006,8.9967,21.109825,35.58845,40.0459,44.58515,4,2
"ZNF221",0.92674843093295,58.403325,60.55115,14.0245885374803,10.21455,45.623925,55.443875,64.2958,65.658425,4,2
"ZNF233",0.825279661264218,28.828425,25.21855,9.77259605694882,7.26405,17.235225,21.586525,34.7097,28.850575,4,2
"ZNF235",0.771718027576775,105.239425,92.2521,26.2100397021948,23.3426,77.0201,80.5808,116.882525,103.9234,4,2
"ZNF208",0.0103297642480887,77.990775,173.10895,11.8989381180546,17.61035,68.339775,164.303775,91.19835,181.914125,4,2
"ZNF714",0.248161801659864,282.65415,183.5274,46.2678954752555,38.9798,237.8393,164.0375,337.02465,203.0173,4,2
"ZNF394",0.915455939041085,518.6402,534.13425,70.0930497592545,143.64705,439.6188,462.310725,545.1309,605.957775,4,2
"ZNF333",0.760691673293823,342.9132,325.41515,26.6819480392955,58.36175,318.363225,296.234275,364.793275,354.596025,4,2
"ZNF382",0.900131896821713,91.136375,95.5127,21.8227750060334,1.3132,66.5047,94.8561,112.700475,96.1693,4,2
"ZNF577",0.571668223674846,145.69,174.98895,27.9373436831719,36.93795,112.863975,156.519975,175.292725,193.457925,4,2
"ZNF75A",0.722362102987385,223.229225,197.32615,44.3366999438459,22.61615,166.39905,186.018075,244.038125,208.634225,4,2
"ZNF496",0.9848748106586,520.812475,522.33115,50.0469636385894,9.57015000000001,487.768925,517.546075,558.46285,527.116225,4,2
"ZNF2",0.988499683557777,125.5825,125.84645,11.294787352211,4.96475000000001,113.266675,123.364075,128.312025,128.328825,4,2
"ZNF589",0.406067227402865,343.947675,226.24075,80.5026022927248,63.59575,242.2333,194.442875,433.419775,258.038625,4,2
"PRDM9",NA,0,0,0,0,0,0,0,0,4,2
"ZNF12",0.577088881258304,834.334725,789.35105,29.3893929383368,97.47165,802.088875,740.615225,880.8593,838.086875,4,2
"ZNF202",0.754593585443565,242.6089,227.66205,26.5389754880754,32.99845,199.4716,211.162825,275.6455,244.161275,4,2
"ZNF3",0.509827534067571,609.2921,546.79225,54.3923153618076,46.79225,539.531325,523.396125,694.993125,570.188375,4,2
"ZNF606",0.670698467312781,157.650825,180.85855,33.6120722295917,8.18785,113.521375,176.764625,185.52285,184.952475,4,2
"ZNF91",0.296793907967104,815.1176,662.41925,49.7005322705066,168.67125,770.011325,578.083625,885.621925,746.754875,4,2
"ZNF226",0.866144003124267,235.7591,222.08875,50.5531498001031,10.16185,166.509175,217.007825,278.825175,227.169675,4,2
"ZNF229",0.0273150335318131,65.933125,133.0392,11.5640678308842,15.4058,58.57975,125.3363,73.978225,140.7421,4,2
"ZNF180",0.180856834020593,187.310675,215.3286,11.526064044256,1.4075,175.380725,214.62485,193.9071,216.03235,4,2
"ZNF641",0.450300920812393,286.315675,341.55835,41.204649978398,38.25605,237.3361,322.430325,310.590825,360.686375,4,2
"ZNF610",0.205630593105025,50.487775,70.49005,4.95605457014868,17.90905,47.535875,61.535525,56.41435,79.444575,4,2
"ZNF528",0.498294880585111,179.83015,219.29245,31.2858468072626,40.40615,144.119925,199.089375,192.872025,239.495525,4,2
"ZNF701",0.830332745725567,103.789,109.729,14.6741809505108,22.5216,96.80775,98.4682,120.6899,120.9898,4,2
"ZNF283",0.103446968588963,61.493975,79.5539,5.63506988870812,2.52370000000001,54.797925,78.29205,70.5719,80.81575,4,2
"ZNF558",0.57853863887224,329.774525,361.8146,34.1504844635079,22.6035,282.511925,350.51285,378.85345,373.11635,4,2
"ZNF597",0.4607816389328,88.708725,74.2488,10.2120862608459,14.6143,76.239175,66.94165,104.91935,81.55595,4,2
"ZNF30",0.285350830231605,87.386825,76.43215,5.69247663915204,4.04235000000001,81.977125,74.410975,88.7234,78.453325,4,2
"ZNF354A",0.518383025359519,295.5689,314.37425,17.3535023461644,8.82765000000001,278.479825,309.960425,308.841075,318.788075,4,2
