"gene","pos-neg","mean-neg","mean-pos","SEM-neg","SEM-pos","Q1-neg","Q1-pos","Q3-neg","Q3-pos"
"ZNF135",0.0617907371825024,36.3227911564626,55.8495568181818,4.58306034123393,11.2731451742337,7.77915,7.212225,36.57655,79.519975
"ZNF620",0.0681432437584664,40.2150721088435,48.0185204545455,1.91212472698456,4.44190520095802,24.3149,27.4031,50.7684,58.83375
"ZNF619",0.271183697320266,39.3486993197279,44.1048340909091,1.90259629988153,4.66591227141654,22.2202,22.6584,54.8432,61.993675
"ZNF354C",0.731621665903384,10.617487755102,11.7087840909091,1.40887039033396,3.41060643876376,1.24095,0.547775,13.33205,9.390575
"ZNF114",0.05599578616617,2.83526326530612,14.0983840909091,0.474332578272291,10.6539876986225,0.7769,0.886525,3.5388,3.28145
"ZNF454",0.151999174834493,5.65091632653061,8.54121136363636,0.751143944302915,2.69442202749371,1.12845,0.8219,6.05085,6.035625
"ZNF543",0.982495728939527,69.981825170068,69.8408,3.0938934909224,5.55079487742212,47.9063,32.46805,84.363,99.357325
"ZNF354B",0.985506719986859,62.0562292517007,61.9412545454545,2.91376865699206,6.23278013051758,38.0191,33.99355,77.01215,70.36375
"ZNF223",0.35736802237641,52.0446612244898,59.245275,2.99583049096474,10.2092623583115,30.40155,24.374175,62.94195,67.11495
"ZNF713",0.570757693563875,21.0867993197279,22.6234477272727,1.36456688671818,1.90863145248951,9.64105,13.1795,28.7352,31.14785
"ZNF552",0.445798395727444,144.064944897959,154.749484090909,6.76366904622764,11.9420016831496,90.986,96.08325,171.0752,182.3355
"ZNF154",0.0474787322240453,18.8147952380952,12.1745727272727,1.77490503948457,1.31929643517777,6.6899,5.442125,21.7905,15.730925
"ZNF571",0.656165316057269,49.5289387755102,51.5424363636364,1.90122798615798,5.28844334070876,34.99355,31.9548,60.5516,58.724575
"ZNF443",0.552741523016225,67.395668707483,64.2238477272727,2.41208983708645,5.49744726834842,48.0456,39.6608,81.43945,73.286025
"ZNF792",0.241653610087029,102.506966666667,114.882038636364,4.77231484213806,10.8244897455298,63.57895,65.347975,120.82815,140.19375
"ZFP82",0.0719852164885056,37.6983421768707,50.9567386363636,3.36356401363739,7.30100653163312,12.25955,14.1902,46.7146,63.789625
"ZNF707",0.033520242741238,207.618846938776,249.884709090909,8.80182788202782,20.9521925644582,135.57805,154.64225,248.22135,299.594575
"ZNF746",0.500036093357237,482.007184353741,511.959986363636,21.0964196114489,39.9760771534515,312.215,323.1726,564.80015,607.70785
"ZNF678",0.757640915178557,24.8130795918367,26.3878272727273,2.40683222834926,4.70437102748526,9.24275,9.862675,29.41835,24.40995
"HKR1",0.889606878756104,394.49250952381,400.204829545455,17.065159951094,49.0974196725741,263.61015,267.85485,461.50565,419.371075
"ZNF101",0.858975350655365,77.7623476190476,76.4006977272727,3.89522080508613,5.10080254451534,53.50085,49.513325,91.49745,94.323475
"ZNF716",0.113419950695525,9.22803333333333,17.6147363636364,1.97503175035501,7.05853109849834,0,0,4.3348,8.786475
"ZNF708",0.558016631892724,62.1220197278912,58.0916136363636,3.34003410755387,5.74645006440422,35.78445,28.15755,79.07365,84.028425
"ZNF721",0.460373902147662,331.844942176871,315.065493181818,10.7564617574569,20.6887169064108,237.7048,217.5779,395.19765,375.894525
"ZNF662",0.61207066795811,67.6807,75.5127045454545,7.12924812722757,15.0876447451985,17.5818,17.195425,81.09145,87.324625
"ZNF320",0.292624495266077,203.189108843537,249.793734090909,22.1236626172096,32.327885925246,34.6135,40.0522,279.00325,427.649925
"ZNF530",0.0752273080194548,44.8331755102041,55.738875,2.75714798073749,6.28376309043589,21.21885,26.218075,64.9757,66.053525
