"gene","p-adj-pos-neg","mean-neg","mean-pos","SEM-neg","SEM-pos","Q1-neg","Q1-pos","Q3-neg","Q3-pos","count-neg","count-pos"
"ZNF721",0.114590881481724,335.114062820513,296.17984,10.8733388110685,18.3435068891971,238.45405,209.68975,402.310525,367.07545,156,35
"ZNF662",0.519255521503466,71.4697141025641,60.6384714285714,6.87858971616593,17.7794062172591,18.3946,16.0405,87.169675,59.87975,156,35
"ZNF320",0.375806346907537,221.751023717949,179.044674285714,18.6557888817779,58.61047931752,44.483525,24.3678,300.649875,174.00125,156,35
"ZNF530",0.543809642563597,48.0904288461538,44.0251542857143,2.78752827930924,6.70676842295267,22.39205,22.2931,67.029275,55.94515,156,35
"ZFP1",0.852716460556082,189.218845512821,184.850522857143,10.5738743725201,15.3263056615561,109.248375,131.55375,210.595425,226.54245,156,35
"KRBA2",0.0732729283588042,25.0309583333333,18.7169028571429,1.60509961801549,1.85599710597466,12.30275,11.38915,31.961025,24.4416,156,35
"ZNF93",0.146318268931197,29.6348057692308,18.8943914285714,3.38447296179481,3.66105930887019,6.538425,3.4967,37.108175,29.26465,156,35
"ZFP90",0.651544526459377,275.979748717949,260.46752,15.8722624692717,14.8470548000032,178.387925,206.826,315.344575,308.76415,156,35
"ZNF479",0.389903991455483,0.50425,0.0822314285714286,0.231006985488534,0.0669394851222159,0,0,0,0,156,35
"ZNF445",0.332659806861944,417.58728525641,382.496465714286,16.1842280500638,24.5795376031922,277.963275,298.9657,503.417975,469.41725,156,35
"ZNF74",0.290962215523952,219.352792307692,195.490417142857,10.1889471513804,13.995195687455,141.398125,147.43525,245.91875,238.3253,156,35
"ZNF829",0.182628633799515,6.53901923076923,4.75227428571429,0.584322933084352,1.07853960101006,1.623175,0.77285,9.2677,5.9134,156,35
"ZNF267",0.437926622265064,161.420176282051,148.554334285714,7.22879190413267,13.4878746442172,103.54835,97.76575,198.504675,160.61825,156,35
"ZNF566",0.875797202917107,126.585768589744,128.29476,4.39173339903967,12.2240026067241,91.934575,85.4276,150.50275,157.55455,156,35
"ZNF224",0.54729370712753,139.343790384615,148.327037142857,5.75768965071604,18.2852055899321,84.2402,78.84015,173.123725,197.0548,156,35
"ZNF529",0.960720841217437,207.864935897436,208.929388571429,9.21997568972598,19.6985736412089,140.651,132.5041,246.1207,244.7242,156,35
"ZNF284",0.268470028850342,16.851025,20.4456542857143,1.15833579234148,4.51254050229984,7.544575,6.67565,22.1851,26.11515,156,35
"ZNF749",0.722650338211652,42.7105705128205,44.2405085714286,1.78111653898689,4.43324875411608,27.742525,27.5626,56.81925,52.00425,156,35
