"gene","2-1","mean-1","mean-2","SEM-1","SEM-2","Q1-1","Q1-2","Q3-1","Q3-2"
"ZNF483",0.260270449503211,13.9771,5.12768367346939,NA,0.64365258610967,13.9771,1.29125,13.9771,5.74045
"ZNF417",0.966679436747711,82.5921,84.5754149659864,NA,3.89598534953785,82.5921,50.15665,82.5921,109.25695
"ZNF791",0.699348203537075,139.136,113.168991836735,NA,5.5159886445824,139.136,60.0445,139.136,159.99925
"ZNF519",0.910717125168724,18.4244,16.4750952380952,NA,1.42645599362069,18.4244,6.58655,18.4244,21.23845
"ZNF25",0.15867126191863,256.0356,134.958816326531,NA,7.0245912880878,256.0356,89.54805,256.0356,160.95235
"ZNF77",0.416945599637643,34.9428,61.9985605442177,NA,2.7320028479117,34.9428,41.85965,34.9428,75.97305
"ZNF169",0.507398281738183,41.9314,29.227256462585,NA,1.57144371894498,41.9314,16.90685,41.9314,35.28685
"ZNF613",0.481379929046927,48.2846,73.3411598639456,NA,2.9177771519382,48.2846,51.9859,48.2846,89.5084
"ZNF404",0.734585697374968,22.2363,36.1213510204082,NA,3.36005726671617,22.2363,11.0078,22.2363,42.81215
"ZNF135",0.737161278809891,66.0737,43.6204292517007,NA,5.48883090521527,66.0737,8.29895,66.0737,42.83895
"ZNF620",0.332976496193031,17.1537,41.1507673469388,NA,2.03071019902908,17.1537,23.5725,17.1537,53.8658
"ZNF619",0.586412189303245,27.3189,40.8532095238095,NA,2.04036540560326,27.3189,21.5032,27.3189,56.78365
"ZNF354C",0.807199009727769,17.1537,12.1424074829932,NA,1.68487584503833,17.1537,1.09905,17.1537,12.2878
"ZNF114",0.977615867030309,4.4473,5.53465986394558,NA,3.18010169825505,4.4473,0.72295,4.4473,3.2658
"ZNF454",0.635355643826166,10.8005,5.65631836734694,NA,0.889836868897599,10.8005,1.10585,10.8005,5.56085
"ZNF543",0.760466703884116,81.3215,69.6042510204082,NA,3.15333432884701,81.3215,46.08775,81.3215,87.25295
"ZNF354B",0.864576453078255,55.2732,61.8138693877551,NA,3.14680989865319,55.2732,33.8799,55.2732,80.8265
"ZNF223",0.927748007405285,48.2846,51.0725952380952,NA,2.52293914843375,48.2846,30.5415,48.2846,63.26535
"ZNF713",0.927472620309746,23.507,21.9672795918367,NA,1.38803320488561,23.507,9.97035,23.507,30.7092
"ZNF552",0.458403935252345,84.4981,144.87776462585,NA,6.67587244635477,84.4981,92.82855,84.4981,172.73595
"ZNF154",1.86512757571755e-07,101.6518,16.1636959183673,NA,1.28358928114331,101.6518,6.52035,101.6518,20.2748
"ZNF571",0.780309724764542,42.5667,49.0555224489796,NA,1.90880172853599,42.5667,33.9797,42.5667,60.9862
"ZNF443",0.790490754301389,58.4498,66.3942918367347,NA,2.45352737775009,58.4498,46.39465,58.4498,82.3679
"ZNF792",0.762389616962134,87.6747,106.238392517007,NA,5.03755625004885,87.6747,65.24275,87.6747,121.30525
"ZFP82",0.978469000249972,40.0254,38.9835476190476,NA,3.16777469547003,40.0254,12.0249,40.0254,48.45155
"ZNF707",0.299648155149012,104.8285,205.861889115646,NA,7.97866214070234,104.8285,140.5067,104.8285,245.88415
"ZNF746",0.924756326658157,514.6125,490.606887755102,NA,20.8572215442863,514.6125,312.6188,514.6125,589.60905
"ZNF678",0.960538912713021,29.2249,27.6159612244898,NA,2.66843750690229,29.2249,9.28935,29.2249,32.4515
"HKR1",0.799754432422005,345.6163,397.481955782313,NA,16.7763297568245,345.6163,263.164,345.6163,462.64785
"ZNF101",0.745485533665857,93.3926,77.897087755102,NA,3.9165831285239,93.3926,52.0967,93.3926,93.23975
"ZNF716",0.733292756549799,0,11.4540040816327,NA,2.7577950858746,0,0,0,3.69515
"ZNF708",0.37329685149421,98.4752,61.1144605442177,NA,3.43879212986637,98.4752,32.97755,98.4752,80.9348
"ZNF721",0.633074559364739,268.9962,334.011094557823,NA,11.1707523839415,268.9962,236.2296,268.9962,397.65245
"ZNF662",0.847539239679763,78.1449,63.5574136054422,NA,6.22574664494289,78.1449,16.79485,78.1449,78.2379
"ZNF320",0.82551709195355,161.3723,213.190404081633,NA,19.2864152618137,161.3723,37.6209,161.3723,300.5903
"ZNF530",0.673876580786388,32.4015,45.9036346938775,NA,2.63199712930573,32.4015,22.3324,32.4015,67.8026
"ZFP1",0.825243065598295,161.3723,189.129045578231,NA,10.314441799095,161.3723,107.55065,161.3723,231.67105
"KRBA2",0.879397935932075,27.3189,24.1944034013605,NA,1.6897008168158,27.3189,11.67035,27.3189,31.59785
"ZNF93",0.984399812892734,26.6836,25.9842544217687,NA,2.93494267130708,26.6836,5.35295,26.6836,31.1914
"ZFP90",0.896144655715763,299.2376,272.761936734694,NA,16.6432804061616,299.2376,178.9487,299.2376,312.63585
"ZNF479",0.861825199552951,0,0.518903401360544,NA,0.244631465341381,0,0,0,0
"ZNF445",0.534738370707439,521.601,403.132499319728,NA,15.6493680573263,521.601,268.8586,521.601,494.1178
"ZNF74",0.537245300076255,134.6887,212.06262585034,NA,10.2840052547709,134.6887,136.81415,134.6887,241.2456
"ZNF829",0.943610675447523,6.9886,6.4791693877551,NA,0.591000645398498,6.9886,1.7232,6.9886,10.03865
"ZNF267",0.96088402929602,162.6429,158.146254421769,NA,7.52357458152739,162.6429,102.92365,162.6429,188.4648
