"gene","N1-N0","NX-N0","NX-N1","mean-N0","mean-N1","mean-NX","SEM-N0","SEM-N1","SEM-NX","Q1-N0","Q1-N1","Q1-NX","Q3-N0","Q3-N1","Q3-NX"
"ZNF320",0.00186900380280464,0.982305953399983,0.0018187291611107,208.341619367589,613.00225,203.60365877193,13.5368677560803,238.777449314812,24.4165798669422,32.2407,295.6588,38.785625,318.3001,953.8341,281.42075
"ZNF530",0.37823444948865,0.725712694483977,0.297382298983697,47.9661027667984,70.090675,45.1281929824561,1.96199045161097,24.4932416064233,3.37900138375667,22.5386,41.37455,22.58275,66.5557,86.950675,58.667925
"ZFP1",0.958958416481389,0.0416023378361194,0.696407729498175,175.833835573123,156.60255,213.703723684211,7.53123576998872,52.5700764566133,16.2445054385258,96.7078,109.371275,110.999275,210.5001,174.274675,247.95805
"KRBA2",0.237793520438507,0.991100262835064,0.256370485957477,22.6233221343874,37.0378,22.8767,1.17094891598073,19.3589530100847,1.32416542985217,11.2045,15.95905,13.52545,29.4927,45.33745,28.839425
"ZNF93",0.00665111490504344,0.155303659361029,0.00184779056571893,27.8643011857707,87.67275,19.7810807017544,2.71237695621648,44.4702805870861,2.1574190864355,5.1151,29.6402,4.6538,35.3357,125.4276,25.073225
"ZFP90",0,0.511098872024103,0,253.224171936759,809.6384,270.376728070175,6.42851451449892,510.130568573096,9.65614245897291,174.2523,229.3696,191.888975,307.163,973.1714,323.095275
"ZNF479",1.7099217308747e-07,0.0978340097153088,2.27942878716636e-06,0.106801976284585,5.56755,0.56306052631579,0.0373203790336267,5.56755,0.271009460642096,0,0,0,0,5.56755,0
"ZNF445",0.443034995549016,0.103676423214858,0.222168911350537,440.928607509881,564.188925,394.680035964912,13.5878293941329,130.361977777593,14.8893194470188,288.3065,351.562825,280.686825,542.2696,787.84455,494.693425
"ZNF74",0.765444321499631,0.966656457873623,0.800712566141813,220.080391304348,259.252025,223.201168421053,6.68930615415462,63.9591510467993,11.4070003682144,147.9562,178.4983,156.711725,267.4972,318.469475,248.030925
"ZNF829",0.0125048697625622,0.971392058784884,0.011630607832248,5.95931027667984,15.915675,5.78035614035088,0.437811676739768,6.90718275726737,0.610161711627612,1.3004,9.112625,1.46485,7.8969,17.3307,7.16845
