"gene","TUMOR FREE-[Unknown]","WITH TUMOR-[Unknown]","WITH TUMOR-TUMOR FREE","mean-[Unknown]","mean-TUMOR FREE","mean-WITH TUMOR","SEM-[Unknown]","SEM-TUMOR FREE","SEM-WITH TUMOR","Q1-[Unknown]","Q1-TUMOR FREE","Q1-WITH TUMOR","Q3-[Unknown]","Q3-TUMOR FREE","Q3-WITH TUMOR","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF577",0.807086341989608,0.954312618869131,0.772704441703732,91.1572,109.430288461538,100.013689285714,17.3365775893392,8.31995435821271,10.2624444013259,25.349025,31.13585,23.58905,141.97215,145.1733,138.65145,64.905642,103.179234501348,60.60625,59.0529,45.624175,79.501,29.37185,141.98835,4.07776614357549,6.12532917151729,1.58968051654658,0.974369805094359,0.668736851354394,-0.0374586688635573,"LIHC"
"ZNF75A",0.968908729019471,0.801427627918526,0.645810713212624,261.692005555556,269.495063247863,283.151427678571,21.5198179417237,8.32812747099002,14.1477012279148,201.787925,184.922275,194.844525,295.03365,322.968825,325.799475,176.464558,271.16991212938,176.7682,246.218,146.5564,207.894125,188.9981,324.48155,6.68318993186917,6.63998195134229,1.53668201253976,1.39288627705662,0.619818657289945,0.478077473140919,"LIHC"
"ZNF496",0.358500674145277,0.717434520797179,0.456030667352959,208.883777777778,158.139153846154,178.977750892857,38.5637347627111,8.74641329502353,17.1783475213189,132.135475,55.7133,64.59225,205.818125,224.461175,231.078025,119.30555,166.805782210243,112.4696,135.1248,97.83555,137.36515,62.6103,224.14025,5.10731815133591,7.86507057855058,1.39813933392237,1.20143398749529,0.483508142074003,0.264757382109482,"LIHC"
"ZNF2",0.786894130945268,0.523715718763579,0.580981418589377,93.3221055555556,88.7639034188034,85.5375910714286,7.03181229268624,1.89649521073698,2.48408248077359,71.6392,68.6346,66.85145,106.4532,102.37705,104.072075,56.818898,87.8458716981132,56.66365,84.4199,48.6793,65.546825,67.60235,104.05605,2.07936284607096,1.46582811564118,1.54606785401071,1.48984225336702,0.62860363782457,0.575159584155249,"LIHC"
"ZNF589",0.496853992029364,0.28470230461041,0.611161555449438,156.923711111111,136.380376068376,128.289092857143,17.4047759697367,5.44714022645483,4.80922257576716,106.0363,83.7454,86.620675,194.791875,156.084175,161.961875,72.291386,134.843414555256,68.02765,118.6894,49.487875,92.668,84.278,161.21915,4.58667971989788,3.89272107109062,1.86527637684601,1.74472291781357,0.899389409549728,0.802997937961185,"LIHC"
"PRDM9",0.989590193373379,0.999088244857529,0.922276563602576,2.71057222222222,3.22386965811966,2.55324375,1.58630377088271,1.19668589966448,0.628095403873557,0,0,0,2.09395,1.728175,1.360425,0.095764,2.94574851752022,0,0,0,0,0,1.6985,0.0512238225637331,0.781501357406795,30.7604999532206,NA,4.94300704663218,NA,"LIHC"
"ZNF12",0.99993388299642,0.816037824859221,0.385158110402085,431.447688888889,431.90238974359,457.640788392857,33.9265321479961,11.5072801225457,15.0888348754225,332.66775,316.51825,338.46825,509.869125,518.0587,559.618675,368.262488,439.769111590297,366.1709,419.7531,332.79675,420.237625,326.8576,531.0575,11.4216816681817,9.1302751334166,1.19417297694001,1.14633112571206,0.256011827305145,0.197023836782987,"LIHC"
"ZNF202",0.18757550338885,0.153868903203034,0.928226160903022,196.909227777778,165.724726495726,162.650415178571,24.7284380856152,4.7418241508401,6.33608847309739,138.8353,124.31055,120.868125,228.194975,187.828725,187.292275,121.905348,165.530955795148,121.3712,151.4374,101.836725,135.477575,122.26955,188.6531,4.21938617520126,3.77489038230146,1.35786459339871,1.24772104090591,0.441339620840334,0.319295419867247,"LIHC"
"ZNF3",0.76229408766612,0.762907769373106,0.998347881845682,737.334655555556,699.713582478632,698.335465178571,53.5345080521334,15.0422043000174,18.1652591934626,589.234675,550.571275,583.635825,852.54025,804.3469,809.86285,500.667678,699.705194878706,484.57645,666.7421,451.2661,548.73265,559.75995,806.21385,11.0193421163832,11.3671083018181,1.39754417076372,1.37592757551466,0.482893881590621,0.460404533124523,"LIHC"
"ZNF606",0.922229453326339,0.806868404953191,0.83940878632645,172.243555555556,182.65085,189.841855357143,13.3330570442532,7.19294794688839,11.2477175740458,135.71125,107.464825,112.010575,200.902675,236.208875,235.483125,115.127418,183.229735579515,110.48225,169.0541,88.240225,138.583875,110.4751,234.3205,5.95854229374573,5.73211696723375,1.59153865137073,1.5301471503341,0.670422194023014,0.613670399878129,"LIHC"
