"gene","YES-NO","mean-NO","mean-YES","SEM-NO","SEM-YES","Q1-NO","Q1-YES","Q3-NO","Q3-YES"
"ZNF552",0.763035384909489,267.2097878327,272.362448031496,9.08056253261757,15.8305908564565,166.7551,151.40575,326.6178,313.2064
"ZNF154",0.000599536311692073,68.8407631178707,49.0790015748032,3.5334506841736,3.73724229097369,26.77575,20.59545,94.88645,66.10365
"ZNF571",0.911319318146934,81.5988095057034,82.0542795275591,2.05349385528464,4.06524937678594,60.5502,56.5352,96.902,94.1774
"ZNF443",0.871962119812385,78.0954536121673,77.4820881889764,1.97287798209071,3.64380405892208,57.2597,51.65385,92.547,91.1133
"ZNF792",0.0967879631456615,134.773829657795,144.72717480315,3.09306883964995,5.74835815594321,98.6898,105.4397,164.0947,174.19985
"ZFP82",0.358375019717246,85.8539551330799,91.2550385826772,2.92154633726806,5.90641203827104,50.42185,57.05875,112.2685,105.58965
"ZNF707",0.295639398806317,285.500345627376,270.505104724409,8.23434802610304,11.5666483688504,192.4643,174.9964,352.53095,364.6053
"ZNF746",0.173435977940872,562.363250190114,532.386155905512,13.9600479212066,12.8134505030265,441.39755,425.60735,625.4559,605.80555
"ZNF678",0.206600521516326,60.2410984790875,56.033437007874,1.90550809671386,2.70861218484093,39.4173,36.03105,76.172,68.64995
"HKR1",0.772386810401141,620.751781368821,610.414367716535,20.2909306673533,29.5914061507139,412.0264,426.0124,763.73395,702.453
"ZNF101",0.312459572016736,115.702759315589,122.450203149606,3.40886874707258,6.51055174959298,81.6558,79.79305,142.6897,137.56715
"ZNF716",0.768180415811929,4.53816692015209,5.27297795275591,1.53803440391733,1.6435608943851,0,0,0,0
"ZNF708",0.822171615554582,158.526889353612,155.934401574803,5.14918963998328,12.7181223852916,107.5884,91.3657,191.541,172.8279
"ZNF721",0.0837905214389575,438.900486311787,408.082543307087,10.8330591310453,12.285241854265,339.2354,331.6789,505.33975,460.1541
"ZNF662",0.888212538664451,112.911391634981,111.336561417323,6.78868345411853,7.86486150241136,39.2085,40.82825,163.45545,160.2493
"ZNF320",0.910220457907643,506.105114448669,508.791724409449,12.8704335437521,21.5403919086724,362.55125,353.2337,617.3362,587.41265
"ZNF530",0.374001526832618,72.5139509505703,69.0468244094488,2.17669869457534,3.33319452419055,46.8691,43.6391,88.4135,86.08465
"ZFP1",0.570859109428321,199.026872623574,194.191785826772,5.00027114843429,6.57258483723788,148.88465,143.34905,238.4109,224.59695
"KRBA2",0.046912086384045,59.9730467680608,53.2760275590551,1.96985062218523,2.5938807463902,38.97165,32.2944,70.49535,69.507
"ZNF93",0.658751383324357,75.1278490494297,78.1352755905512,3.09463121064021,7.41012204041171,41.2599,37.1464,93.184,88.5639
"ZFP90",0.00727452968328968,508.443361596958,455.782351968504,11.7661497901572,13.9580572106686,381.5598,352.07065,603.77725,534.17615
"ZNF479",0.218822878224901,0.331258935361217,0.795434645669291,0.0954388706861934,0.505687581343938,0,0,0,0
"ZNF445",0.00529824105633769,548.538442965779,482.290866929134,13.7301947963558,18.6340417634208,405.4924,372.7149,651.2706,583.4257
"ZNF74",0.516943639526617,317.096091634981,305.465450393701,9.69732623807091,16.207503441212,221.72365,190.2375,372.26745,362.7108
"ZNF829",0.97568832060621,13.9620262357414,13.9181818897638,0.735701970457186,1.40072975428255,6.736,5.16395,16.9609,15.586
"ZNF267",0.937581129161301,412.704676045627,414.096858267717,10.3736314450264,13.8588065312106,298.54145,313.7513,499.88925,483.34605
"ZNF566",0.78998914111949,166.043097338403,168.368239370079,4.160913483167,9.13840227739099,119.89475,107.0228,198.94765,189.1456
"ZNF224",0.0377961168278311,244.188088212928,221.257011023622,6.24219665554825,9.14274144296945,168.5872,154.27485,296.7136,272.9263
"ZNF529",0.339237131282015,288.876191254753,306.961872440945,8.26428165419063,21.1607530617783,203.97905,181.01775,342.51465,323.05755
"ZNF284",0.618563828636131,47.7303353612167,46.335025984252,1.56280018337653,2.40125405621676,31.1509,28.6312,58.88655,57.43695
"ZNF749",0.729277571467036,60.6415680608365,59.5677913385827,1.63804151922256,2.89949324059541,41.73455,38.3383,73.74435,70.76875
"ZNF17",0.0486023204343102,106.412584790875,98.6203346456693,2.25662802920849,3.20774185148073,83.48345,68.7556,122.91455,120.31975
"ZNF555",0.529498578841121,67.0565718631179,65.146894488189,1.72856900376594,2.50087793267407,48.37925,47.6209,81.616,75.1412
"ZNF75D",0.0334085751327821,417.591088593156,373.540230708661,12.217886500079,15.5385293069778,289.5092,249.81545,484.27585,448.7473
"ZNF197",0.0640515429948535,310.714874144487,291.018245669291,6.10735531806482,8.54252362972956,251.7205,229.95325,359.27105,328.4726
"ZNF732",0.262613286674344,7.57066920152091,5.87876062992126,0.966538576465503,0.836860925737705,1.65385,1.28865,7.06405,5.44145
"ZNF546",0.0892007413633411,60.0241384030418,54.6707952755905,1.78197985888032,2.6123551959039,37.63155,35.4336,79.862,66.5376
"ZNF286A",0.286093250170895,211.122758935361,228.14011023622,8.2632107667344,15.2643319908227,140.18945,142.72865,238.4287,278.17435
"ZKSCAN4",0.680609422949178,132.96784904943,130.928817322835,2.6534710906331,4.53420515922919,104.7737,94.68365,159.14985,154.47935
"ZNF643",0.229150822624187,46.0212129277567,51.174242519685,2.01687100986342,4.52704959962057,26.5109,28.88805,56.55325,56.52685
"ZNF642",0.0299579360130878,101.145261596958,112.944833858268,2.37882190304179,6.04524633829736,75.86155,75.21635,117.255,127.842
"ZNF490",0.00575029319654696,189.507476806084,172.545521259843,3.58105905761069,4.71650219120029,150.01135,136.9966,219.3354,202.87485
"ZNF626",0.0427720555046697,269.690909885932,216.043119685039,15.3933661531977,20.6456049170019,95.08105,48.87145,366.4879,307.6458
"ZNF793",0.785061203646177,112.835499239544,115.742837795276,5.04544109972246,11.2266658830974,55.52065,47.87765,140.89305,131.9318
"ZNF383",0.14025273541945,79.8352787072243,86.3586307086614,2.0233922858667,4.77804806317955,58.7936,55.5514,91.2067,96.33325
"ZNF669",0.921176034068933,108.900111026616,109.357833070866,2.62180241484545,3.84389923088999,76.435,79.3509,133.1096,127.82145
"ZNF559",0.255071758154219,226.483506463878,216.146875590551,5.12656406770212,7.59041957982659,170.5536,161.912,272.1617,252.62445
"ZNF177",0.291036558621421,50.4685931558935,46.5093118110236,2.12308212917579,3.1162013688196,25.5415,20.35805,68.2736,60.3953
"ZNF548",0.171837233379132,244.967946007605,231.278888188976,5.54421163966371,8.6783701734787,189.90595,166.01425,290.9388,277.1469
"ZNF563",0.0320664210706273,49.0968463878327,43.8123401574803,1.41324514929787,1.98227858977129,33.78485,29.3327,62.5901,53.57265
"ZNF567",0.0385074398547729,143.201469581749,161.20804488189,3.742674640963,9.78970324079256,105.3959,96.2811,168.03155,178.745
"ZNF573",0.251158710279352,27.1747752851711,25.0363582677165,1.04288842101898,1.58310486983789,15.52055,13.60915,33.11315,32.32915
"ZNF527",0.730884970238811,106.407031558935,108.299043307087,2.71908089344807,5.55963299015311,75.76975,72.80775,125.98325,121.8308
"ZNF33A",0.171829947640601,962.308491634981,907.349347244094,22.3294380572288,34.6459307889306,688.43145,622.65485,1196.46625,1155.8227
"ZKSCAN3",0.731523943520463,80.3237790874525,78.752542519685,2.46165718838113,4.1706479204603,52.96245,44.9026,98.78115,100.87
"ZNF676",0.888558618922013,15.3822429657795,14.7650181102362,2.39902913450722,3.93105385591615,0.64715,0.4859,5.3687,4.53755
"ZNF699",0.237618030884357,23.1020300380228,21.3107078740157,0.834609618082442,1.32799310463948,13.44725,11.9154,30.034,27.17995
"ZNF250",0.225943919404985,234.774954372624,220.809672440945,6.52026663026612,9.60592600061791,159.0502,144.168,280.67065,287.9475
"ZNF79",0.250156393473782,100.248587452471,96.2980968503937,2.04826565070627,2.52339221983807,78.76675,75.8656,115.5809,115.56065
"ZNF681",0.2751608307494,140.452425475285,155.523657480315,6.6795590033286,14.2426589027745,80.13825,78.08825,164.60435,166.357
"ZNF766",0.224268045125171,406.108598479087,388.453275590551,7.88728817076399,13.0007388367079,317.60925,296.47155,478.40455,462.302
"ZNF471",0.00412990384847522,79.8348536121673,61.4021433070866,3.82377874371632,4.66868536692706,31.3885,19.9732,112.41735,82.2348
"ZNF836",0.00721926560560859,96.9996311787072,85.4060834645669,2.58626491338566,3.07586903362907,66.8939,63.89415,116.9069,104.25355
"ZNF493",0.119835935587351,212.666214448669,178.049411023622,11.926935635686,20.2837575277656,107.44185,87.24515,255.6654,200.3305
"ZNF167",0.653826600949274,63.8771760456274,62.0493755905512,2.27311335675943,3.49192470046237,37.53255,34.177,82.9153,79.079
"ZNF565",0.277558690792334,66.2838882129277,69.9888511811024,1.81410685575182,3.1524612544843,47.87635,48.65105,79.143,83.05775
"ZNF34",0.570753122628477,127.770219391635,123.874168503937,3.98788276399222,5.42398242318306,84.2348,83.61415,151.8681,154.5632
"ZNF140",0.658318841881537,472.435946007605,464.279403937008,10.9632725624064,13.702562374154,356.2031,358.3978,537.34495,542.26675
"ZNF658",0.0191271423190122,32.4770756653992,28.2143165354331,1.1006049151276,1.26490072808036,19.5538,16.21105,42.195,35.7716
"ZNF765",0.250201775700544,210.096490114068,220.405366141732,4.66535582464945,8.52571099712178,160.96885,161.9475,246.6193,266.7464
"ZNF124",0.610922174290506,100.238039923954,97.3540299212598,3.21805366048927,4.6935059372692,60.74305,63.44205,126.7686,115.65525
"ZNF569",0.813012933625975,100.44666730038,101.957796062992,3.20553044866635,6.35518960725829,67.22095,61.5155,117.96385,122.62285
"ZNF777",0.845554909626726,448.608819011407,445.426248818898,9.62748902835032,12.4279844984403,353.6372,359.4121,528.4659,516.2847
"ZNF605",0.103241055473694,387.343668821293,359.517722834646,9.75626259432378,13.890183892326,279.8251,253.40145,453.1959,452.6708
"ZNF799",0.767476025814587,124.115682889734,125.873875590551,3.08792784739554,5.68004588160991,92.9143,85.21415,147.1031,151.8845
"ZNF782",0.024910247566008,52.1101593155894,46.7403763779528,1.40688032400752,1.81341203697887,35.609,31.15245,65.952,57.85125
"ZNF846",0.940071036218209,73.5940543726236,73.9015023622047,2.16997280813956,3.79565034270134,45.9608,42.2911,94.08745,93.93775
"ZNF136",0.094457352655517,186.849649809886,174.642642519685,4.24262635240397,5.7090030937831,136.9505,132.4138,224.51315,211.6023
"ZKSCAN5",0.613129433808683,340.132578707224,333.85021023622,7.05660941756544,10.2790126016461,277.91,258.24185,382.19505,379.1358
"ZNF33B",0.571274263201489,674.755929277567,655.930858267717,18.4680710921371,28.6907855053392,453.371,434.5931,838.26385,761.8912
"ZNF431",0.191669224735785,222.289866159696,201.070561417323,8.61620367832044,15.0627001787381,133.8394,109.25075,280.92095,240.95375
"ZNF418",0.203996090700915,63.3721718631179,55.5568196850394,3.52946708824724,4.97020051159866,22.06285,13.28215,84.16315,87.7227
"ZNF700",0.000896284569396388,285.374504562738,243.915541732283,7.38118172772272,9.16483237019908,198.64265,172.3217,343.70505,294.467
"ZFP28",0.0144097985651865,140.006562737643,122.733953543307,4.12543369289999,5.4093462526784,95.1553,80.85975,176.54405,168.17145
"ZNF585A",0.0892524075775868,138.303525855513,152.04267480315,4.08893688387956,7.94130864416634,98.3208,98.0462,163.38295,180.0944
"ZNF138",0.39684287557994,194.599193155894,204.07931496063,6.40541300946602,9.09532952532278,125.2719,140.58235,233.23225,255.5479
"ZNF429",0.288989657415713,126.0664,117.796322834646,4.10960397585656,7.2974014266883,78.76435,67.2675,151.867,149.2235
"ZNF470",0.00397673226828177,145.498577946768,124.941641732283,4.13246602463412,5.56780485309126,98.59975,81.8602,176.67045,160.21695
"ZNF100",0.891999811162665,213.746019011407,211.411626771654,8.27340124250981,17.8410101846813,134.28485,113.74555,268.25725,234.1253
"ZNF398",0.00510611819577145,449.107617110266,408.740931496063,8.38164626244983,11.1404016723421,363.8439,313.17975,512.2641,474.7309
"ZNF498",0.357438696179994,387.144693155894,374.461223622047,7.75172664028337,11.6094398105584,313.3212,292.0449,445.5547,436.73985
"ZNF441",0.00220516900850565,125.42637338403,105.641488976378,3.86549595979138,4.60996008359739,80.00165,68.94115,159.70335,136.63175
"ZNF420",0.415713636311364,135.040533079848,142.027292125984,4.37791100690987,8.37697461519076,86.3524,85.45785,167.6618,160.45845
"ZNF763",0.00304042785818681,54.3336543726236,45.1653220472441,1.89038193253651,2.05827241932151,32.44935,25.3546,69.0568,60.6147
"ZNF679",0.784434473207761,1.01035323193916,1.22229212598425,0.451873314781475,0.604637993413516,0,0,0,0
"ZNF682",0.0716733263832504,115.515168821293,91.295025984252,7.67212261742563,10.9529678106804,37.2463,27.4318,143.9782,104.88945
"ZNF772",0.316145523690793,169.045444486692,159.472366929134,5.21866592408761,8.4634667685245,111.19885,92.09565,208.4646,216.2851
"ZNF257",0.625611612571116,36.4343958174905,39.8710779527559,3.27003610909571,7.53764590627588,6.98375,4.94355,46.5617,44.14815
"ZNF785",0.000152452905735068,219.861848669202,179.518463779528,6.27484043572729,7.84148068931927,151.09995,109.43055,260.9786,223.24275
"ZNF98",0.497936236891877,8.22240760456274,9.91654409448819,1.26474164421398,2.46234912521793,0.4645,0,3.8591,3.30045
"ZNF786",0.430785722294725,191.360374904943,185.141767716535,4.44002773999017,6.64954653032652,145.29075,131.9884,222.5394,229.8026
"ZNF517",0.465327188042526,266.678057414449,254.847162992126,9.20512084969731,13.3914078320137,172.3879,147.46615,310.76955,322.827
"ZNF675",0.123366350197767,172.207266920152,196.609593700787,6.21396341154349,18.7704351195624,112.761,108.29485,197.53735,188.3362
"ZNF860",0.487913965554428,62.9474228136882,59.7067456692913,2.74634424927452,3.57258648484008,33.803,34.9649,80.6478,69.68815
"ZNF695",0.0866887441830997,31.3428292775665,41.1409669291339,2.59194951956874,6.21742965212245,2.9894,6.1757,49.77175,44.27525
"ZNF665",0.0633590652862035,26.9027897338403,23.7028078740157,0.943679502204721,1.51608617017803,16.43735,11.9032,36.7126,30.1687
"ZNF624",0.275087104032673,78.0123429657795,81.7816220472441,1.74956625458736,3.39364400898539,57.9755,55.78885,93.49595,98.58105
