"gene","p-adj-gender-FEMALE","p-adj-MALE-FEMALE","p-adj-MALE-gender","mean-FEMALE","mean-gender","mean-MALE","SEM-FEMALE","SEM-gender","SEM-MALE","Q1-FEMALE","Q1-gender","Q1-MALE","Q3-FEMALE","Q3-gender","Q3-MALE","count-FEMALE","count-gender","count-MALE"
"ZNF641",0.894365993721139,0.16284861252187,0.142006741734699,184.899444444444,180.0170585,157.102383673469,10.81655134051,4.06011539865313,8.53336942643037,129.34565,122.722975,114.6712,222.22225,228.6391,184.2105,63,400,49
"ZNF610",0.18527183580085,0.977424071487509,0.160935892766008,76.627946031746,65.93636075,78.3682183673469,4.77109777999804,2.19641318652843,8.4228208982907,47.79175,32.792475,30.1164,98.80985,88.401025,103.9239,63,400,49
"ZNF528",0.00379213213829221,0.656922311180678,0.173707538892949,317.712698412698,248.9217445,291.53562244898,20.323484900501,7.69699517579964,25.3754898379683,207.05125,145.229525,162.768,390.53645,315.8156,377.6617,63,400,49
"ZNF701",0.911112953768431,0.323077091775154,0.0763872176575867,134.44750952381,138.0554905,116.731402040816,6.1662462626618,3.43527005880171,6.61044333672537,107.8534,93.0604,79.9398,151.03525,168.711575,148.9756,63,400,49
"ZNF283",0.962326133129484,0.855508337866365,0.636603320653303,55.094553968254,54.07891175,57.9726693877551,2.88066914235841,1.44248703655294,4.40710084597674,38.0055,36.0254,42.0208,67.915,64.53675,66.8191,63,400,49
"ZNF558",0.182297225681877,0.173176242378742,0.778533414935917,363.523979365079,327.61763525,312.304526530612,19.9039263651289,7.63275623028979,16.1332313694504,268.10925,220.891125,237.7999,415.3932,413.978525,355.2756,63,400,49
"ZNF597",0.979312606642547,0.832664606820858,0.845867030672617,61.2904126984127,60.35911275,57.4151714285714,3.63781821583582,1.81475150117625,4.89372647679857,41.44015,40.748425,38.7586,78.3612,73.44885,69.8104,63,400,49
"ZNF30",0.724670408544128,0.724423294174955,0.226433373666143,97.0901031746032,90.9185945,105.767153061224,8.10160166143827,2.98882018116984,7.17212833074531,66.0291,56.11825,76.9283,104.1595,107.885725,116.9245,63,400,49
"ZNF354A",0.619564371303021,0.858085666907038,0.98376434176301,268.236988888889,253.79058125,256.769408163265,12.2773192964309,5.86892563375083,15.34646131209,198.88235,181.920325,181.9213,321.98555,294.2875,295.4866,63,400,49
"ZNF764",0.894856691318715,0.238047329307092,0.0396906180094793,213.2592,208.62476175,236.756293877551,8.4604849307859,3.75063438637799,13.4637402319172,168.31925,159.76095,188.5965,242.0908,242.692075,260.2267,63,400,49
"ZNF747",0.819331445346663,0.780278360385951,0.350280629228794,252.329984126984,243.7155185,265.839514285714,12.2649893529732,4.65571705049582,26.3621302772097,199.56335,186.5421,201.6544,283.5707,280.698925,274.9653,63,400,49
"ZNF778",0.672380016682473,0.999007787041029,0.694418653927571,98.6644174603175,92.42291975,99.1025387755102,6.30481473258248,2.75357097449044,7.44062624034556,66.2737,57.975475,64.6042,117.6176,111.797525,120.7869,63,400,49
"ZNF212",0.210162628495179,0.990293113420496,0.213666551585641,438.403023809524,404.63633825,442.138753061224,20.3199752762081,7.15511663624513,23.3469196573743,338.5193,307.1619,344.9456,498.7167,468.630275,538.4615,63,400,49
