"gene","p-adj-Magnoid-Bronchioid","p-adj-Squamoid-Bronchioid","p-adj-Squamoid-Magnoid","mean-Bronchioid","mean-Magnoid","mean-Squamoid","SEM-Bronchioid","SEM-Magnoid","SEM-Squamoid","Q1-Bronchioid","Q1-Magnoid","Q1-Squamoid","Q3-Bronchioid","Q3-Magnoid","Q3-Squamoid","count-Bronchioid","count-Magnoid","count-Squamoid"
"ZNF214",5.29887511913074e-06,1.61137502040498e-05,0.887537939908286,57.5628705128205,33.9764,36.2484986111111,3.56532457144469,3.19296827848781,3.09647681318417,32.94975,11.921225,17.16085,74.60855,49.240575,48.562775,78,60,72
"ZNF215",0.544817380854679,0.975692816149852,0.436103099100021,39.2675705128205,45.8780883333333,38.0043277777778,3.41751982109143,5.82217180833774,4.12272133943657,16.726375,12.357375,9.56275,55.55945,63.535725,51.76,78,60,72
"ZNF547",0.00123396872417048,0.0900904685886805,0.27228126454705,42.2972756410256,30.797285,35.8463680555556,2.37368509334921,2.61622022756342,1.67303129122662,30.523975,16.701225,25.7868,48.83245,41.03,43.37615,78,60,72
"ZNF773",0.0189465996696208,0.424742340108341,0.288603659742448,121.772041025641,97.1699516666667,111.031780555556,6.10178847836818,7.91227173896886,4.96756668733581,90.272225,56.76545,80.486875,152.0015,123.01995,131.245175,78,60,72
"ZNF776",0.0436350630403638,0.00680373095375741,0.871877044527181,395.150975641026,341.356036666667,330.0419625,13.7630490575396,18.7412624201072,14.6820324686303,316.73635,242.588425,256.8497,482.275225,451.843675,393.40025,78,60,72
"ZNF256",0.812923125394694,0.00747354814599177,0.00198411581304336,69.8782474358974,65.2249783333333,91.8321722222222,3.93795070916265,7.11937137254791,5.06851074393552,38.25135,21.70755,66.09245,94.6237,85.7357,109.265275,78,60,72
"ZNF599",0.00215339697663941,0.696760214904548,0.00016160359343842,91.7806102564103,67.55749,97.2428055555555,4.47220399194957,4.40126489055462,5.64726230098569,68.941525,44.502275,66.49555,111.465875,85.0463,120.3464,78,60,72
"ZNF18",0.996652286065852,0.0711375376842298,0.0830922643591389,156.391466666667,156.95642,141.126041666667,4.17606813408757,6.90838151553007,4.30359085100331,128.7293,122.606175,111.50095,177.803225,171.909325,160.432325,78,60,72
"ZKSCAN2",0.039020802364216,0.256194017197566,0.000390471340821597,187.582082051282,220.754645,167.284568055556,7.73435620050065,12.9651261775923,7.95245826796445,143.3742,145.141175,123.107025,213.638625,266.8817,192.574975,78,60,72
"ZNF689",0.741525443020418,0.178639439400076,0.615432548125196,163.273046153846,155.235518333333,144.802861111111,6.69498421085134,9.95871990907344,6.4646350334044,128.76355,109.464725,107.177525,195.720975,195.30245,180.418125,78,60,72
"ZNF19",0.00132206133152224,9.68013187385708e-08,0.149077506196339,98.0672358974359,77.88311,67.0783527777778,4.03877877843482,4.60421240321074,3.20129359533987,72.330125,50.897925,47.417125,116.197975,105.16315,85.75855,78,60,72
"ZNF230",0.495628763340368,0.994151207810512,0.5680033052743,98.6207564102564,91.5277466666667,98.0054902777778,2.99587478681665,5.63191136927859,4.62903366332815,77.26315,66.3007,73.331725,118.197825,113.56115,114.934475,78,60,72
"ZNF222",0.761848777023904,0.46091172796013,0.906956367048919,64.7559397435897,68.7387333333333,71.1662277777778,2.97168170993003,4.40588323818802,4.49781809593503,47.650375,45.38155,46.929075,81.469075,85.716725,84.5754,78,60,72
"ZNF221",0.691377695530063,0.661693369265421,0.999982897694384,12.2743525641026,13.6852733333333,13.6950347222222,0.883373568714756,1.52432139760147,1.24290260769342,6.5755,5.501175,6.170525,17.084825,18.6721,17.027425,78,60,72
"ZNF233",0.563899222103086,0.521302639021774,0.109239450520757,27.8490782051282,32.41386,23.2147958333333,2.51099578711698,4.68012050295885,2.19686093874511,11.2216,8.485675,9.132825,39.37195,46.09455,29.0745,78,60,72
"ZNF235",0.115696141427636,0.992676076275504,0.0988803321074264,66.1234551282051,77.1942566666667,65.5139402777778,2.40255314924988,6.031264957144,3.20446423884472,49.887475,46.999575,42.17765,79.248475,89.306775,84.054575,78,60,72
"ZNF208",0.528372605515268,0.855863155241593,0.840123449251303,43.0534666666667,25.2970683333333,34.7235888888889,14.6701676533602,8.08830064724949,8.60027397169294,6.98685,5.3995,4.734,21.850475,15.525475,26.4331,78,60,72
"ZNF714",0.993530569925951,0.0416380228332567,0.0474392554528189,181.397644871795,178.600461666667,241.105709722222,13.8028683032696,18.3367806412977,21.3532706355545,82.846025,94.611625,139.680125,250.423175,221.790225,301.074025,78,60,72
"ZNF394",0.450939199163428,0.754515193720678,0.154918583227555,446.735120512821,414.023291666667,465.209238888889,10.8027615575344,20.8981735093144,23.8898629174208,376.7496,319.81465,338.428375,504.85845,455.74405,507.81005,78,60,72
"ZNF333",0.105405676346293,0.108765077028028,0.993315939063726,151.703556410256,132.117926666667,133.196086111111,6.26010776370121,7.08379815823072,6.77058228127716,106.2092,99.8348,90.812625,183.652375,149.01645,158.6485,78,60,72
"ZNF382",0.0768519808144614,0.147377998200781,0.000382314638195824,30.0243115384615,21.7100166666667,36.8414777777778,2.16809025730928,2.19001171521796,3.33378731565087,15.445825,8.881875,15.9328,40.62895,27.3408,47.515225,78,60,72
"ZNF577",0.50595225415497,0.983603356656959,0.421097084026867,93.0041243589744,121.409266666667,88.804975,7.46170354970032,33.1733162540761,7.99187924690334,55.54655,41.3661,42.407975,109.52875,107.495975,115.3538,78,60,72
