"id","baseMean","baseMeanHealthy","baseMeanTumor","foldChange","log2FoldChange","pval","padj","medianHealthy","medianTumor","IQRhealthy","IQRtumor","SEhealthy","SEtumor"
"ZNF300",163.398625075974,348.614216990479,93.241203896237,0.267462425087453,-1.90259186859843,3.75923427213852e-11,5.30991840939567e-10,431,43,214,54.5,31.7740523068746,13.3482476450618
"RBAK",1013.91928222082,805.617945706368,1092.82130362781,1.35650069546256,0.439889787273399,0.00144128769424112,0.00448253695731872,922,1071.5,444,497.25,55.5232840047008,54.552437295857
"ZNF92",563.42405320102,344.384836723633,646.393453381848,1.87695097011654,0.908390964450302,1.12566061393001e-11,1.73454067328306e-10,398,612.5,127,564,22.90567615243,48.2283249257063
"ZNF157",6.4832732094045,15.9478166882598,2.89821886135326,0.181731387938942,-2.46012047711468,0.000133120008670517,0.000571236492902599,15,2,14,2.75,2.41873245041006,0.620139502656314
"ZNF182",513.256114806013,425.488507755752,546.501420506869,1.28440935664609,0.361105079937877,0.0182535623522236,0.0391642888443278,479,516,159,262,23.4642991229939,24.8941115583671
"ZNF673",575.807620140471,549.543558621611,585.756128291555,1.06589572218947,0.0920663044772074,0.621884796763357,0.719518587381495,624,538.5,143,211.5,22.7995409310509,21.7813004129596
"ZNF41",917.86289637803,676.77231669387,1009.18508565233,1.49117370902868,0.576448329087991,3.50233872837302e-06,2.15871423439719e-05,750,1016,320,620.75,34.3365655436494,55.0190257793736
"ZNF7",886.014990886791,820.045139822058,911.003570835554,1.11091880994897,0.151753383095926,0.537897500005653,0.640440035543022,919,852.5,246,356,31.5801878820672,45.2675660083041
"ZNF214",104.448783263464,198.078787345873,68.9828726261885,0.348259768501788,-1.5217642746626,3.48107126641142e-15,1.07280287210316e-13,209,56,129,65.75,16.8310744358958,7.12662889754931
"ZNF215",63.1717628276032,127.532244861262,38.792792360308,0.304180267527708,-1.71700152783176,6.32658694563285e-09,6.79081863720318e-08,125,15.5,88,33.25,16.4237713898686,6.37283606299164
"ZNF547",132.314129112964,123.046868532382,135.824455090457,1.10384324859687,0.142535316565329,0.911780716241041,0.951538697000506,138,120.5,78,82.5,13.1484751967671,7.77371595469606
"ZNF773",369.949240512802,244.669395343065,417.403727319521,1.70599075840383,0.770609831391796,3.63254649350797e-07,2.67702882891131e-06,290,438.5,112,249.75,18.5252548340547,21.3627926398553
"ZNF776",1050.47300199366,984.207473947517,1075.57358079902,1.09283216117537,0.128071846725151,0.17841541484482,0.277444154277036,1165,1099.5,347,725.5,43.550265211592,55.7440395104978
"ZNF256",304.13892853209,220.851515887001,335.687190897653,1.51996779170584,0.60404075311717,0.000236090201784023,0.000899264925896446,261,332.5,86,149.25,10.7074242156241,16.3507763721059
"ZNF599",272.572648589576,336.597656362273,248.320751705979,0.737737613474991,-0.438820301701405,0.000991779176510465,0.00323281866189469,398,225.5,115,159.75,16.1503684168504,13.8842739383732
"ZNF18",317.199518085085,337.848088899748,309.378089746197,0.91573135948092,-0.12700366598399,0.0849936228832271,0.152448879139757,387,266.5,110,121.5,15.8742222906615,11.7937665439388
"ZKSCAN2",627.165945999082,387.304709614825,718.022474932513,1.85389554298626,0.890559958169925,7.59713186280403e-10,9.9054911595791e-09,442,707.5,181,365.25,29.6430047959604,34.7955300504612
"ZNF689",389.220947585749,430.15268025919,373.716503391264,0.868799662403776,-0.202904552344181,0.20251382514994,0.309244084350584,497,377.5,182,241.75,29.9142708418574,22.4400398742947
"ZNF19",216.983468517474,248.595681966476,205.009145241336,0.824668970995973,-0.278112969154062,0.0369292889536606,0.0727850520656449,286,202.5,117,125.75,18.8982962195008,10.1401118849868
"ZNF230",217.593131783399,252.577589654476,204.34144319587,0.809024440669525,-0.305744807683154,0.048561439478555,0.0935359544501713,300,210.5,156,111.75,17.4558376099993,10.4734742999563
"ZNF222",150.927896012599,166.336928458194,145.091141298358,0.872272577371924,-0.197149060145022,0.346880477826114,0.461146988168834,199,146.5,36,84,6.37387375672492,7.9825932422863
"ZNF221",38.7959721291445,43.5701961651001,36.9875539337068,0.848918691886314,-0.236301713582264,0.450534593301461,0.557413237697793,45,35.5,39,35.75,5.3248849752835,3.13273271578661
"ZNF233",147.880303756273,70.945833577861,177.022148520823,2.49517328352406,1.31914001059254,2.70883895646912e-12,4.37284002972872e-11,81,166,74,148,8.61202260408862,11.9913134308191
"ZNF235",182.815995776258,203.429258384556,175.007941757963,0.860288943427862,-0.217106798749192,0.127476719910249,0.210802966095484,221,167.5,79,79.75,14.4318259413007,8.11232966740257
"ZNF208",433.848642541015,222.096595403232,514.057751305326,2.31456835424252,1.21074316918437,0.00769926639284271,0.0190514693954283,214,311.5,183,711,29.8059278220513,80.5568607625785
"ZNF714",555.005816805749,223.211479933775,680.685489863316,3.04950932660484,1.60857712824221,2.02304978971859e-23,1.7145346967865e-21,245,701,118,617,19.8736005796635,50.5526707744217
"ZNF394",1320.42371769122,998.648412240311,1442.30830308929,1.44426034769705,0.530330831197155,0.000428109451832125,0.00148090922623562,1095,1357.5,190,475.25,33.8846828719605,46.6265704293239
"ZNF333",369.626940796664,417.149702542639,351.625894680765,0.84292495604698,-0.246523898308453,0.0353001000459419,0.0703925524445548,438,336.5,168,182.5,26.6099780784076,17.5774539009384
"ZNF382",161.966193732159,95.7243450248655,187.057803090982,1.95412988244935,0.966526360109909,1.24384319543683e-05,6.62599073126974e-05,116,183.5,34,177.5,6.24134600867473,14.2091228988182
"ZNF577",425.264637330462,555.443858282358,375.954326363835,0.676853872372319,-0.563083694409272,0.00482159265563227,0.0126706969787546,656,330,273,236.25,34.1906556435137,28.5795947585234
"ZNF75A",718.105435859373,713.275022023796,719.935138069819,1.00933737456154,0.0134084809382364,0.66096749085875,0.746893264670388,755,633,272,379.5,37.7049068424787,37.0701905203791
"ZNF496",576.241649065714,788.575997917826,495.811971470217,0.628743422040957,-0.669456693469846,0.000460490997674615,0.00157683281021914,838,457,352,237,51.32518939728,34.8297166953357
"ZNF2",266.850748121295,285.775456866078,259.68229783918,0.90869349204076,-0.138134348413401,0.150445830930193,0.24057139945913,347,235,140,109.25,18.4389153694028,13.3694182186429
"ZNF589",453.727016317874,563.605307384233,412.106451520011,0.731196896339837,-0.4516681481848,0.000138737263421638,0.000580641139505373,578,377,373,203.75,55.0449476942859,23.4881582749292
"PRDM9",3.31521207451236,0.806095329786727,4.26563508387814,5.2917253409801,2.40373818265039,0.645531160489866,0.736818395306615,0,0,1,0.75,0.323934149686836,5.66231119154978
"ZNF12",2084.25518622354,1564.50841101669,2281.12896471099,1.45804838673165,0.544038597675463,2.54468413066177e-05,0.000125021437723817,1818,2271,637,1082.75,77.194916067489,100.044961655333
"ZNF202",465.435204680898,483.83008552518,458.467446785336,0.947579450929941,-0.0776811820446732,0.277801904343684,0.38405347549854,535,403,145,256,25.5660008605179,19.8975226544446
"ZNF3",1773.67129470043,1416.28622782244,1909.04442609361,1.34792274936458,0.430737816770369,0.00244119118182721,0.00683937033586302,1585,1868,334,787,50.1425301847976,70.7318307436043
"ZNF606",633.855347652678,626.540218275333,636.626229992581,1.01609794778221,0.0230394788508604,1,1,730,669.5,160,371.75,36.6133400097105,28.6562417902947
