"gene","p-adj-NO-[Unknown]","p-adj-YES-[Unknown]","p-adj-YES-NO","mean-[Unknown]","mean-NO","mean-YES","SEM-[Unknown]","SEM-NO","SEM-YES","Q1-[Unknown]","Q1-NO","Q1-YES","Q3-[Unknown]","Q3-NO","Q3-YES","count-[Unknown]","count-NO","count-YES"
"ZFP37",0.36455141970864,0.195867584197663,0.559729914980926,31.004475,53.0285843137255,67.9955,14.8875244420384,3.12399886575953,16.6192347117429,5.8805,28.915975,39.7417,56.252475,78.516375,89.9432,4,102,5
"ZNF189",0.880472834221912,0.96238945981718,0.627971658842092,389.638575,435.317521568627,356.66686,35.7258771335609,18.7676000576904,72.9697560392701,354.443875,337.9696,253.4637,441.53795,493.17235,482.0259,4,102,5
"ZNF434",0.999960005880856,0.836250696557409,0.676228962856851,372.890225,373.448578431373,323.69568,18.6156878687652,12.761855930844,72.2851828724698,358.28105,303.823875,197.5857,389.315875,429.117075,468.0541,4,102,5
"ZNF287",0.208983293417338,0.863817871571853,0.492329352514028,85.116475,125.688185294118,101.29476,28.1882104103345,4.65564113611275,12.8210462652858,63.074025,92.1687,80.4769,125.51185,159.7716,124.2905,4,102,5
"ZIM3",0.978005217329518,1,0.972837124012726,0,0.00553921568627451,0,0,0.00553921568627451,0,0,0,0,0,0,0,4,102,5
"ZFP14",0.284375409315027,0.414078799177907,0.984498869904021,271.628375,204.27143627451,197.57912,20.9527071125815,8.42621899346138,61.9403524846558,248.872125,146.773075,64.5802,287.25255,261.5357,297.3809,4,102,5
"ZNF473",0.999724795401728,0.999993949383164,0.999779224566488,245.717675,246.735275490196,245.91624,35.1400039557097,8.9303468255583,35.9324876749523,189.482925,185.21485,234.9003,291.4829,273.535625,282.492,4,102,5
"ZNF614",0.880816545077372,0.572262005604253,0.613340885262003,210.1403,188.321635294118,149.74874,46.9854856105053,8.93138624184806,22.3830146636372,138.372775,140.31215,101.3413,287.758675,211.8602,169.5192,4,102,5
"POGK",0.811891715446841,0.481574279058588,0.572789751663682,1694.433575,1960.90822156863,2353.38582,139.827179692334,79.4440012566637,794.60549756015,1625.8982,1410.462925,1171.2997,1850.576025,2344.131925,2438.0809,4,102,5
"ZNF514",0.904748405844696,0.999994497438556,0.881315810649181,233.899425,262.539924509804,233.62014,63.5931013422496,12.9654028077966,69.0414869457966,144.757125,163.5608,113.0762,289.5881,345.9225,326.59,4,102,5
"ZNF300",0.776112309350762,0.991676888407842,0.833499065835756,131.0303,98.1591578431373,123.18706,17.9556715582663,9.41289147688588,53.4505184655827,108.8973,30.51955,56.538,157.57605,139.45665,105.3704,4,102,5
"RBAK",0.411140206434981,0.28009222046043,0.689946826911962,547.0833,445.697755882353,387.02246,204.98480949074,14.0990470042024,58.207160999731,362.08645,341.499975,307.2535,594.6802,546.78575,451.5878,4,102,5
"ZNF92",0.531241467726698,0.506423711610607,0.900062047837225,890.892175,549.176976470588,424.32308,256.423949626673,62.8703342692856,149.988665061692,511.183875,217.30845,237.4565,1202.76715,555.740325,581.8515,4,102,5
"ZNF157",0.860586251960497,0.820052247270463,0.952130493543343,0.94145,1.39731862745098,1.63132,0.454282214964809,0.171435200002519,0.75322498458296,0.294825,0,0.3968,1.536475,2.5458,3.2019,4,102,5
"ZNF182",0.876810685206473,0.362468351883382,0.316057566451293,235.6258,212.744907843137,151.47626,40.4574154897673,9.17936112678493,34.2247640192975,200.320975,148.1322,107.7993,291.167325,269.916725,169.9267,4,102,5
