"gene","p-adj-2-1","p-adj-3-1","p-adj-3-2","mean-1","mean-2","mean-3","SEM-1","SEM-2","SEM-3","Q1-1","Q1-2","Q1-3","Q3-1","Q3-2","Q3-3","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF641",5.67879077095768e-13,1.26271770817254e-10,0.306767493690309,111.334576785714,167.97892952381,157.805686086957,4.20508298636123,5.42951672817338,4.96537278671756,81.88715,126.6888,124.19015,134.325,203.138,189.09105,138.345796153846,122.99253501006,136.73045,121.3626,97.694275,177.8069,77.2219,164.0321,7.3822003664929,2.90691888175364,0.889022568298987,0.887604772748133,-0.16970805180559,-0.172010669802246,"PRAD"
"ZNF610",3.96557231496786e-11,0.639118214674165,5.89562354491591e-09,179.921665178571,245.720647619048,188.192968695652,6.16250898321906,7.57841211117574,5.97957875072735,138.21525,186.7357,139.961,209.794375,291.1498,222.95395,136.753434615385,194.113284305835,133.23405,182.6426,96.70395,158.236075,140.7286,235.9914,7.56479617912794,3.53872474843084,1.41943992011443,1.37084026193004,0.505321786161767,0.455060469915305,"PRAD"
"ZNF528",0.00337748117887371,0.999948206612669,0.00325111703543834,374.166848214286,422.915479047619,374.307977391304,10.0134691544544,12.5413942689304,8.7056922731305,306.709325,325.3675,311.2041,430.69255,512.9959,434.167,349.501892307692,375.946790140845,334.10665,357.2331,291.18605,413.826875,297.4699,442.5963,12.3435066292767,5.45888974489844,1.075664534056,1.06921876592399,0.105228216821816,0.0965570637447873,"PRAD"
"ZNF701",0.0542305106556555,0.00164042657392194,0.522788028169861,131.514624107143,143.800164761905,149.516043478261,3.92757402710913,3.77749683192159,3.4014962487741,101.6103,115.4292,122.63165,151.84555,160.8337,174.15875,135.7531,129.300865593561,142.15775,130.078,105.13335,163.321825,98.4316,154.0453,5.05255872938194,1.98139628917864,0.95247081351042,0.915025737253157,-0.0702532099967997,-0.128115771725335,"PRAD"
"ZNF283",0.000208726292505901,0.00318327056707179,0.693981022576565,47.7991651785714,56.1338247619048,54.4567147826087,1.51391974128889,1.54143613046286,1.29605503224851,36.86625,45.6833,43.71305,54.136025,65.4636,63.867,44.6005596153846,50.1828241448692,45.10465,48.4452,36.845875,52.18755,39.4655,59.4771,1.56455861559448,0.697735542729877,1.1251613113742,1.07406220866363,0.170131851607957,0.103077555270631,"PRAD"
"ZNF558",0.705462714984453,0.554586165942957,0.974248383364704,334.799875,344.068582857143,346.584270434783,8.17928187461953,9.6409861638249,6.58172698161023,270.874075,280.7331,297.36635,387.252425,404.1243,394.7526,319.656330769231,326.28568470825,326.6046,317.8259,280.815475,364.8207,267.4095,381.1999,8.55594181561511,4.22274360344224,1.02073900405184,0.973121321622537,0.0296140261618103,-0.0393084140413055,"PRAD"
"ZNF597",3.34620109398998e-11,2.13990610120618e-07,0.219539540635534,36.7612607142857,50.8690638095238,47.5517469565217,1.16634115893079,1.67157505391587,1.35568155165082,28.06665,39.0405,37.279,43.18545,60.5396,54.93705,44.2726096153846,41.3323782696177,42.4072,39.0405,36.452425,50.1304,29.9556,49.6091,1.61261358698295,0.744312264360528,0.93358802719537,0.920610179403498,-0.0991420355737036,-0.119337700018641,"PRAD"
"ZNF30",0.00236181709201344,7.69360568964039e-06,0.391488856795042,312.154902678571,222.816938095238,188.420899130435,24.1787117443814,15.9091802493583,13.6643328343282,152.20185,125.7461,121.0675,391.275225,252.9708,206.27555,95.0112076923077,239.608060362173,87.62525,177.3585,76.19345,107.664825,125.7461,268.2686,4.63891031070694,9.07850576235188,2.52189258701079,2.02405699270473,1.33450682939851,1.01724991351783,"PRAD"
"ZNF354A",0.000468676609159058,0.183987401104175,1.53101641364728e-07,191.696729464286,218.43443047619,179.638942608696,5.04319565112302,5.70083407351594,3.93260893444291,158.3788,184.4595,153.123,216.89775,247.2178,200.8973,184.387951923077,198.666510865191,184.84215,190.3855,153.733125,208.777075,160.8974,225.5103,6.54304235246552,2.64789451506229,1.07743759173631,1.0299896425139,0.107604306715715,0.0426298298658056,"PRAD"
"ZNF764",4.38898525412235e-07,0.940144746468862,6.56158766210169e-08,207.262516964286,245.611568571429,204.92826,4.88265729371763,6.40837360212529,3.52981515419704,169.1387,199.7652,180.4026,227.318875,276.453,224.0857,175.008019230769,221.407799396378,170.98905,212.1569,151.207775,186.46785,184.6212,248.6211,4.6223571892268,2.49805958836546,1.26512945160773,1.24076307810354,0.339285013091379,0.31122766125658,"PRAD"
"ZNF747",0.768812539304575,0.964110808240609,0.89782157578188,317.448930357143,323.203386666667,319.54415826087,5.53142001100586,7.05535772518178,4.87775159463686,285.873925,283.8577,285.92875,351.370325,361.2492,352.05025,343.451930769231,317.112181287726,333.82765,319.659,313.669175,365.091825,279.0901,354.085,6.99891548462773,2.88568043837072,0.923308774469513,0.957556990860404,-0.11511489782819,-0.0625697405026371,"PRAD"
