"gene","2-ETV1-1-ERG","3-ETV4-1-ERG","3-ETV4-2-ETV1","4-FLI1-1-ERG","4-FLI1-2-ETV1","4-FLI1-3-ETV4","5-SPOP-1-ERG","5-SPOP-2-ETV1","5-SPOP-3-ETV4","5-SPOP-4-FLI1","6-FOXA1-1-ERG","6-FOXA1-2-ETV1","6-FOXA1-3-ETV4","6-FOXA1-4-FLI1","6-FOXA1-5-SPOP","7-IDH1-1-ERG","7-IDH1-2-ETV1","7-IDH1-3-ETV4","7-IDH1-4-FLI1","7-IDH1-5-SPOP","7-IDH1-6-FOXA1","8-other-1-ERG","8-other-2-ETV1","8-other-3-ETV4","8-other-4-FLI1","8-other-5-SPOP","8-other-6-FOXA1","8-other-7-IDH1"
"ZNF642",0.993976474949588,0.973832331944936,0.999958919130497,0.999587782950028,0.993661093218541,0.9803460999222,0.988729970124552,1,0.999939493781638,0.993211369110826,0.99492983180832,0.999995877870778,0.999999999978742,0.988703425216349,0.999994258462972,0.885317596528357,0.971893105247955,0.993938021121312,0.874869899755836,0.9694882590252,0.9942438516093,0.897352389285506,0.780678129388243,0.760395390489043,0.999999828212681,0.68471370266724,0.917201951947596,0.735586463583287
"ZNF490",0.98782548548313,0.618427776599498,0.976058418624645,0.999999697255748,0.999620630225137,0.966493657145716,0.743952468236494,0.551533490364009,0.179884509557252,0.999936292896091,0.992493731670765,0.932451514807353,0.6003327128511,0.999985934446596,0.999999999973728,0.868668384149256,0.740540567983608,0.449463943402277,0.98296555254488,0.990510432467444,0.993827801690782,0.999987422972342,0.9710821236646,0.557629741791108,0.999999996002158,0.901558967008254,0.997580638701878,0.901017124933444
"ZNF626",0.999948841648419,0.983096812259664,0.999309004483383,0.865822929657598,0.941704999475805,0.994246446318949,0.00873727278030634,0.282437376260889,0.906736432627688,0.999999999364718,0.998687252778018,0.995253604294234,0.956503163401446,0.799676378483135,0.273769493008422,0.879123269764057,0.94060000876114,0.991396499553389,0.99999998650927,0.999999064176409,0.809451866254179,0.769132449863074,0.998634740928621,0.999999824984079,0.98041729030399,0.307436784961549,0.929939547503901,0.977188108829405
"ZNF793",0.984283139712543,0.763150834160617,0.994475661614666,0.999755461705441,0.992863253567039,0.930922764040135,0.726526991862044,0.515233442396539,0.263342696920713,0.999999987081891,0.461347837419672,0.289759392191788,0.137457274079763,0.994910914537318,0.962916626272431,0.932899985182739,0.829041396832636,0.628391013406019,0.998895968820957,0.997898528889764,1,0.999696057917797,0.999253421224717,0.898563127104848,0.998861781385665,0.575293160845794,0.366474967251181,0.898634899381216
"ZNF383",0.943070788254178,0.999991596802392,0.999734895294618,0.999995081350589,0.996980052352672,0.999944119483248,0.827793870648968,0.999999982839539,0.998909263164807,0.994647162540616,0.997519857403533,1,0.999965656185541,0.998701928079033,0.999999996311857,0.832638380701822,0.974189377764422,0.930822600313968,0.90398785416881,0.979206328153403,0.984003860782677,0.999777548950432,0.992830321431891,0.999999999838873,0.999936642680474,0.967826007191817,0.999726553557838,0.885914884891425
"ZNF669",0.926457218061497,0.758062718329167,0.404600658695115,0.999999986840149,0.999962050308133,0.987350332468971,0.0157573291668288,0.802469477661687,0.0162891971976002,0.959806163833449,0.353102188833445,0.891434925686965,0.0970094324049462,0.942142214583721,0.999973201537019,0.51449814821179,0.826178589534515,0.204301976526925,0.849297074847971,0.989855811303677,0.999130339534204,0.000267248415757648,0.728808192242947,0.00753301110735094,0.962139664191771,0.99999998782051,0.999881057261743,0.98516474852729
"ZNF559",0.721674948457714,0.999994817753545,0.911023709975408,0.999999991961261,0.999476191730471,0.999998379827359,0.928278988458394,0.999787106075778,0.980961763395861,0.999983234624481,0.926116573780022,0.999999167181089,0.943825203787799,0.998788075283462,0.999513766025665,0.905188519440369,0.997640319248385,0.901090128350365,0.985191233325693,0.988105055825534,0.999683874805643,0.987011007268783,0.973407455525378,0.9975256132583,0.999999968610989,0.999554805576575,0.989904672064895,0.962911393301185
"ZNF177",0.836601466425497,0.718657354324091,0.999645928952423,0.998744740557492,0.949170736598797,0.875347334612412,0.95888146809475,0.495435029703537,0.412918746960382,0.999999163893287,0.974213735106166,0.706497484411745,0.563753679521527,0.999999999892306,0.999939571235424,0.912435666052215,0.688126728637937,0.565339401166033,0.999289201180704,0.986650624388208,0.99900424298076,0.999998984498857,0.808987541568095,0.687062334564403,0.999376807518502,0.98852754144563,0.986166840677761,0.930789388243904
"ZNF548",0.325167570547811,0.56937502651376,0.0554935211686148,0.999974025278656,0.999409055270939,0.923003841019772,5.11399833780235e-06,0.446792621264661,7.06208043179668e-05,0.791234639683388,0.286478487569871,0.988591806735441,0.0448972519946831,0.968502396088617,0.999702485168157,0.997213064431863,0.999999994982312,0.830052811538467,0.999988966878344,0.979803319639855,0.998984401464588,0.00216181467456389,0.999973004679424,0.00651723128804216,0.996581497276022,0.331750675722363,0.995801293496634,0.999998280132556
"ZNF563",0.999663789793553,0.999643316659979,0.995602338368039,0.659548537565014,0.59120316612362,0.895130547908959,0.880328873828241,0.859055648197274,0.999974901002937,0.92933943021008,0.640843855328445,0.584514253592644,0.958043737597415,0.999808806365759,0.978341384788363,0.601187080078911,0.535647952054753,0.830604618312006,0.999997658784689,0.872620072497954,0.997271485889281,0.00624474465973979,0.107651640431814,0.91796138697423,0.995331483852023,0.904899068534477,0.999986734425937,0.978891738488061
