"gene","p-adj-LIVING-DECEASED","mean-DECEASED","mean-LIVING","SEM-DECEASED","SEM-LIVING","Q1-DECEASED","Q1-LIVING","Q3-DECEASED","Q3-LIVING","count-DECEASED","count-LIVING"
"ZNF713",0.67881497553267,37.9149783783784,36.1557046822742,3.85113058548403,2.28342918714945,14.289225,15.21315,38.164475,41.9218,222,299
"ZNF552",0.0152519211532651,125.79768963964,142.450831772575,4.52138595725738,4.8446578205381,77.58355,96.0361,153.314575,165.00145,222,299
"ZNF154",0.152257378855209,12.0166617117117,13.529008361204,0.787880187215131,0.695659244434376,5.3012,5.99815,14.26315,17.3082,222,299
"ZNF571",0.0388642184373742,37.9859788288288,43.049945819398,1.80455865670258,1.6261730580885,18.4072,22.44015,52.60955,59.7976,222,299
"ZNF443",0.000347867131480828,42.9289121621622,54.3358622073579,2.05151345887618,2.26506696413068,25.010625,27.3887,51.2843,70.66595,222,299
"ZNF792",0.142441628555988,65.860695045045,71.0446719063545,2.2802794873116,2.52560716807947,42.0816,41.9444,89.5492,92.3462,222,299
"ZFP82",0.0137911160247502,22.8167918918919,29.5996397993311,1.95992701957048,1.86447915462869,7.653025,9.5455,27.44085,38.93935,222,299
"ZNF707",0.630751363173993,337.793825675676,343.920668561873,9.20560193892403,8.58878477347047,244.166925,236.91285,409.28345,413.7387,222,299
"ZNF746",0.0185921139370816,510.063118918919,470.162827759197,13.2354863182483,10.7461843882936,377.3281,366.1665,579.6134,526.0927,222,299
"ZNF678",0.0406792416460441,26.959195045045,30.4360070234114,1.13682033995947,1.1912321554837,15.05935,15.0767,34.4027,40.2347,222,299
"HKR1",0.018928070881134,287.841020720721,320.772666555184,9.5098815766369,9.76731601474128,187.168625,201.32215,372.017425,413.9747,222,299
"ZNF101",0.000162969785543976,105.086384684685,120.302854849498,2.69957398102763,2.81027750535446,80.42455,89.35945,121.2703,140.6335,222,299
"ZNF716",0.973089645266557,0.562494594594595,0.572267224080268,0.199082214110359,0.2009950350418,0,0,0,0,222,299
"ZNF708",0.0271895328795012,62.8147765765766,72.1224966555184,2.94139109440499,2.88781182305333,34.731975,36.03515,81.58715,94.62625,222,299
"ZNF721",0.0224748202643201,280.187537837838,307.26716722408,7.82507792040994,8.37488164198509,202.385275,221.33585,334.615725,368.9127,222,299
"ZNF662",0.00388091968927307,36.4013918918919,55.8800595317726,5.01666334521977,4.42785595128749,9.266775,13.2032,46.11285,67.01525,222,299
