"gene","p-adj-[Unknown]-[Not Evaluated]","p-adj-Negative-[Not Evaluated]","p-adj-Negative-[Unknown]","p-adj-Positive-[Not Evaluated]","p-adj-Positive-[Unknown]","p-adj-Positive-Negative","mean-[Not Evaluated]","mean-[Unknown]","mean-Negative","mean-Positive","SEM-[Not Evaluated]","SEM-[Unknown]","SEM-Negative","SEM-Positive","Q1-[Not Evaluated]","Q1-[Unknown]","Q1-Negative","Q1-Positive","Q3-[Not Evaluated]","Q3-[Unknown]","Q3-Negative","Q3-Positive","count-[Not Evaluated]","count-[Unknown]","count-Negative","count-Positive"
"ZNF57",0.908193201671096,0.0690257655422073,0.977038863904423,0.303861762868725,0.373626070962509,0.0103955887034256,163.6276952,146.171711111111,135.226766153846,194.652466666667,6.8524963709155,9.18977263777578,8.08087659196505,23.1066096811366,112.6417,142.0022,89.5628,125.6494,202.3246,159.3101,177.0445,222.2577,125,9,65,21
"ZNF556",0.933845056577493,0.213684480647265,0.49366573421291,0.052015265415465,0.744268222379889,0.00220740523231322,18.932732,13.9848555555556,26.1017323076923,4.2795619047619,2.06010780587456,6.80304831609639,3.66470627657101,1.45440677842133,3.1209,1.759,3.6636,0,24.9913,9.578,39.8333,4.5726,125,9,65,21
"ZNF554",0.41863885585374,0.16007496955373,0.934688748470922,0,9.11670483549898e-09,0,82.3482856,58.5525888888889,67.9982553846154,171.580447619048,4.30544160143202,10.7234298861761,4.27526450024813,12.3807909741907,46.1367,38.0849,45.9536,131.775,111.1111,91.2863,86.5895,208.7625,125,9,65,21
"ZNF738",0.516139401688507,0.356857488614901,0.922869889518514,0.299240316157961,0.998695816247575,0.916907290166614,106.9118712,63.5627666666667,83.9695369230769,69.1652571428571,9.01012275113388,19.8455931979033,10.4848395369133,11.684314570584,47.746,22.3069,37.987,30.3197,130.6558,68.6356,84.6648,108.2364,125,9,65,21
"ZNF596",0.1430035660892,0.383940635418483,0.504620072171161,1.00848628084016e-05,2.00778099648247e-05,3.9514977678845e-07,35.872596,20.2429333333333,30.7195107692308,60.4048380952381,2.03249885297127,4.92114363069083,2.297949635231,4.56154794613406,19.0039,8.8608,19.1825,46.796,46.0526,27.2028,37.464,74.9724,125,9,65,21
"ZNF621",0.712576124312338,0.991273536161003,0.80194443808817,4.15082491156404e-07,0.000203527809101378,9.16683306040333e-07,303.1166744,254.451188888889,297.182813846154,477.921776190476,11.2518887186247,37.8638868447211,13.9240748828806,47.0791691711125,210.2273,144.4444,225.8169,324.2628,377.7695,344.4373,371.539,644.1821,125,9,65,21
"ZNF680",0.662942616790045,0.339743641543768,0.979843297252032,0.341474981271286,0.198777191283257,0.0498509463728648,135.6416632,104.620088888889,115.516704615385,166.618961904762,7.52778731123515,20.4667497096065,8.04579868601418,19.3061348063788,82.3084,77.821,75.8808,121.8578,176.3201,123.0041,143.5579,218.4289,125,9,65,21
"ZNF483",0.973267178927129,0.526272496721646,0.748528546642991,0.708894314294807,0.746540530796113,0.998056156482554,6.5646272,5.4308,8.15264153846154,8.49023809523809,0.665408468673506,1.10909920117885,1.00868723904917,1.83993395369917,2.2769,4.4078,3.166,1.824,8.385,7.0361,9.7267,11.4961,125,9,65,21
"ZNF417",0.971029646715027,0.164113091249716,0.549933109668379,0.000239948497760545,0.0237956457078368,0.0405829320647726,82.0625768,75.9607,94.7551707692308,121.528757142857,3.42939174481614,12.1967717583953,5.08261612397078,10.3115124505541,57.9048,53.3188,58.8843,82.8874,100.7752,96.3417,129.7935,154.7591,125,9,65,21
"ZNF791",0.998275666924052,0.000269075886578651,0.209737368772385,4.28657811080146e-06,0.00941699199999069,0.109701056980334,139.0332376,134.492555555556,188.500633846154,232.719328571429,6.07761928318686,26.6920301533118,10.1610423336157,24.59250419233,83.8337,85.963,132.9276,189.7989,183.0915,163.9241,238.8201,313.7411,125,9,65,21
