"gene","p-adj-N1-N0","p-adj-N2-N0","p-adj-N2-N1","p-adj-N3-N0","p-adj-N3-N1","p-adj-N3-N2","p-adj-NX-N0","p-adj-NX-N1","p-adj-NX-N2","p-adj-NX-N3","mean-N0","mean-N1","mean-N2","mean-N3","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-N3","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-N3","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-N3","Q3-NX","count-N0","count-N1","count-N2","count-N3","count-NX"
"ZNF211",0.955662166240318,0.919817577614917,0.999999577842785,0.90142989410232,0.799551912720089,0.79250876342084,0.932861330741941,0.994581728343592,0.992273799805981,0.744472054293755,167.597020081967,160.704395180723,161.088213496933,190.827988888889,152.679566666667,5.09131266045546,7.80176141617136,5.96752419584354,37.0376809957795,13.21883143116,115.00245,110.82665,108.87085,108.5006,117.95715,200.5167,209.0813,204.12475,260.8044,178.84295,244,83,163,9,18
"ZNF205",0.99999997752602,0.99328154712544,0.998213469860588,0.99950571798167,0.999616966010201,0.999985037076478,0.147060858531909,0.193767812586896,0.10839754078431,0.526816480185152,358.466231147541,357.961813253012,348.878201840491,341.967333333333,484.141794444444,16.0995094738763,19.4258407811932,14.4328099432038,45.7005674373051,82.3954627476559,244.343025,235.0727,242.6711,230.089,324.03465,385.2299,407.4752,409.88725,436.422,414.6033,244,83,163,9,18
"ZNF45",0.999999873620846,0.0904333476071774,0.314767469224827,0.37688815251218,0.406022913498343,0.836846610927776,0.999928833707381,0.999964609053006,0.778306549991277,0.515394235406478,198.136210655738,197.764130120482,225.343028220859,263.5169,194.645333333333,4.6471510866136,11.0225962511201,11.6742296310739,22.3334753536778,21.8570087853338,148.7076,139.90605,168.68795,235.5711,135.57165,239.73795,224.82,247.65445,287.6531,230.419375,244,83,163,9,18
"ZNF133",0.999122564016301,0.999999762969656,0.999544930142662,0.969916317671338,0.985343071573001,0.972431385650729,0.971841620637448,0.955260341901364,0.971393420091675,0.898290253498328,391.925295901639,386.063368674699,391.331349693252,352.536533333333,419.758427777778,12.2994304635185,17.5790434388812,14.6557879698381,49.3023735240393,34.582067900027,255.870625,273.72335,261.49985,244.6072,299.43875,458.857875,474.657,474.18565,422.7077,502.490325,244,83,163,9,18
"ZNF436",0.960240962459347,0.914795836397779,0.99999999978238,0.635532706653982,0.80881549909487,0.793248794099392,0.972931147196757,0.893118387186039,0.877300858677264,0.549081372529996,734.845605737705,760.463138554217,760.241550306748,874.066777777778,690.569527777778,18.6492854852204,35.3218758056411,22.7738549038956,78.9429345652742,68.5990935590321,529.180775,549.65125,573.48125,773.055,450.484875,918.417125,932.9556,947.06885,1016.8259,906.46075,244,83,163,9,18
"ZNF484",0.504415459530397,0.99994227259755,0.625662602033031,0.151016899839519,0.0436773328036563,0.145371867448287,0.396158243766829,0.904395519152501,0.445584471663735,0.0269163392541552,90.2439852459016,81.2742048192771,89.6760889570552,124.691433333333,71.12235,2.97989265581382,4.40906571811652,3.4237346456719,14.2125008055506,9.24553632844898,58.745025,58.8272,60.51095,115.8901,43.41485,112.534425,102.43065,112.58135,153.2011,92.365375,244,83,163,9,18
"ZNF780B",0.78211773011515,0.353169699478515,0.998259686555414,0.977401328006683,0.999885593298407,0.999999609726673,0.996559935871069,0.899016556530363,0.807396176529076,0.956757073796784,144.551997131148,157.139289156627,160.624159509202,161.695944444444,137.034933333333,4.36328476793494,13.4170856065953,7.10869128476287,20.2354248345919,18.996697213298,98.0068,84.7319,105.9392,110.181,101.439325,178.592025,184.98245,198.5697,219.3732,136.85905,244,83,163,9,18
"ZNF557",0.234144355067546,0.923484591443735,0.0776350144452252,0.935059203982833,0.557206394546181,0.983743615893227,0.978960034277121,0.530051263646176,0.999398387094566,0.998004464510628,152.00644795082,135.581391566265,157.202026380368,168.623533333333,160.738566666667,3.75485365771588,5.77319219296348,5.6206918285819,25.5880752048575,12.7373024071803,112.483525,103.58965,110.213,135.1241,128.620225,178.432025,164.0273,187.9179,206.6906,180.91295,244,83,163,9,18
"ZNF337",0.999359117744654,0.800866198840947,0.83091807966304,0.999607066148405,0.99861218617148,0.999944754018173,0.999696650544721,0.998376802573227,0.998935932301378,0.999997842730084,346.835603688525,341.363143373494,367.707772392638,359.752933333333,355.543083333333,11.3587795027962,22.9008750910878,15.0610249386211,37.0919141052332,34.1713211180548,217.108225,232.75635,240.5404,310.2516,282.9587,424.895725,387.5498,450.25525,411.3864,409.02395,244,83,163,9,18
"ZNF317",0.87369011279275,0.895141603427982,0.510067219826347,0.996372983945175,0.957354516543663,0.999984839010116,0.929656833627801,0.998533658547709,0.775244496025404,0.936233126618632,763.161431967213,722.797062650602,793.500521472393,803.7691,698.132561111111,20.4032411566085,23.5617044871801,31.9606070318476,57.2773111415007,44.997143196578,615.865375,580.1316,638.0431,616.123,564.645175,841.30675,805.52435,884.2005,919.4194,788.53625,244,83,163,9,18
