"gene","MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF763",0.124186550103454,78.2532828947368,87.8745835680751,4.97642861875666,3.27638447855744,50.404025,53.1432,102.115525,108.875,113.16063125,85.3282172413793,111.57695,80.36415,93.10345,132.401275,52.591525,107.984425,6.1962794891426,2.74411357914587,0.754045079978991,0.720257633857172,-0.407277318451762,-0.473415048603889,"KIRP"
"ZNF679",0.0804322429168195,0.381655263157895,0.0538389671361502,0.287883762815156,0.0443689145327346,0,0,0,0,0.00944375,0.139563793103448,0,0,0,0,0,0,0.00944375,0.082275562380418,14.7784294484128,NA,3.88542105264068,NA,"KIRP"
"ZNF682",0.0250768933527113,65.4565407894737,86.2814187793427,6.38218393892214,5.03001273823504,36.15885,38.429,75.162475,105.7441,53.012234375,80.7300417241379,51.89235,58.94815,39.6311,62.81325,38.2773,103.03075,3.21827062238768,4.086275258495,1.52285680231976,1.13596994547366,0.606780288315066,0.183924665749559,"KIRP"
"ZNF772",0.0955310140461583,164.371310526316,145.967581690141,10.9427502924341,5.29105423870082,102.978975,96.0483,235.913825,181.4135,232.434475,150.753143103448,224.69345,145.34975,197.39775,257.741925,97.31925,189.099125,11.5739331974821,4.84321786682842,0.648583404434511,0.646880227260741,-0.624635985441993,-0.628429479320128,"KIRP"
"ZNF257",0.884688850005079,18.9877473684211,19.3678427230047,1.79528264532599,1.42624627370291,6.973275,7.0198,27.850775,23.6414,24.694378125,19.2846968965517,22.67555,14.45075,16.25865,31.79235,6.999925,24.235275,2.13065914106833,1.14698581630507,0.780934705014027,0.637283329401051,-0.356726167122506,-0.649993172886714,"KIRP"
"ZNF785",0.58173136526371,255.993421052632,264.538461032864,12.4468383881811,8.11888650018499,167.814675,179.5645,320.615725,316.66,180.82388125,262.334514482759,163.458,245.95685,139.92115,223.8316,177.68185,317.039125,10.8223258621379,6.789863431946,1.45077360727627,1.50470977254096,0.536822404902506,0.589485247720177,"KIRP"
"ZNF98",0.358192641176005,7.2323697368421,5.31925399061033,1.52813919379555,1.11521745736519,0.583525,0,7.5107,2.9625,20.202678125,5.81645034482759,18.046,1.21495,10.9983,27.74845,0.371175,4.000425,1.99292834829205,0.911811140031144,0.28790491581559,0.0673251690125236,-1.7963356725639,-3.89271024331405,"KIRP"
"ZNF786",0.417412651660827,159.302206578947,153.306769014084,6.54984667688056,3.740167818286,119.1284,113.5605,195.281975,187.394,141.93991875,154.866562413793,139.81685,149.28565,121.171975,155.047325,115.283875,187.63625,5.18355211765059,3.23713908758042,1.09107123477054,1.06772288175567,0.125745296615929,0.0945372565813731,"KIRP"
"ZNF517",0.198345568660761,287.463278947368,309.085555868545,16.3057698906633,8.15921663804236,206.412625,221.6921,349.92395,383.1418,224.088740625,303.102475172414,224.05165,282.90945,187.14865,256.243575,216.24125,370.60045,8.68328434735459,7.37238425362494,1.35260019904186,1.26269746283948,0.435735471173244,0.336509016682816,"KIRP"
"ZNF675",0.0314400186202636,96.7158815789474,84.3576056338028,5.34414162806198,2.83312740308211,66.4154,59.0564,112.732275,100.0375,92.563203125,87.5534196551724,88.2787,82.68645,73.812975,101.28365,61.40535,103.456475,5.46454979571128,2.52429083327292,0.945877159598051,0.936652329497376,-0.0802752609484992,-0.0944144531802996,"KIRP"
