"gene","p-adj-DNA_meth_cluster:1-CIMP","p-adj-DNA_meth_cluster:2-CIMP","p-adj-DNA_meth_cluster:2-DNA_meth_cluster:1","mean-CIMP","mean-DNA_meth_cluster:1","mean-DNA_meth_cluster:2","SEM-CIMP","SEM-DNA_meth_cluster:1","SEM-DNA_meth_cluster:2","Q1-CIMP","Q1-DNA_meth_cluster:1","Q1-DNA_meth_cluster:2","Q3-CIMP","Q3-DNA_meth_cluster:1","Q3-DNA_meth_cluster:2","count-CIMP","count-DNA_meth_cluster:1","count-DNA_meth_cluster:2"
"ZNF519",0.0316071803083957,0.308860853937638,0.0646013584680013,15.3291333333333,35.4315133333333,25.8654803278689,2.7962757553078,7.00214663641814,1.30024333967653,9.4127,18.761425,15.68035,17.8871,37.023275,34.30585,9,30,122
"ZNF25",0.444281207460134,0.727239410007308,0.589749547326941,199.129511111111,239.280843333333,221.936401639344,17.2451671701446,15.8537117447776,8.01562023060079,162.7821,199.936425,162.330375,243.3422,259.322525,289.765625,9,30,122
"ZNF77",0.36279404112964,0.927810191023559,0.13722356973827,60.5769666666667,48.98563,57.7267672131148,6.15860049452074,4.29444910399286,2.0214882535225,50.3376,30.888575,43.394625,61.5726,63.9171,66.341125,9,30,122
"ZNF169",0.736289997811226,0.971213500355794,0.178924802208315,69.8646888888889,83.9735266666667,65.9095,10.2578813656655,14.6357433895744,3.65295608939842,51.2821,42.600075,41.54335,82.131,78.1095,85.622825,9,30,122
"ZNF613",0.440239421404997,0.346448805086429,0.996623055672868,73.8513444444445,88.8082133333333,89.32105,6.95242746114843,6.14227606820467,2.93049238324426,66.7508,66.9702,70.17115,84.7393,100.658125,100.247925,9,30,122
"ZNF404",0.97794788361893,0.825129644189768,0.355470146405238,38.5132555555556,34.81459,48.3909786885246,13.2479730617252,7.16311665306453,4.60185111253641,9.5238,10.1394,16.07335,63.6461,37.9301,63.4948,9,30,122
"ZNF135",0.0369963785675697,0.0254112450120914,0.98208761918691,44.8118555555556,148.567696666667,144.514824590164,16.7184623644134,31.6386352874756,8.29124028168779,17.3881,13.248825,80.878525,37.3366,223.737075,195.838925,9,30,122
"ZNF620",0.0441680517563598,0.0547997295601272,0.842014847014583,39.3232,60.5377833333333,57.9059040983607,7.98261806461737,4.97817100131401,1.98551059998513,16.6385,43.282575,42.7775,54.384,77.965725,74.0305,9,30,122
"ZNF619",0.807380097372412,0.689972685371595,0.971229726915454,58.5670666666667,51.5183366666667,50.1235762295082,8.0909274135705,5.79727810329983,2.67692074037314,45.875,30.759825,27.809925,72.5066,67.118125,67.533075,9,30,122
"ZNF354C",0.33260725553367,0.997265263559046,0.0329444371452474,28.2094222222222,45.3775133333333,28.9833426229508,11.6145001336904,7.08818622156473,2.6829923279833,5.1106,16.347375,5.962175,41.0763,57.35285,42.230525,9,30,122
"ZNF114",0.338101014381405,0.999819103494586,0.0274710292780341,1.99822222222222,373.363083333333,6.33373770491803,0.729528469244533,295.239069966022,1.30057827779113,0.7326,3.23275,0.853725,1.5523,17.0413,5.718875,9,30,122
"ZNF454",0.154626950326866,0.73261621237036,0.0762213967299604,11.5794333333333,25.8552033333333,16.8351262295082,4.08630277614537,5.66264673908264,1.55110160891666,2.6201,3.7643,3.181325,15.9607,39.4568,27.586825,9,30,122
"ZNF543",9.33262526178202e-05,2.75733291494884e-05,0.972326985150658,144.377255555556,83.3734566666667,85.0957803278689,24.6417242680372,9.06234975339036,2.68577688973242,117.6471,47.2337,63.478925,135.7502,112.536525,104.402875,9,30,122
"ZNF354B",0.0231322968746164,0.387959068246557,0.0189940347433262,64.7898444444444,140.095253333333,98.6341795081967,8.22896879931081,21.5750780799752,5.61234568469702,46.6544,82.613425,48.936525,82.5335,151.53305,133.88575,9,30,122
"ZNF223",0.839974961312866,0.14398273425393,0.081543201233764,53.7596777777778,59.8746466666667,72.4514163934426,8.53306942729575,6.60678925105848,2.41181132690172,36.9153,28.055025,52.613375,67.9353,82.66815,89.916175,9,30,122
"ZNF713",0.310484970146666,0.599402026695294,0.518501426917581,33.7931333333333,47.22102,41.8393450819672,6.48600849669245,4.21904782678768,2.22925340769753,22.2383,27.458025,22.63575,46.1538,65.29575,54.546275,9,30,122
"ZNF552",0.0450199001787043,0.0514281506785382,0.871128176998073,75.7539555555555,114.780196666667,110.430466393443,10.8008385376259,9.05166419880577,3.74972489283788,56.5442,77.517475,84.3569,83.4384,142.844775,124.13165,9,30,122
"ZNF154",0.986170939585879,0.248136378407413,0.0439938576009909,18.9467,21.5442533333333,42.7294204918033,3.28311711690785,6.14807797505824,4.18462912399592,11.6118,5.19905,12.481025,21.0581,20.6625,53.1179,9,30,122
"ZNF571",0.254840290740867,0.422782047377827,0.685097577208794,59.9872444444444,81.3074133333333,75.3244606557377,7.22164646385572,11.8415036605035,2.20875484228192,46.1822,48.512325,57.45165,61.7832,93.822925,88.79015,9,30,122
"ZNF443",0.254434947488108,0.0503982359306769,0.549091317784463,67.7732777777778,97.5827,108.12032704918,8.14783596291367,12.3722660488645,4.10044711325821,49.9445,56.0193,73.650425,80.5684,111.342125,136.875425,9,30,122
"ZNF792",0.813241601913224,0.410287279135903,0.564652456989405,99.3084666666667,90.2833933333333,82.2219704918033,11.1293873548692,12.2013557548387,2.58542744115869,73.3631,62.62755,63.3799,112.1137,102.00175,98.830825,9,30,122
"ZFP82",0.408208824005167,0.229124088495245,0.91430626869415,38.7713,53.4540033333333,55.9333909836066,9.63348252176866,5.98553722140425,2.67893601890484,19.0476,29.439525,34.725425,47.7345,86.44755,70.9947,9,30,122
"ZNF707",0.931125362502433,0.999106050358081,0.740409053394216,180.243277777778,188.078536666667,179.446378688525,18.3347519645358,13.9457755280859,4.69233355915247,153.9031,137.545125,144.230525,228.1964,212.7761,210.326575,9,30,122
"ZNF746",0.148704374222344,0.01656831742259,0.445623793823313,697.432644444444,556.562856666667,507.639670491803,63.2606910024001,46.3724307287757,16.4640667846873,560.1994,391.615625,394.083475,851.6463,648.084675,559.251425,9,30,122
"ZNF678",0.859017076385183,0.00857631298523964,0.000181526318931202,45.2905111111111,40.9671733333333,22.8023795081967,12.6550617000059,4.82047579750146,1.69303091614733,21.2041,18.7589,9.394525,45.0179,57.89025,29.633025,9,30,122
"HKR1",0.0244065584827898,0.0212516010936813,0.929741031911439,441.226222222222,643.51459,628.591748360656,67.3574575882672,51.2993658913915,16.0250407191478,264.4689,504.90305,522.989025,599.9591,741.612025,720.441475,9,30,122
"ZNF101",0.106019876973763,0.297054502559123,0.411558949262705,90.1904444444444,68.88367,76.0213442622951,20.1048865327915,4.9428546587122,2.16086682335133,60.5745,56.061525,58.64875,79.5576,76.0252,87.674,9,30,122
"ZNF716",4.6296300126869e-14,4.15223411209809e-14,0.912544467294254,38.6605333333333,1.06801666666667,0.149377868852459,16.1975403127639,0.647915828045434,0.0679242350348546,0,0,0,70.3297,0.2541,0,9,30,122
"ZNF708",0.649593795631471,0.638549195115661,0.991958068784861,98.0914222222222,120.585386666667,118.938840983607,16.6394386869701,16.8983211392503,5.43368995364621,54.2125,57.6652,68.23285,141.3606,134.54075,161.09245,9,30,122
