"gene","p-adj-M1-M0","p-adj-MX-M0","p-adj-MX-M1","mean-M0","mean-M1","mean-MX","SEM-M0","SEM-M1","SEM-MX","Q1-M0","Q1-M1","Q1-MX","Q3-M0","Q3-M1","Q3-MX","count-M0","count-M1","count-MX"
"ZNF436",0.234535968321835,5.01896462271612e-05,0.964599181390242,1170.48252843602,807.270872727273,864.300391866029,57.0989590806632,144.469530892733,41.7303966941795,603.6336,511.2068,426.4997,1357.2918,1158.6075,1067.1799,211,11,209
"ZNF484",0.998660117771636,0.987913324054137,0.999996695142473,71.7350161137441,72.2936090909091,72.2658698564593,2.08157367497654,13.6599329097611,2.88411981882751,51.3611,44.6762,50.9393,85.306,82.8497,87.6289,211,11,209
"ZNF780B",0.802933386243627,0.00666062175977922,0.940439459389392,348.385269194313,276.887445454545,239.078409569378,34.6967409230033,42.1651009645986,9.40192411455416,176.9172,192.2213,142.9168,379.8379,303.54235,295.5665,211,11,209
"ZNF557",0.745764768637868,0.00198181972762368,0.167898349587434,176.450690995261,193.028227272727,151.9481784689,5.08681891545953,27.4404560084429,4.97889425801131,129.98265,156.55805,104.5698,216.5893,226.39895,183.2994,211,11,209
"ZNF337",0.384276571937153,0.0551204551564083,0.101689118462593,691.585128909953,856.615109090909,600.412678947368,32.2782949448233,147.253773507162,22.1312319291788,413.92355,499.7647,376.2726,831.418,949.12115,737.1062,211,11,209
"ZNF317",0.203723821940722,0.003647526384987,0.018095366628364,742.11093507109,870.434736363636,665.187195215311,14.6869100781593,222.921286100981,15.3663433133277,602.3426,642.3007,509.983,857.20975,725.9373,776.5807,211,11,209
"ZNF426",0.471702996416708,0.168853347464779,0.820102477936833,89.9233516587678,70.5785,80.5024894736842,3.36149472071111,15.3743618819005,4.00223010641055,52.22205,37.3463,41.549,114.7544,98.44325,98.886,211,11,209
"ZNF331",0.706346073709875,0.308673773144688,0.420386049618144,559.993180094787,391.466136363636,658.025035406699,49.1167255543489,53.2474292705484,46.4776086660376,229.485,286.5369,294.0058,597.6237,504.77065,759.1093,211,11,209
"ZNF227",0.988853197793993,0.285074686797313,0.809045942505722,275.072557819905,279.899890909091,258.893418660287,7.04875063586245,33.0694211009519,8.03489752826215,205.7517,231.29385,181.9103,309.0778,321.22415,306.8783,211,11,209
"ZNF141",0.931445319739451,0.000656404200090721,0.276540994305014,80.6285388625592,86.1215181818182,62.6603105263158,3.69613871204339,13.7612847270411,3.11391674703462,48.1779,53.8152,36.2101,102.26695,111.98375,72.3264,211,11,209
"ZNF304",0.855274070120602,0.00206646312023984,0.850368879162435,281.003528436019,261.032236363636,240.691694736842,9.04569290082124,35.0111781604241,7.62516590284413,195.1745,177.96195,167.0481,324.47825,336.3426,302.4055,211,11,209
"ZNF132",0.830639806626711,0.000412647485922624,0.802778102023552,95.4331426540284,79.2982909090909,61.7366645933014,8.08735542885525,17.7924154519864,3.47280228210887,40.7596,40.45565,29.1069,110.81845,97.84055,77.6967,211,11,209
"ZNF20",0.975568477311399,0.000779026003205563,0.61023996146832,135.304024170616,131.763163636364,115.914094258373,4.05242659221698,14.4303513600282,3.39051716507023,89.9043,101.9173,81.5531,174.6935,145.51745,145.4298,211,11,209
"ZNF670",0.131430604054486,0.0808930033660874,0.0254365475244338,83.8257947867299,108.878281818182,75.0132248803828,3.06046427095587,15.4993841556062,2.68023667470548,54.09415,73.25445,48.8058,105.76485,140.33175,90.5668,211,11,209
"ZFP37",0.12464924015911,0.943872569932721,0.153844161407601,41.7653772511848,67.9886272727273,43.1352267942584,3.39864648341124,14.7823437972781,2.48626208817061,6.2467,32.6422,11.0987,55.62975,112.2568,62.2038,211,11,209
