"gene","p-adj-cluster 2-cluster 1","p-adj-cluster 3-cluster 1","p-adj-cluster 3-cluster 2","p-adj-cluster 4-cluster 1","p-adj-cluster 4-cluster 2","p-adj-cluster 4-cluster 3","mean-cluster 1","mean-cluster 2","mean-cluster 3","mean-cluster 4","SEM-cluster 1","SEM-cluster 2","SEM-cluster 3","SEM-cluster 4","Q1-cluster 1","Q1-cluster 2","Q1-cluster 3","Q1-cluster 4","Q3-cluster 1","Q3-cluster 2","Q3-cluster 3","Q3-cluster 4","count-cluster 1","count-cluster 2","count-cluster 3","count-cluster 4"
"ZNF214",0.525524933071723,0.0504814094168539,0.546943903991029,0.64563310657253,0.998294696131684,0.466761794255374,24.1429458333333,35.3636941176471,44.9924256410256,34.06067,3.11420058218577,5.56338414213649,5.61981663718037,5.92683869026459,16.2619,17.493575,21.4799,4.609675,32.415325,43.491375,69.5046,47.069025,24,34,39,30
"ZNF215",0.899834607969598,0.793456792071023,0.27567839037111,0.781277738652378,0.991030461098278,0.176060010998028,63.9695,49.9007088235294,82.1885256410256,44.26961,10.0774828364413,7.68676229060638,18.6598314558126,9.35276245907679,28.681075,17.599925,25.3732,4.423175,84.195,73.785925,101.7287,64.1804,24,34,39,30
"ZNF547",0.918459680898869,0.092865421814763,0.247150080573977,0.00173425337951572,0.00534435910755104,0.339091203636215,30.4806166666667,38.1046941176471,57.6576820512821,75.8471866666667,3.04697000757956,4.40120924852318,6.52594503601602,13.3379022665354,22.636825,23.2117,29.0187,28.288475,37.26205,44.41905,72.6382,97.5209,24,34,39,30
"ZNF773",0.997700228460432,0.315252228879729,0.330320379481253,0.617900233201082,0.670913158543908,0.965207217498457,107.1279,110.628808823529,138.697856410256,130.62134,8.47562079207908,10.606081967941,13.074060931849,14.8924917747162,89.2361,73.12575,93.3194,85.859725,122.937825,131.741975,160.49665,183.837125,24,34,39,30
"ZNF776",0.469008334556959,0.127352925528936,0.859782571880185,0.0139505744120786,0.274866397003336,0.688493233208911,304.525479166667,373.550232352941,406.493112820513,454.20996,21.6752666363128,28.5764084349634,28.6523721181896,41.6954041917772,232.35705,263.715475,288.31125,306.206125,362.216425,414.9354,473.02755,491.0825,24,34,39,30
"ZNF256",0.987266772525876,0.304739490428839,0.409659202509463,0.860413317144258,0.957493476233619,0.762268049143379,112.4145625,118.794570588235,145.011558974359,127.919133333333,13.3977714958128,13.6577649870735,12.0956841866056,11.3436238177613,74.581625,66.003625,92.4917,86.961975,127.35095,147.892375,180.50385,168.8093,24,34,39,30
"ZNF599",0.821012449897412,0.662521922137224,0.992389085469628,0.0861531046612314,0.339423760015253,0.46366789427114,64.5754708333333,78.1162970588235,81.9427692307692,102.699763333333,6.92170884470117,5.84154111617249,5.96046896274379,18.6657938049623,41.90255,48.7978,53.68505,54.71935,80.16295,101.499675,110.097,102.728075,24,34,39,30
"ZNF18",0.652655913029308,0.792693983127131,0.0948109830969426,0.744021733877926,0.0947868159649036,0.998720921759049,179.115633333333,148.690061764706,202.654730769231,206.30439,21.1494352475638,7.45793335827379,16.7546786628488,23.0852875725622,133.4523,125.11325,131.26085,142.40125,203.869925,161.69925,232.19445,244.619175,24,34,39,30
"ZKSCAN2",0.897414590930083,0.51072273301508,0.881462992459631,0.194743178284323,0.477222045065282,0.867082136134389,126.729658333333,156.713911764706,184.597917948718,214.765423333333,8.45528556294458,15.5127211614271,23.4898925994825,48.6609125738319,92.9684,124.678,112.6549,110.855525,158.655875,176.533575,188.63845,188.056575,24,34,39,30
"ZNF689",0.920565254501565,0.910759214613257,0.468157974531957,0.994386955746974,0.777467620837804,0.974170700263416,126.1854375,138.381373529412,113.792315384615,121.22215,9.34243169156657,15.6258768827224,9.4938796667542,14.4966576898039,93.715725,94.534075,78.19435,70.4803,145.41815,152.000575,151.55495,126.455525,24,34,39,30
