"gene","p-adj-MSI-L-MSI-H","p-adj-MSS-MSI-H","p-adj-MSS-MSI-L","mean-MSI-H","mean-MSI-L","mean-MSS","SEM-MSI-H","SEM-MSI-L","SEM-MSS","Q1-MSI-H","Q1-MSI-L","Q1-MSS","Q3-MSI-H","Q3-MSI-L","Q3-MSS","count-MSI-H","count-MSI-L","count-MSS"
"ZNF546",0.611166018083817,0.939734179233807,0.465342994835547,48.2178428571429,27.2419,52.73306,9.71901720364224,8.0865,9.28919075493662,31.26725,23.19865,32.58605,57.91215,31.28515,58.298175,7,2,10
"ZNF286A",0.514721907714379,0.883289107452808,0.333302174350073,493.373914285714,770.9986,420.93395,172.438617936262,5.66660000000002,55.2012024629602,226.94975,768.1653,322.003575,547.4589,773.8319,469.077075,7,2,10
"ZKSCAN4",0.0178028547032254,0.953770192840071,0.00973361730273914,115.532385714286,234.698,108.6019,14.431460450934,32.1718,16.972418494572,111.31765,218.6121,88.123175,134.77905,250.7839,154.24785,7,2,10
"ZNF643",0.0273859582447508,0.997944880680186,0.0241709031884523,44.3527571428571,106.61635,45.16246,8.97221643776623,26.16555,8.7074780067633,27.95565,93.533575,29.014375,60.4264,119.699125,57.798675,7,2,10
"ZNF642",0.126914680065988,0.992936182793317,0.126769700726305,81.4342571428571,144.9508,83.56861,11.4682943491187,13.0814,13.9302191782745,55.66265,138.4101,59.558275,99.1148,151.4915,104.121675,7,2,10
"ZNF490",0.588899829653451,0.0861098341497356,0.905730717345662,257.061385714286,216.2651,199.46585,23.1280552117926,62.3592,11.2473041835045,235.9464,185.0855,172.3289,264.35555,247.4447,217.744725,7,2,10
"ZNF626",0.977568345890969,0.967980299966972,0.929561957701034,85.1896714285714,59.1762,104.34558,55.7042579506729,53.5796,55.0360591982158,9.69135,32.3864,2.773025,69.58085,85.966,133.16355,7,2,10
"ZNF793",0.997834077050202,0.609960881320051,0.779716805410555,150.286142857143,142.2237,226.35492,22.5175487615332,77.7918,64.8000879712945,121.0919,103.3278,112.7329,193.7143,181.1196,229.769125,7,2,10
"ZNF383",0.788489450098431,0.260547105404531,0.933299246777282,70.6404142857143,59.25625,53.36197,9.59343304449725,23.99285,5.10857619901301,48.929,47.259825,41.396325,94.02075,71.252675,65.0778,7,2,10
"ZNF669",0.996829468515603,0.953399290802391,0.993484704774497,112.910685714286,109.00155,103.58262,16.2497414439566,48.05245,23.6431633182421,81.53785,84.975325,47.279825,132.8195,133.027775,157.3549,7,2,10
"ZNF559",0.0907578882000433,0.905519897158175,0.127684941051061,207.852642857143,444.2997,235.19618,26.0599141911924,133.4595,48.0373354318627,157.91295,377.56995,154.0116,253.9468,511.02945,259.4164,7,2,10
"ZNF177",0.941211787156059,0.872597905387397,0.999625126946994,108.708314285714,135.6016,133.56183,23.5044496390469,21.5398,39.300923720199,63.3415,124.8317,59.00215,136.9976,146.3715,153.037625,7,2,10
"ZNF548",0.819844362075796,0.97100649058008,0.882410974416382,164.353142857143,201.96795,173.20068,16.9469814855156,125.78165,24.2084307446247,130.3889,139.077125,111.221075,197.1113,264.858775,245.72965,7,2,10
"ZNF563",0.361377701988146,0.899102729573015,0.484369588947897,62.2993714285714,35.29965,57.09663,10.6910666531792,1.77765,6.96973072596464,46.7646,34.410825,39.089675,71.2984,36.188475,65.11585,7,2,10
"ZNF567",0.917232777625673,0.34015000091842,0.866795904270947,141.060871428571,119.99855,93.77455,30.2025459135619,29.01035,18.275479766332,91.37375,105.493375,60.6716,199.31355,134.503725,100.25425,7,2,10
"ZNF573",0.956629179938242,0.199356410457453,0.675420399904926,11.0098428571429,9.4795,5.02963,3.54634790580106,5.5613,1.21361967986039,5.10185,6.69885,2.3927,17.0812,12.26015,7.87545,7,2,10
"ZNF527",0.6556021534252,0.909665322607581,0.792684081115401,109.357571428571,77.36095,100.14617,13.063018164026,23.37745,16.359440524331,83.0293,65.672225,72.265125,136.6321,89.049675,117.58505,7,2,10
"ZNF33A",0.0364324856124082,0.178058693121322,0.255737280558937,741.206085714286,1794.6429,1183.79293,96.2353627732536,521.4215,174.416144293423,597.4741,1533.93215,805.22775,868.56775,2055.35365,1651.876525,7,2,10
"ZKSCAN3",0.125648489870441,0.961157450411197,0.148721051354241,70.8059285714286,130.7102,75.55666,10.7968686741577,21.2271,12.8412737010625,63.96815,120.09665,48.987175,81.95805,141.32375,112.282375,7,2,10
"ZNF676",0.985795800267976,0.568992986207495,0.877556020781688,0.172728571428571,1.1349,3.95455,0.0825699464358659,0.2642,3.13882922208088,0,1.0028,0,0.3668,1.267,1.320025,7,2,10
"ZNF699",0.904952254998289,0.758712239125918,0.650196588671908,9.96025714285714,12.7169,7.12629,3.59732807649399,9.6694,1.84575921984845,4.0312,7.8822,2.2865,12.14455,17.5516,10.069075,7,2,10
"ZNF250",0.892418811502115,0.551286341363782,0.977695990451628,289.056357142857,348.064,373.36449,67.6135160838101,106.7815,47.3498542507846,199.7912,294.67325,268.8846,313.15385,401.45475,426.612775,7,2,10
"ZNF79",0.449150335859821,0.495879391070382,0.140508705491014,136.251457142857,204.43295,97.15155,31.1041506930143,106.84265,11.5797863335426,86.5421,151.011625,77.88955,169.0061,257.854275,119.109225,7,2,10
"ZNF681",0.758742723268486,0.809254714392312,0.937700145144746,142.203728571429,101.9329,120.57929,28.5337263370636,27.488,21.9646210889312,105.2707,88.1889,81.520175,195.47155,115.6769,180.66585,7,2,10
"ZNF766",0.998288103220465,0.374926845408965,0.696775975684315,480.351185714286,474.91825,397.77781,47.0620316796856,169.73755,30.8620343087693,399.02625,390.049475,353.063875,566.71125,559.787025,453.229575,7,2,10
"ZNF471",0.929877048544551,0.752996235818514,0.685855781832676,86.1486142857143,63.25855,114.13721,35.7324278635862,38.87895,21.5414422545342,7.7814,43.819075,64.78135,135.46005,82.698025,146.817075,7,2,10
"ZNF836",0.683884930063497,0.947037674551127,0.783848979603051,77.7648142857143,107.23755,84.5459,17.4191275282638,39.32285,12.8000717631842,46.0378,87.576125,64.534175,119.3369,126.898975,118.1327,7,2,10
"ZNF493",0.995665796387378,0.997278732844161,0.989769034585947,180.542214285714,188.9205,176.46367,55.5027455044533,63.9749,30.572734559426,91.4727,156.93305,121.988525,191.89425,220.90795,223.018975,7,2,10
"ZNF167",0.38242231286931,0.816172282971513,0.573710558525298,43.3814285714286,96.97055,58.14225,20.5160847822445,12.51255,15.0715907256906,10.0082,90.714275,28.988525,51.74535,103.226825,86.500825,7,2,10
"ZNF565",0.108321079337745,0.693190516467167,0.230069011019328,62.1975142857143,106.6211,72.60938,12.1871297220123,16.5036,6.41373478947589,39.1783,98.3693,59.869675,79.19875,114.8729,87.179075,7,2,10
"ZNF34",0.509700612169377,0.948744613802863,0.380525962746942,133.932542857143,74.02425,144.00907,15.6753716793765,6.51555,25.6999583516396,110.2549,70.766475,78.263425,158.91105,77.282025,213.357575,7,2,10
"ZNF140",0.954673958061868,0.737024712801325,0.720932838891229,570.204,517.47995,654.04207,50.9798859007158,183.43425,84.5474747268408,571.55275,425.762825,462.77495,591.2173,609.197075,831.152025,7,2,10
"ZNF658",0.927659157485215,0.766698007901776,0.691262245189314,37.1138428571429,29.64765,45.8006,4.27369600935866,10.92755,10.0717593466749,28.06825,24.183875,25.949525,45.82775,35.111425,62.8786,7,2,10
