"gene","p-adj-Low Grade-High Grade","mean-High Grade","mean-Low Grade","SEM-High Grade","SEM-Low Grade","Q1-High Grade","Q1-Low Grade","Q3-High Grade","Q3-Low Grade","count-High Grade","count-Low Grade"
"ZNF233",0.541890737922326,30.1068981927711,26.47213,1.43837505478688,4.17771262085833,12.5321,18.7298,39.100175,31.03055,332,20
"ZNF235",0.322689052647767,69.5048274096386,61.27723,2.00506066139378,6.0459574639506,45.9627,40.862075,85.3347,74.309825,332,20
"ZNF208",0.000555590098913261,73.604886746988,248.32796,10.8546081986514,98.0337770583635,2.9476,0.726875,36.0892,302.589825,332,20
"ZNF714",0.214396703477941,190.711268674699,144.94616,8.93963198041392,20.2513295284017,87.2561,85.749,240.328475,167.33615,332,20
"ZNF394",0.00237369422316047,510.876478012048,645.33955,10.586526517291,33.2846058661789,400.7964,535.041375,578.52675,737.08115,332,20
"ZNF333",0.0480945781705636,169.786170481928,220.763045,5.94987429382851,35.1942343525608,102.563125,132.8149,209.802275,253.40905,332,20
"ZNF382",0.0742075707726929,26.8140048192771,14.258395,1.70636735592373,3.48472026515665,6.89705,3.96115,34.2183,22.6666,332,20
"ZNF577",0.145655033711683,187.41181746988,260.310005,11.2236112844052,83.5884397312516,73.254425,71.596375,230.021275,275.97125,332,20
"ZNF75A",0.885746170727218,247.787443674699,252.653755,8.16907449915446,24.4999275775916,150.2319,165.6387,315.4569,350.5656,332,20
"ZNF496",0.167680954627465,269.869032831325,226.72767,7.50749421752026,24.8551822393557,185.538975,178.11395,324.514625,252.990425,332,20
"ZNF2",0.335976929654241,109.936280120482,119.25936,2.34469105810973,6.08497417548644,80.873625,102.58155,130.42535,135.469575,332,20
"ZNF589",0.360853168287339,251.123559939759,222.926935,7.37958346324632,27.4332622694683,156.535475,135.2341,312.627875,246.82535,332,20
"PRDM9",0.601799050801688,3.21318825301205,0.3525,1.34246878237028,0.211142918297935,0,0,0.97205,0.302875,332,20
"ZNF12",0.32197634396788,675.600278614458,608.30357,16.4958412700546,36.0424362499044,500.852525,463.108175,792.82495,695.160925,332,20
"ZNF202",0.0121015837370905,275.501605722892,345.641485,6.44442848111964,37.7484324974939,198.899325,255.5428,323.860125,373.692175,332,20
"ZNF3",0.164084302807051,724.595876204819,832.9103,18.8909196342978,40.4313982582915,507.8868,707.545825,858.8828,949.864725,332,20
"ZNF606",0.185315845156906,250.826035240964,303.063095,9.53078357770535,25.4411309503874,137.5988,227.314525,314.577525,328.71185,332,20
"ZNF91",0.119073142692319,396.195040662651,508.11769,17.1428082785277,64.5027570136787,176.4676,306.689525,507.293075,610.44425,332,20
"ZNF226",0.0370518366716475,362.541359337349,451.31031,10.3111923576455,22.3765104003082,236.644675,396.3988,444.522575,500.3503,332,20
"ZNF229",0.321583245399729,169.926140361446,126.677185,10.6096463521824,20.7652457219639,30.053475,18.975575,242.64355,200.31745,332,20
"ZNF180",0.564877977067739,184.475430722892,195.922115,4.7612474512452,17.3787395642541,128.887025,144.473725,215.99895,204.8989,332,20
"ZNF641",0.423475776450013,92.5813804216867,81.253665,3.39186906036618,12.0311403262693,50.65085,44.608525,122.40575,112.76925,332,20
"ZNF610",0.180540574446957,76.1367370481928,101.46864,4.54598560928962,14.7122836330813,21.50065,67.026175,105.0188,122.61095,332,20
"ZNF528",0.000420022355217653,273.195187951807,469.509465,11.4930177379684,120.812493342163,119.72345,230.30165,366.557125,400.72065,332,20
"ZNF701",0.231259954513986,120.520062951807,140.807335,4.03652725933628,16.1411007944956,71.1977,83.2537,150.75645,198.213425,332,20
"ZNF283",0.500318049863643,60.4762240963855,55.64376,1.73582462698851,4.46952087231659,41.3142,44.14425,71.859075,67.664375,332,20
"ZNF558",0.00679470967633766,391.926387048193,579.958445,15.6628989265516,109.113530554176,224.851275,333.2973,478.274075,638.81195,332,20
"ZNF597",0.00036661452722242,32.745290060241,50.84942,1.15407122892161,7.39449582268923,17.630825,32.4494,45.268825,61.01585,332,20
"ZNF30",0.547260444463574,74.6836298192771,81.23008,2.60582913141903,9.37003590903247,43.05345,60.9919,96.587425,86.1875,332,20
"ZNF354A",0.84372522121845,258.579096987952,252.692185,7.15903630744626,25.4949223706111,171.652575,182.326625,318.525225,279.010475,332,20
"ZNF764",0.642461841362549,178.622349096386,169.63869,4.70861676761313,9.09841944540485,126.1087,144.00335,203.0018,195.127775,332,20
"ZNF747",0.702623436568579,227.993817771084,237.233935,5.88033266754642,12.6896337916495,168.881075,207.521175,261.763525,275.2633,332,20
"ZNF778",0.102802349619347,58.8417460843374,69.1076,1.46820530877669,7.8097565066868,43.1814,41.111025,68.6364,78.822775,332,20
"ZNF212",0.53555977053186,457.232512650602,477.43593,7.67763404075381,37.3280213557767,355.315575,409.9226,537.949025,486.015925,332,20
"ZNF282",0.0233370393198431,1203.05635873494,1403.654605,21.1270843146171,75.2516185531736,952.393375,1209.10035,1415.561575,1493.365625,332,20
"ZNF160",0.000246642086147442,589.848776506024,863.668875,16.8057283267512,115.241574543793,392.241825,634.671475,722.75,875.52615,332,20
"ZNF415",0.0357074448048404,165.35187560241,214.50249,5.60310553104844,19.0521713364892,93.383375,180.5276,229.675125,237.768925,332,20
"ZNF439",0.0278847274393542,224.652469879518,343.77419,12.4516951356798,75.6829702686712,73.6409,173.825125,302.479825,367.842075,332,20
"ZNF440",1.57263811002561e-05,755.479218674699,1389.030525,34.1955854773336,159.438206886602,286.0959,957.629975,1068.628975,1743.3643,332,20
