"gene","p-adj-WITH TUMOR-TUMOR FREE","mean-TUMOR FREE","mean-WITH TUMOR","SEM-TUMOR FREE","SEM-WITH TUMOR","Q1-TUMOR FREE","Q1-WITH TUMOR","Q3-TUMOR FREE","Q3-WITH TUMOR","count-TUMOR FREE","count-WITH TUMOR"
"ZNF354C",0.0403005830351384,15.7828015706806,20.3827883211679,1.33995340682465,1.86297050630567,2.62415,3.527,23.1375,31.2711,191,137
"ZNF114",0.647546586852517,77.2664591623037,85.6605430656934,12.5297973838349,12.8028320122813,3.5632,5.6028,65.8831,94.5887,191,137
"ZNF454",0.0506276660169684,6.76368219895288,9.34399635036496,0.753622563565625,1.14384111062092,1.32725,1.4134,7.67785,10.105,191,137
"ZNF543",0.0444520280149213,108.950843455497,121.039209489051,3.40032485619572,5.25238909941076,75.9048,83.1557,130.78745,144.579,191,137
"ZNF354B",0.0569944863447847,105.934184816754,93.3697700729927,4.781173209005,3.98378712232721,60.8898,62.0829,134.5684,116.468,191,137
"ZNF223",0.201713823642952,129.634291099476,116.636879562044,6.67762990435605,7.5656293121737,70.68545,58.5533,163.46445,146.0725,191,137
"ZNF713",0.121600356793739,36.709187434555,43.3402153284672,1.97533616706376,4.22808084589288,19.768,18.8883,47.5621,51.2133,191,137
"ZNF552",0.0306312389106681,447.028284293194,360.350831386861,25.8002001884846,30.4620265758799,189.3229,126.2506,617.669,526.0573,191,137
"ZNF154",0.443429617392656,28.7459837696335,25.8015569343066,2.7525619524293,2.4072565262653,10.408,10.0856,30.2351,30.3943,191,137
"ZNF571",0.826251283491999,84.1767371727749,85.4337810218978,3.23812526995656,5.0277334063308,52.1496,45.2237,104.95665,104.8009,191,137
"ZNF443",0.0253596019368525,136.744468586387,113.147671532847,6.86265627239488,7.89386531843456,63.6979,51.222,193.7849,148.2823,191,137
"ZNF792",0.263436819219247,139.418139790576,127.857312408759,6.10052524545874,8.72771780243175,79.1659,66.9899,188.11835,156.5692,191,137
"ZFP82",0.0247190767374632,72.2361120418848,85.7187496350365,3.64446531938456,4.89647778070214,38.73595,47.619,92.70685,116.4948,191,137
"ZNF707",0.133010483304809,313.904020418848,337.032489051095,8.50201272378064,13.7253233546761,228.50645,226.0674,379.193,408.4668,191,137
"ZNF746",0.308259372545214,482.941935078534,505.884489781022,13.3835968430997,18.8852640247791,385.96505,383.9924,540.4399,556.3155,191,137
"ZNF678",0.0850896353989272,33.0909884816754,37.4496233576642,1.50141369653196,2.12108225465074,19.03525,17.6289,39.76455,50.7585,191,137
"HKR1",0.280297381237601,749.675587958115,701.527455474453,28.1969642451441,34.9038464931401,513.8848,477.6055,900.94395,844.189,191,137
"ZNF101",0.846534862362242,115.036596858639,114.009859124088,3.28793527180584,4.26204233110971,87.59635,78.4614,133.9454,129.1798,191,137
"ZNF716",0.0302967720434374,2.35423246073298,5.06147810218978,0.490861773150043,1.30074512334742,0,0,0.393,0.9169,191,137
"ZNF708",0.7914102356894,168.579109947644,165.11139270073,8.00608124320362,10.7109067451348,92.15935,76.9231,214.82825,218.203,191,137
"ZNF721",0.472945014158908,421.063372774869,404.68809270073,14.7752253742895,17.3140600060288,278.08365,260.2729,519.83105,513.3653,191,137
"ZNF662",0.202954955024507,265.506148691099,208.573886861314,32.3835735568823,27.1538309502486,18.86715,15.6933,313.55755,231.8008,191,137
"ZNF320",0.0489636690459261,889.196276439791,746.739028467153,50.4390961163778,47.932600221734,403.05785,333.3333,1301.1921,1038.7529,191,137
"ZNF530",0.22957912171811,94.8179507853403,102.054335036496,4.0410434423676,4.31761149343927,62.03325,71.3135,110.12105,134.6046,191,137
"ZFP1",0.219952997684223,201.960678010471,215.695431386861,6.5817868294194,9.48432596225033,151.95515,153.2155,225.6699,248.7914,191,137
"KRBA2",0.654822717705975,44.5921219895288,42.9931379562044,2.21019452238386,2.88236862460171,22.9369,23.4812,58.06465,53.9156,191,137
"ZNF93",0.36381288779607,140.133492146597,126.554053284672,11.0552868612255,8.55514640908715,57.55865,59.4256,167.70075,160.4906,191,137
"ZFP90",0.303085005138303,548.836442408377,578.773831386861,16.967107694347,24.8019331371498,405.00435,395.1622,636.59885,712.7303,191,137
"ZNF479",0.182911213639045,0.534688481675393,1.24905255474453,0.173114450950772,0.584380868685461,0,0,0,0,191,137
"ZNF445",0.614362663466257,472.010051832461,461.820613138686,13.0285819492674,15.4642778613883,353.76185,348.4238,574.29755,549.3806,191,137
"ZNF74",0.210940875769648,451.52177382199,406.382453284672,26.0431409530709,22.1179294388287,263.01955,246.1059,516.7328,471.8508,191,137
"ZNF829",0.0137034088456818,12.3277722513089,15.8468510948905,0.791970202533071,1.26196936638748,4.93775,6.5817,16.2059,19.9522,191,137
"ZNF267",0.649228058822758,366.638986387435,358.045067883212,13.0402935467369,12.8916551425066,265.1764,258.2636,415.1975,440.0786,191,137
"ZNF566",0.682407018628397,156.999038743455,153.182101459854,5.89301349387449,7.3214855222274,105.06915,95.3622,191.7236,182.8914,191,137
"ZNF224",0.037902255048565,254.919202094241,214.235469343066,13.9335121156563,12.3946689803146,149.25015,121.3152,312.5362,257.4524,191,137
