"gene","Stage II-Stage I","Stage III-Stage I","Stage III-Stage II","Stage IV-Stage I","Stage IV-Stage II","Stage IV-Stage III"
"ZNF556",0.568259248929422,0.660610990521726,0.914963442653481,0.653884112256627,0.933081423792226,0.999954436791831
"ZNF554",0.998822962377303,0.999304100582611,0.615579075985018,0.999414270662672,0.641447685569763,0.999989237527977
"ZNF738",0.563354463535848,0.529456031132544,0.995517242390821,0.492397887058712,0.960422231831608,0.993414764644248
"ZNF596",0.898983194545525,0.992936680833296,0.237094749942901,0.993787631644414,0.222219605425004,0.999951203080176
"ZNF621",0.982901618310263,0.988180491009391,0.997311651535589,0.943973753471866,0.83413618547463,0.719675935637817
"ZNF680",0.190140128528213,0.219781287877345,0.986337598656761,0.240790612062232,0.945888016436697,0.996390783596283
"ZNF483",0.998970885820613,0.997018888427768,0.992997106793193,0.967798611422431,0.500804823706993,0.662221418183435
"ZNF417",0.919988607468638,0.836919463847432,0.81153248957679,0.922507962596048,0.999986253577205,0.791332339682739
"ZNF791",0.954993017208522,0.952752953162321,0.999979025003646,0.967789376957451,0.994139571740222,0.990805602741729
"ZNF519",0.80915369486786,0.871353879387493,0.938348492095166,0.754056220484064,0.971107247068025,0.73234604913554
"ZNF25",0.999982149840898,0.953712766900638,0.136505324785634,0.941676834379136,0.090432464515384,0.99701853563946
"ZNF77",0.987880269454711,0.9977014823308,0.922937582679254,0.9988719813467,0.855554204408724,0.998035391990315
"ZNF169",0.998100831846504,0.9995482256119,0.990832227893256,0.95882650959532,0.475491393739412,0.295975397431206
"ZNF613",0.753216546913197,0.65327500268381,0.884004253313012,0.77210750662351,0.998841763636848,0.812295485470006
"ZNF404",0.854397500165639,0.977060846832741,0.300761146655306,0.916869368514211,0.904572734337019,0.710244374363834
"ZNF135",0.2379458658029,0.138461933791082,0.622838152884804,0.220859893644607,0.998071667006803,0.729335219435628
"ZNF620",0.931530418895641,0.999888357980003,0.0162201651781471,0.99999835040866,0.0497874804554909,0.981705292976723
"ZNF619",0.81891452302369,0.74939184345045,0.942614778555298,0.734214833382025,0.90608745155136,0.999407797550996
"ZNF354C",0.94516496131007,0.936013093121059,0.999010519032146,0.9556005339082,0.997954776877391,0.988384913693233
"ZNF114",0.951168646003019,0.849489552369883,0.603938516407026,0.920664557341757,0.969015531528005,0.861995831826247
"ZNF454",0.922311727608873,0.994727918802078,0.320565234479771,0.999960864887506,0.0155872899986722,0.553516234036656
"ZNF543",0.885346452827183,0.761864444909924,0.685515529709872,0.848814542782216,0.983407687255167,0.879775395285702
"ZNF354B",0.999561236725115,0.999923272237081,0.996701222350615,0.996223301562401,0.959007674771323,0.889930876224966
"ZNF223",0.0593442311061626,0.00705028617691039,0.00721294616463686,0.00831792522464481,0.0156310064226444,0.996218920850433
"ZNF713",0.99935602544638,0.996342278165599,0.431731415465759,0.996447335267962,0.44477591681744,0.999999727282855
"ZNF552",0.580354936985135,0.224380493414019,0.0243977067722101,0.326006181529553,0.240907657145889,0.774344465336261
"ZNF154",0.999826706377652,0.998413927712493,0.701114479460466,0.999999997218671,0.986724528881728,0.879070837449633
"ZNF571",0.999321860573553,0.931079709384583,0.144881658857965,0.999790508699898,0.998009832562688,0.0950379992056911
"ZNF443",0.881020403602513,0.335488182624905,0.000210569263163762,0.509411092717094,0.0238570574086122,0.552343051232628
"ZNF792",0.892108267477212,0.786995298820605,0.760706335954588,0.735977986050563,0.518439994341787,0.977688661893327
"ZFP82",0.972091275735387,0.999838656409839,0.377680340998159,0.928826842839799,0.870031279011079,0.0815865851468083
"ZNF707",0.711175362877652,0.536682484197907,0.607372735512435,0.489532016467867,0.406505142518984,0.98676475381321
"ZNF746",0.987136372249697,0.842555650399314,0.129542016548015,0.949142391498971,0.799772345396472,0.580722008406525
"ZNF678",0.968367650257067,0.953219995901767,0.990541390349435,0.996727871641011,0.696756247637146,0.497206481384518
"HKR1",0.999068013234621,0.996961493423657,0.424221125363377,0.999947210317063,0.98200318508274,0.658128123470425
"ZNF101",0.999563972355789,0.999999954573964,0.95954351016459,0.992401575147158,0.871981080425743,0.582273621349357
"ZNF716",0.999086767039894,0.985025917747559,0.773678605054757,0.953140833531009,0.318947252248896,0.866847610563156
