"gene","p-adj-2-1","p-adj-3-1","p-adj-3-2","mean-1","mean-2","mean-3","SEM-1","SEM-2","SEM-3","Q1-1","Q1-2","Q1-3","Q3-1","Q3-2","Q3-3","count-1","count-2","count-3"
"ZNF169",0.709920240993226,0.789521622007861,0.992619636975641,31.6768338709677,29.0722867647059,29.4563180327869,2.96434989572204,1.72342469153741,2.3131369818792,17.139025,18.931975,17.2712,36.954375,37.104625,39.818,62,68,61
"ZNF613",0.095491223205269,0.32872902009348,0.811008759050511,80.8629822580645,67.7181705882353,71.622906557377,5.59362094110879,3.58685336588899,4.21976429217215,50.1584,53.54615,51.3075,96.957775,81.071425,92.1111,62,68,61
"ZNF404",0.407242024987941,0.514708123083674,0.987597803973316,45.2077483870968,34.5606382352941,35.815837704918,6.53319594386585,4.64192785818109,6.63486512561066,10.66675,11.82305,10.8077,54.2364,44.42965,37.6695,62,68,61
"ZNF135",0.00133624068194826,0.00941339203383618,0.865038983416769,64.0471290322581,27.1349014705882,32.4710737704918,9.99567221974604,4.40364164131817,7.15734443141304,12.34825,5.094875,7.5347,84.9154,30.16815,35.0109,62,68,61
"ZNF620",0.216898177279292,0.757139883763635,0.614417671829203,45.6355161290323,38.3193,42.4478049180328,3.96313418836971,2.58573370210217,2.6778766159177,22.76955,22.62375,26.849,56.245175,50.357975,52.3016,62,68,61
"ZNF619",0.967228204108344,0.0856077643536344,0.0424282554946719,37.7790467741935,36.7094529411765,47.3168491803279,2.9642282338622,2.8111467014845,3.55060060884542,20.514175,19.501025,26.5418,49.69565,50.67375,61.9122,62,68,61
"ZNF354C",0.000358277259077333,0.0433294364005545,0.326320381177739,17.7227016129032,5.44636176470588,9.94749344262295,3.33146966661397,0.934838707046047,1.93672176065677,1.52695,0.6454,1.5283,19.0531,7.48365,12.3307,62,68,61
"ZNF114",0.358165240993501,0.984845688457973,0.276732569848275,2.82275161290323,11.0678985294118,1.79483442622951,0.254915592450032,6.94837123944668,0.278053930972802,1.296925,0.69235,0.7165,4.145325,3.754975,2.3547,62,68,61
"ZNF454",0.541627036757529,0.276764315199135,0.0254248287099387,6.05839516129032,3.90837352941176,9.26406721311476,1.51580838963223,0.691690466883944,1.97870268305597,1.4147,0.81445,0.9418,5.1821,4.238925,10.2769,62,68,61
"ZNF543",0.126384104436149,0.234148249615581,0.958788251008297,77.9583596774194,65.2468014705882,67.0511918032787,5.72707985507367,3.76354540541895,4.34699759322442,50.03745,45.639825,47.8126,101.618925,83.5571,79.1833,62,68,61
"ZNF354B",0.356267590344311,0.984006973659172,0.458273566777913,65.5413564516129,56.6921088235294,64.4107114754098,4.97113830989236,3.67508375288791,5.16582082783041,39.108625,33.67405,36.3901,75.646625,72.3911,75.6238,62,68,61
"ZNF223",0.938621679001669,0.433140042614928,0.623929859161564,57.9030370967742,55.1976367647059,47.7693393442623,4.43244860185626,6.47266354617644,5.79726993269094,30.667425,33.134625,24.0175,82.89875,57.0116,53.3377,62,68,61
"ZNF713",0.00648577057522337,0.0158490334880351,0.973312988684544,26.8703016129032,18.5479485294118,19.1470819672131,2.54665460571649,1.64931447253886,1.41192658496684,11.52825,8.39055,10.7239,35.984225,25.519875,26.3944,62,68,61
"ZNF552",4.82759323403581e-05,7.82931847775892e-06,0.847038357981084,188.83415483871,129.678338235294,122.30622295082,13.4548588209687,6.71746522485284,7.37735303686105,112.18685,95.0645,84.5993,258.135275,152.4398,150.7207,62,68,61
"ZNF154",0.0814447214025624,0.21740382580215,0.901198784536602,21.7643096774194,14.4305941176471,15.9145655737705,2.67735535026653,1.7974632967723,2.79807856304599,7.090875,5.42825,6.6852,23.178175,17.59775,17.1741,62,68,61
"ZNF571",0.394502307516905,0.763969354931335,0.829206742683768,53.1901161290323,47.1795794117647,49.8790590163934,3.41694181780699,3.46759833990755,2.88760987398684,34.021475,34.707975,34.7438,66.9831,58.753775,59.4662,62,68,61
"ZNF443",0.0107872570055714,0.776720390186875,0.0706856236334863,73.4072806451613,57.8019176470588,69.6923081967213,4.90059580755019,2.7652042554,3.62167324698627,49.839625,41.68955,50.5192,87.8349,75.84435,86.6021,62,68,61
"ZNF792",0.165157136167755,0.0438222857260667,0.789443364736924,120.713267741935,101.295342647059,94.2791459016393,9.95706089421041,6.83138004728573,5.35264934484624,60.84045,67.270325,60.2721,154.6436,117.956825,120.8178,62,68,61
"ZFP82",0.0245850814030889,0.692387411838298,0.176435821397808,49.7166112903226,30.1367029411765,43.4758540983607,5.76854084390229,3.96603728348741,6.16276868490119,16.378375,7.559425,13.3712,65.924425,39.538025,51.2282,62,68,61
