"gene","p-adj-N1-N0","p-adj-NX-N0","p-adj-NX-N1","mean-N0","mean-N1","mean-NX","SEM-N0","SEM-N1","SEM-NX","Q1-N0","Q1-N1","Q1-NX","Q3-N0","Q3-N1","Q3-NX","count-N0","count-N1","count-NX"
"ZNF563",0.537525581895994,0.0949454227555429,0.17681258768822,81.1534066945607,71.6066625,87.5348327338129,1.75635073485368,11.878503422008,2.36781146842448,63.37155,46.005825,70.273975,94.1186,80.03105,96.307925,239,16,278
"ZNF567",0.951481913109839,0.972589409895859,0.923985443191399,115.505138912134,118.34915625,114.778935611511,2.5875725072168,11.2700920381814,1.97738705779563,92.941,95.65585,94.00975,131.7347,135.81295,132.3542,239,16,278
"ZNF573",0.0761712323330486,0.807416676635842,0.120096746433152,31.2388782426778,21.7022375,30.3059899280576,1.12470505777301,3.3640784808755,1.00591638496093,18.73385,10.89835,17.157975,40.6648,28.45485,40.089325,239,16,278
"ZNF527",0.0902962978374218,0.996985691733716,0.0834381185220295,126.334794560669,105.9450625,126.57994028777,2.60733568033629,7.94288597870696,2.11881070505291,100.73545,90.079475,105.795125,148.15525,122.808125,150.308075,239,16,278
"ZNF33A",0.323378509632149,0.979939837296212,0.354187383810348,1150.46289707113,1014.33676875,1144.25243381295,25.1833388732476,55.2401946052131,21.2156265688156,896.4413,857.827725,906.4275,1377.92115,1142.972275,1333.82395,239,16,278
"ZKSCAN3",0.266353596129381,0.384976715645243,0.508904149577042,70.5336447698745,59.03011875,67.1991143884892,1.91092043511651,6.34541108257389,1.68133473914298,49.5768,40.81955,46.708875,86.61915,70.5024,81.56835,239,16,278
"ZNF676",0.458942468337484,0.944809536143936,0.522964504504901,15.8295790794979,5.3716875,14.8670525179856,2.06663104599847,2.77319667917843,2.18555486128768,0.98265,0.681275,0.909275,11.02905,3.216075,9.376075,239,16,278
"ZNF699",0.105552387711589,0.999121567602067,0.100414376430314,40.977480334728,28.81366875,41.0591133093525,1.51424588352333,5.30904215671024,1.38428128302627,23.9664,8.896175,22.328175,52.8716,48.75165,57.559425,239,16,278
"ZNF250",0.882709217249005,0.261628285050643,0.567650556728892,224.587966527197,213.6855375,236.838972661871,5.49628532449173,39.1362978044976,5.20454391171277,174.98305,153.20855,193.128675,260.73515,220.715425,264.4635,239,16,278
"ZNF79",0.895726536687167,0.748667585910758,0.764839969742115,106.26529665272,102.629975,108.279665107914,2.14031202287973,9.57770455744529,1.77623925423022,84.2433,90.9557,87.8511,125.39615,115.05645,125.940775,239,16,278
