"gene","WITH TUMOR-TUMOR FREE","mean-TUMOR FREE","mean-WITH TUMOR","SEM-TUMOR FREE","SEM-WITH TUMOR","Q1-TUMOR FREE","Q1-WITH TUMOR","Q3-TUMOR FREE","Q3-WITH TUMOR"
"ZFP82",0.966397059397978,75.5216702341137,75.8573466019417,4.03726439805307,6.83521693071041,26.24005,29.0405,101.1466,110.60655
"ZNF707",0.813072887198121,292.449651170569,296.299021359223,8.42521587616388,13.035178330373,194.8624,215.79475,359.2235,328.44175
"ZNF746",0.143460138687149,665.288385953177,724.558904854369,20.1212793523941,36.5334854753959,431.91715,480.16945,782.5624,900.79595
"ZNF678",0.119945623819782,40.866947826087,45.017272815534,1.24038701457429,2.7642127624577,26.49075,26.0135,49.9013,55.34885
"HKR1",0.755891290275352,580.424127090301,595.253652427184,25.3980794582201,34.0161040894903,363.8985,397.8219,680.82415,692.1787
"ZNF101",0.527914635354101,122.111075585284,117.650185436893,3.7649045968853,5.02183521145106,81.9513,78.6373,144.16485,143.9884
"ZNF716",0.175465215732455,3.24651571906355,1.42863398058252,0.75817215291071,0.597843938125037,0,0,0,0
"ZNF708",0.9833294890822,116.734426086957,116.553631067961,4.6830124904455,5.66606994728273,71.1136,72.8573,144.35685,153.38245
"ZNF721",0.517171778992906,357.105158528428,377.671145631068,17.8859492685523,14.9087123460966,233.3555,280.26295,418.49625,440.5584
"ZNF662",0.740582738634555,71.2285732441472,68.2914281553398,4.58363043942002,7.14505341200381,16.6605,19.87875,98.59475,95.9519
"ZNF320",0.88313439179232,372.997495652174,378.476608737864,18.4070183870637,34.2586537938237,124.8736,135.4273,527.47175,519.2247
"ZNF530",0.609183878286351,97.4177605351171,100.388642718447,2.84967303779376,5.4287553831394,65.42205,64.0634,119.9454,124.1674
"ZFP1",0.196102467467154,210.883239464883,227.781716504854,5.32773781623873,16.000219630607,148.4865,151.82995,244.3232,245.5918
"KRBA2",0.0305380063452314,42.1955608695652,47.8153106796116,1.32432594397925,2.16204634987857,26.3439,31.17445,54.51185,61.3326
"ZNF93",0.435389227595045,84.4105678929766,75.3768475728155,6.39211641015829,6.62777419470261,29.63305,27.9187,108.255,94.2415
"ZFP90",0.289954075180861,462.770640468227,485.360880582524,10.5910011278905,19.3487263798505,335.16965,343.2231,541.32165,590.83385
"ZNF479",0.539019736423713,0.539157525083612,0.0881679611650485,0.429917492443844,0.0430979386871536,0,0,0,0
"ZNF445",0.00167799764246346,438.923855518395,501.251241747573,9.77738314420762,17.9292706825761,327.85835,364.06215,530.25465,581.9252
"ZNF74",0.157510861998235,506.341448494983,428.901798058252,31.3146063946503,20.1350890741292,307.6876,271.0836,568.29705,537.45405
"ZNF829",0.450578666353053,17.065862541806,18.7144796116505,1.03876665550039,2.17925173885506,4.64095,5.11415,22.7297,24.46185
"ZNF267",0.743044304539858,457.660955518395,450.911094174757,10.8146102460562,15.5862171834767,340.71135,334.61575,537.29925,560.8574
"ZNF566",0.660176458413822,163.82697090301,159.126049514563,5.34470915252714,9.52229269810858,111.48755,110.1475,192.1742,182.4985
"ZNF224",0.0582040836125085,178.176271571906,198.404752427184,5.31538051267687,9.546539028275,111.36615,133.24015,229.3556,236.35345
