"gene","MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF33A",0.668949770150018,638.780691338583,626.324954820937,28.0142171840161,14.1618234497864,425.3306,440.91255,812.2947,778.8118,842.940401960784,629.176867265469,814.44,561.4126,713.65275,950.6108,437.749,783.3816,25.9032385271335,12.5347785024323,0.746407297362809,0.689323461519572,-0.421965003904453,-0.536746975782145,"LUSC"
"ZKSCAN3",0.99635987731938,73.6909952755906,73.7083556473829,3.51853041090943,1.88319839025702,45.75,45.5889,96.08415,93.9234,69.3214450980392,73.4483193612774,73.0887,65.9979,57.7575,79.67415,45.082,94.1364,2.87769145428232,1.64421551341977,1.05953243267508,0.902983634953146,0.0834277498085779,-0.147228253344997,"LUSC"
"ZNF676",0.622254165110664,3.5114094488189,4.22833278236915,0.671799388187832,0.827042552183244,0.13555,0,2.5576,1.5687,6.07252352941176,3.97933992015968,5.2889,0.5794,3.95565,7.87085,0,1.8069,0.499848354412151,0.623135180640944,0.655302511531833,0.109550190020609,-0.609767033832928,-3.19033610812607,"LUSC"
"ZNF699",0.576587303625436,30.7854669291339,32.1683862258953,1.85542040056922,1.31189834614994,14.729,16.20225,43.0058,39.90115,34.4252823529412,31.7357954091816,33.6391,25.9851,27.8755,43.18985,15.816,40.5114,1.64093481683808,1.07506400582148,0.92187465839246,0.772467158752761,-0.117357485239482,-0.37245449638386,"LUSC"
"ZNF250",0.00564655481106036,208.367662992126,183.997646831956,8.4428421062051,4.26265793576161,147.0654,125.60375,246.87805,218.3625,201.866317647059,189.499650898204,201.6012,173.3655,185.85995,229.7624,128.5182,226.5674,5.93055005609965,3.81836457515115,0.938738334889147,0.859942797959536,-0.0912050196129342,-0.217687397682819,"LUSC"
"ZNF79",0.264607060940045,111.443341732283,106.729445730028,3.63592037544447,2.14811462007767,82.8719,77.79925,132.9227,127.32065,98.4459,107.875053293413,91.063,101.0929,81.54415,114.9181,79.2239,129.6588,3.18651693671454,1.82261850411808,1.09578005070209,1.11014242886793,0.131958243913363,0.15074478309742,"LUSC"
"ZNF681",0.266081151313098,77.5475362204724,89.4918085399449,7.11036554564517,5.83548834085324,20.1747,18.94415,102.35605,112.992,62.5191058823529,87.4570075848303,62.1359,59.0184,44.71005,79.41195,19.2421,108.855,3.48315073837446,4.67603341520684,1.39888449059724,0.949827716344336,0.484276840470867,-0.0742622396712006,"LUSC"
"ZNF766",0.442587628248852,423.408362204724,411.230220936639,13.6565045194068,8.06460717265568,323.956,307.1276,506.2042,490.31875,313.553456862745,413.4475750499,305.3364,396.5468,264.7979,358.6106,307.4811,492.6602,10.4984828927598,6.89912400194428,1.3185872010044,1.29872101721249,0.398992982879875,0.377091553718231,"LUSC"
"ZNF471",0.0943255963577614,68.5710488188976,56.9801983471074,7.10753790598126,3.24866549839348,16.0647,13.70205,101.47665,79.91415,116.265876470588,59.7319271457086,114.4248,36.6625,93.91005,134.4554,14.0598,84.2144,4.5993998075355,2.97811235213781,0.513752865061994,0.320406939754319,-0.960853560547144,-1.64202269919843,"LUSC"
"ZNF836",0.399928930191192,95.8599598425197,92.0210035812672,3.66478966416645,2.37048287572789,71.44415,59.72395,116.006,113.50265,112.667676470588,92.7298397205589,110.8578,85.9328,96.84895,125.0198,61.2537,113.8355,3.40946978226256,1.96680079388143,0.823038537985346,0.775162415274342,-0.280968109855711,-0.367429473324049,"LUSC"
