"gene","C2-C1","C3-C1","C3-C2","C4-C1","C4-C2","C4-C3","mean-C1","mean-C2","mean-C3","mean-C4","SEM-C1","SEM-C2","SEM-C3","SEM-C4","Q1-C1","Q1-C2","Q1-C3","Q1-C4","Q3-C1","Q3-C2","Q3-C3","Q3-C4"
"ZNF227",0.420027082600127,0.327512896025851,0.997350302833106,0.499816388494325,0.981092977073704,0.922032509372849,343.4252,250.68388,242.404466666667,265.32033,39.887,25.5969789631394,34.800179415837,21.7299347167913,323.4817,211.0142,220.18505,227.65145,363.3687,284.1731,277.173375,300.6637
"ZNF141",0.988535241913158,0.060109740237364,0.0210661430006034,0.0584525063192586,0.0151950764633462,0.997084834716692,32.4287,42.14122,113.5503,109.78563,14.7378,20.9941303256267,12.432306519146,11.2880804731269,25.0598,10.4287,88.4365,76.656025,39.7976,42.0402,133.9907,133.5187
"ZNF304",0.0445617530364502,0.416396130753791,0.285313405835761,0.907734660200853,0.0134594888738192,0.465170278172732,365.87055,95.68414,221.254616666667,307.60185,143.10515,34.6673082765536,39.1676310949098,37.9703216290778,294.317975,39.3232,159.07105,281.9861,437.423125,111.8774,301.8422,367.9833
"ZNF132",0.985292502758929,0.964822603313311,0.686943486661874,0.676267248577064,0.180562658247135,0.77756410123231,44.6635,34.48186,58.1421166666667,75.42124,6.0229,2.80361050122873,13.6920179498474,13.9916975621354,41.65205,30.9695,36.634975,37.97515,47.67495,39.3232,74.2208,86.8035
"ZNF20",0.997911540985987,0.99845945238877,0.999990596435235,0.999976748111099,0.987369097922472,0.988919942170898,115.77885,108.2447,109.1411,117.3296,24.85665,5.01508193681818,16.524464753954,20.6821105635603,103.350525,106.53,82.48255,88.54805,128.207175,115.3501,114.1129,121.539025
"ZNF670",0.824936589578642,0.798201253705343,0.999971406124331,0.843358801870499,0.998712645061868,0.996579841843731,121.3083,89.46452,88.3263166666667,93.13832,24.1805,24.4554888137694,16.9468390760129,13.0993327205778,109.21805,56.1703,59.7455,68.38735,133.39855,88.2062,111.566975,114.72885
"ZFP37",0.873373658190592,0.999949421386098,0.765592881950307,0.755248616832419,0.0825420658230087,0.418011032871043,45.82995,28.2255,44.6607333333333,67.25861,19.99195,9.58283263503021,6.78552147436813,10.9222320743259,35.833975,8.7241,33.354325,44.685625,55.825925,33.3651,53.166075,93.97815
"ZNF189",0.894733268836031,0.933373554465475,0.998086028345476,0.98447211814293,0.41694007430001,0.476988378535149,475.6126,597.93154,576.11175,418.76368,189.9981,133.004642242459,104.190866771046,28.0173990526673,380.61355,413.3043,465.676225,356.153425,570.61165,550.2693,587.43125,467.654925
"ZNF434",0.426258746063568,0.718704717825804,0.886600238080959,0.79694705707233,0.704926862642827,0.990449571498478,392.5836,281.652,318.988683333333,332.13032,73.4495,24.9629083168007,44.6773001810346,24.7121749863,355.85885,241.4438,244.480025,261.9867,429.30835,308.7971,319.69695,405.109
"ZNF287",0.998265443528409,0.909890215240764,0.679332754021035,0.166261915492555,0.0168994858106726,0.155033250950492,42.45775,37.55108,61.38255,101.41039,9.63655,9.78397248183988,14.1577444894011,12.9778184919967,37.639475,29.6349,41.3645,68.71195,47.276025,38.7132,69.955175,132.6762
"ZIM3",0.93038365090157,0.767601940827275,0.963133801076706,0.999265146879613,0.879368003992438,0.546611316914751,0.352,1.11766,1.55775,0.5001,0.352,0.89850393744268,0.773690659436961,0.327514043804062,0.176,0,0,0,0.528,0.9533,2.5493,0.480375
