"gene","p-adj-GASTRIC-EBV-CIMP-GASTRIC-CIMP","p-adj-OTHER-GASTRIC-CIMP","p-adj-OTHER-GASTRIC-EBV-CIMP","mean-GASTRIC-CIMP","mean-GASTRIC-EBV-CIMP","mean-OTHER","SEM-GASTRIC-CIMP","SEM-GASTRIC-EBV-CIMP","SEM-OTHER","Q1-GASTRIC-CIMP","Q1-GASTRIC-EBV-CIMP","Q1-OTHER","Q3-GASTRIC-CIMP","Q3-GASTRIC-EBV-CIMP","Q3-OTHER"
"ZNF169",0.837805588467076,0.843701131816376,0.575562251892489,98.85038,77.8244,111.4660375,18.2625357034942,28.4762,11.3069047565042,71.263,63.5863,85.206675,141.0867,92.0625,116.83155
"ZNF613",0.151862752569784,0.96433797810148,0.139150489250549,92.12072,149.35545,96.7467375,4.91161792899244,61.13385,8.35386157622068,91.8911,118.788525,75.2863,100.8111,179.922375,107.537925
"ZNF404",0.114672319270624,0.469771107980258,0.299003752720985,19.67414,54.61295,31.83355625,3.91254364264477,10.15295,5.54438677391354,12.7462,49.536475,14.32945,26.2154,59.689425,43.396775
"ZNF135",0.804768757916539,0.0643556778693273,0.623200412963365,20.83852,52.11485,93.77219375,6.34396118804332,13.70705,16.9474797514421,10.4287,45.261325,29.56685,25.627,58.968375,167.556975
"ZNF620",0.85981388157525,0.667613280901008,0.479711643493572,62.3348,46.18475,78.62185,10.9159022553795,21.04505,9.93963639170636,45.3321,35.662225,53.440925,62.4859,56.707275,86.79325
"ZNF619",0.948676330276358,0.416934627162602,0.451846013056758,100.23686,92.13135,120.9193625,15.6234237527054,26.48885,7.44458339640795,73.6086,78.886925,107.39015,125.3575,105.375775,130.4103
"ZNF354C",0.455797403380752,0.0660757316430398,0.95986729328354,15.34708,47.36275,53.7843125,8.07776902067644,23.38695,8.48830421087292,8.079,35.669275,22.65625,10.0095,59.056225,79.763375
"ZNF114",0.921209543469605,0.74073424487727,0.996755961026249,1.7038,36.39225,42.56641875,0.302877752566939,31.11245,30.8219581906177,1.1587,20.836025,4.801275,2.2442,51.948475,21.53925
"ZNF454",0.763478292360262,0.0783115717327073,0.714614071580237,6.9405,17.5855,28.2523875,1.42275703899155,0.338100000000001,5.19509998605958,4.635,17.41645,10.9809,8.079,17.75455,43.83375
"ZNF543",0.207937558910804,0.710393113778468,0.348939045496958,146.58584,264.70905,179.22713125,31.1741258797196,137.61405,17.2204308977077,109.5153,195.902025,130.06405,144.4929,333.516075,238.34595
"ZNF354B",0.978621038364775,0.628163794534355,0.910139010681068,111.835,117.59805,128.40273125,16.4442905618941,33.47275,8.29947108755391,96.5104,100.861675,108.251175,132.0305,134.334425,152.90125
"ZNF223",0.373552265395736,0.240894897508183,0.91979422034889,57.23012,104.0542,92.1195125,16.4148891649746,34.5942,10.3003578646564,31.0796,86.7571,69.733,69.148,121.3513,109.922975
"ZNF713",0.369737323133024,0.00954141805369935,0.757196721067575,38.7571,82.78135,103.2439625,9.96373940200164,2.64635,10.6203178036836,29.3136,81.458175,73.6513,31.6249,84.104525,121.4035
"ZNF552",0.276335000359274,0.420464092326481,0.654042250676561,131.67706,236.10395,183.565775,17.0537295665376,129.26035,18.8529292095033,109.0513,171.473775,126.152575,151.5729,300.734125,236.476
"ZNF154",0.960048197858829,0.129507217459716,0.532830916963756,36.45024,56.80425,129.65606875,3.02992166789836,17.46535,25.7320239457126,29.5481,48.071575,60.841675,41.4395,65.536925,141.98955
"ZNF571",0.00385904056811803,0.805875252834681,0.000535796204859551,91.16212,182.85335,81.6153875,11.9944030722833,35.72205,7.10122876144729,70.2967,164.992325,57.161925,120.3527,200.714375,95.413025
"ZNF443",0.912212004642994,0.74313815220699,0.608637490889478,78.60526,60.7188,98.403375,21.9377811601948,17.4227,13.5926596517983,54.3088,52.00745,61.595275,91.5411,69.43015,129.598975
