"gene","p-adj-NO-[Unknown]","p-adj-YES-[Unknown]","p-adj-YES-NO","mean-[Unknown]","mean-NO","mean-YES","SEM-[Unknown]","SEM-NO","SEM-YES","Q1-[Unknown]","Q1-NO","Q1-YES","Q3-[Unknown]","Q3-NO","Q3-YES"
"ZNF222",0.941627858938163,0.77621714999597,0.627629434392711,33.31045,35.2102,28.3175,3.60343207298559,5.1080624866079,2.73816147606382,24.26785,23.59365,25.5862,45.67565,43.24855,32.3331
"ZNF221",0.989146856259794,0.846149791941457,0.900783702410839,42.4580583333333,40.8429909090909,34.37208,8.36052503714546,8.9345025478296,6.67809122492348,15.66905,18.03225,26.8745,54.788325,55.9177,31.2837
"ZNF233",0.0669055974654635,0.823995766587298,0.445694311462465,24.2917166666667,40.1285090909091,29.40274,4.42308407900808,5.4953496087056,5.49603344927958,15.29425,29.1893,22.3216,28.664125,52.6648,41.7116
"ZNF235",0.723426506898228,0.834730004049762,0.999498963195414,84.985925,95.3860545454545,94.8611,6.34723309026383,12.6391581934469,12.574213311973,68.37525,64.6756,70.9131,98.5103,113.5428,120.6445
"ZNF208",0.956588348076335,0.984167586414012,0.998520064406282,67.5857666666667,59.1259909090909,61.12092,20.2451213223399,23.7740754025795,23.4873113387718,19.05965,14.4177,20.3079,104.4389,72.67665,63.2741
"ZNF714",0.841442018692039,0.918108028088723,0.69193016141766,339.710341666667,295.647327272727,379.1627,55.0973937273482,46.1164998214445,111.404260964651,208.04015,220.66575,201.3664,414.79345,310.2177,455.5053
"ZNF394",0.940888953565806,0.970802719683778,0.878286198817734,516.542191666667,536.465881818182,498.83678,39.8463402519689,45.0315787614502,63.7670763231183,410.8002,460.5479,441.2054,654.260175,543.2112,507.3714
"ZNF333",0.968198950234848,0.974042729008667,0.99956279533017,214.610825,225.558790909091,227.20316,28.7739951151186,39.0201697012443,28.4477569912744,131.8966,116.9442,187.6413,286.601,325.35255,271.4662
"ZNF382",0.962020685575636,0.721534707094542,0.602097083735664,54.518275,59.4931818181818,35.98258,10.0871422090739,17.7642519101236,10.8022256991974,29.498975,23.50335,18.3426,94.625425,78.4767,52.048
"ZNF577",0.394031519883919,0.951815370698969,0.396293537582416,93.5989166666667,136.330990909091,81.29308,21.8004733013565,26.5012090186757,21.0454756822078,37.5367,72.06475,56.4704,144.115225,198.9883,111.6082
"ZNF75A",0.986729382496299,0.442696010727497,0.522297952499026,204.971058333333,196.358090909091,117.66166,44.2770627737372,39.3256492565498,22.4685022728396,125.14995,87.66435,108.9536,216.1965,258.8226,155.4637
"ZNF496",0.953409275234851,0.998382668104911,0.983377023936072,433.612883333333,415.012545454545,429.24856,53.1603681007401,38.8924516951119,40.6101727799279,244.497775,302.5883,352.0896,531.824275,507.63815,477.5261
"ZNF2",0.851747019791614,0.889901028980261,0.999281715685167,117.966983333333,112.453390909091,111.97834,7.78353161840252,7.64225699734949,4.78907994907164,106.682225,94.05445,104.4874,128.947075,127.93225,120.1088
"ZNF589",0.962880855862709,0.995216338967978,0.953271080154835,249.868433333333,267.650272727273,241.80092,60.1115305825048,37.5363110980629,37.5429594720155,141.886725,186.73025,184.8256,271.91855,275.8435,245.2396
"PRDM9",0.97873961312207,0.0859724255560098,0.0669623512366758,0.458025,0.259136363636364,3.31788,0.275599192428832,0.198736892431232,2.56027424027193,0,0,0,0.1695,0,2.5171
"ZNF12",0.56436911904528,0.472052908402014,0.140808661091965,913.151783333333,802.185445454545,1075.88778,71.672845787166,69.2697313960911,150.72708639268,722.851275,652.58365,848.7571,943.10235,932.01015,1215.3901
"ZNF202",0.347193256991892,0.998744732410706,0.552970016030213,249.85225,213.675745454545,248.29932,23.6930686114312,13.1694908737814,3.29698361087828,198.5501,203.15315,246.6739,281.505475,224.13735,250.4209
"ZNF3",0.969708150722249,0.298639067876558,0.398814927207139,692.748166666667,718.748381818182,906.04252,73.4177191986895,46.7801906510317,197.973353312711,570.188375,595.8456,597.7596,698.404125,865.9785,1376.3323
"ZNF606",0.99893168332679,0.631524703951353,0.659966053634232,140.3512,142.692845454545,202.9004,24.4535816959738,41.5609473826842,82.716013309262,96.569975,35.2314,61.538,176.764625,248.5433,377.3425
"ZNF91",0.596667910147046,0.998836523596786,0.758592118948045,723.481583333333,868.253081818182,732.1478,61.8721839165383,140.861534631909,150.042834250933,594.0781,617.0562,521.4196,847.9846,953.9826,843.2219
"ZNF226",0.588697255263794,0.775458457093454,0.995183046204624,203.363166666667,233.011354545455,229.3964,22.6414245798804,20.8205764988579,25.3447231360297,152.452725,193.20435,186.9831,235.964,267.28655,267.8385
"ZNF229",0.62793459615675,0.62994534176365,0.979386942469589,78.630475,47.8057363636364,39.46138,30.3769265375182,16.0908895051278,19.9466852479153,22.52295,15.1941,9.6254,99.562075,62.2132,34.0183
"ZNF180",0.621582668559814,0.99322379996892,0.812399548002373,204.258858333333,175.756590909091,199.95736,24.381759601479,21.1008300475229,15.6457975275343,152.649075,142.6423,180.5106,219.75645,206.3209,207.6646
