"gene","MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE"
"ZNF229",0.638942037090522,51.5377066666667,65.005180952381,13.3862572293964,21.9915355341177,15.37075,17.6991,69.56755,45.2468
"ZNF180",0.0559295626371128,219.197233333333,175.623052380952,20.0879222938363,11.8973945255005,176.6351,139.7912,227.50195,216.7361
"ZNF641",0.380974220375685,220.539386666667,194.727557142857,27.0442879861831,15.2734060800879,129.0126,160.4979,277.2999,254.5704
"ZNF610",0.554112336266567,38.34848,32.395280952381,7.35030719692462,6.58002023686865,13.66495,18.0269,57.172,35.1538
"ZNF528",0.475231982468069,132.472966666667,171.902904761905,22.5182615984294,43.116857216069,67.20655,35.1538,177.5896,237.7982
"ZNF701",0.555905473132446,143.325073333333,161.700166666667,20.2703687881702,21.6918235200121,100.7771,104.4131,169.9943,202.7119
"ZNF283",0.833107546595146,72.7527866666667,75.1970095238095,7.91290921193167,7.90854605881663,52.56445,46.3828,91.54635,84.1003
"ZNF558",0.0942742499951557,325.99784,407.753557142857,28.7239576543341,34.4281419642133,253.8965,315.1069,414.6664,462.903
"ZNF597",0.860150315569772,72.65812,74.5772285714286,5.16249009648491,8.33390193685991,62.6471,56.7136,84.64425,98.3815
"ZNF30",0.536008380546213,86.83942,104.354838095238,6.8266234441633,23.0790012343735,75.1144,66.108,108.5667,92.1896
"ZNF354A",0.0747064059940088,321.38938,258.452557142857,20.0410828727682,25.0812572117456,275.23745,185.74,364.09055,280.38
"ZNF764",0.138929119309521,268.379,212.596233333333,37.3838580560839,16.1587719848537,156.6557,167.6819,312.7926,248.9818
"ZNF747",0.256899183611712,244.0234,212.442766666667,24.4464162298125,15.2467901066723,190.0614,168.1765,295.18615,250.1934
"ZNF778",0.625922701865999,92.80256,100.692623809524,8.93145129191166,11.9300081438501,75.09305,57.2022,101.69445,134.3693
"ZNF212",0.0670611153657507,212.393573333333,267.145971428571,11.282752425891,23.0147778958001,189.44605,198.6854,227.88705,308.0439
"ZNF282",0.056941854113189,795.282693333333,953.791219047619,30.2249979014745,64.2311080348925,724.29635,802.3313,876.88725,1100.3122
"ZNF160",0.679018813219332,546.186253333333,586.329,45.9951440761821,74.122889770291,441.1421,429.2985,658.9906,587.6884
"ZNF415",0.584961455948234,114.061926666667,95.4378,24.1790761002339,22.7101768843827,34.56575,26.7838,173.49615,144.9119
"ZNF439",0.591835417180437,79.16216,91.8722333333333,14.3546979996456,16.9562723424083,37.73005,46.8145,116.69665,108.2196
"ZNF440",0.409470012459297,363.390086666667,410.946676190476,36.3444669711791,40.4529339586435,242.4676,291.2926,459.3416,453.6521
"ZNF562",0.863979539529021,721.7777,710.946971428571,40.7110699785311,44.2724589634954,618.77025,569.3431,813.50155,899.053
"ZNF561",0.0512600340775282,651.997986666667,556.0688,39.1463916404332,28.8167128334781,557.42555,467.1186,760.65195,607.2809
"ZNF584",0.0944044950973759,197.600226666667,160.195933333333,22.3628611478655,9.2022613153645,157.35415,133.291,203.70475,187.0684
