"gene","N1-N0","N2-N0","N2-N1","NX-N0","NX-N1","NX-N2","mean-N0","mean-N1","mean-N2","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-NX"
"ZNF431",0.428524507084276,0.132583098261127,0.875527395917681,0.370819550131384,0.136016881857063,0.0374021529005085,308.28453,448.145066666667,553.23075,240.02107,21.5311613748769,247.837387989258,107.26015,28.8027232826818,202.3511,217.4762,499.600675,119.901975,395.59135,641.9743,606.860825,335.93335
"ZNF418",0.933294819137479,0.391136438939035,0.818724310486946,0.666798398872269,0.703558629843619,0.208523554613594,53.1051775,41.1726666666667,14.4594,63.56397,5.27747508930521,25.5977385629625,7.9653,7.43767782568521,28.25625,16.8872,10.47675,47.656475,72.84575,60.3222,18.44205,90.901675
"ZNF700",0.748428655203272,0.666573315619844,0.994638954886569,0.999897392228914,0.783275288572652,0.697334991209447,270.1843325,316.556366666667,333.99025,271.57301,12.7382330168954,36.8881809791128,48.63065,16.0674910740599,228.50645,279.79145,309.674925,230.3152,321.5975,337.54825,358.305575,304.814225
"ZFP28",0.944089389420864,0.991916024817361,0.999006690082976,0.148326930160707,0.448864823769777,0.707396092061258,178.6648575,161.073833333333,167.8154,209.728815,6.90938729991705,58.7591650772976,1.03189999999999,13.9702242595651,158.548875,124.3565,167.29945,188.15955,196.509,219.16105,168.33135,249.959475
"ZNF585A",0.999048248692755,0.999999999603132,0.999737697665065,0.998816777890282,0.999886670480335,0.999943208245988,172.319035,176.405866666667,172.3559,174.33025,7.7725975713429,24.5294490603528,23.2319,11.4717581830669,141.188925,161.1605,160.73995,153.045775,204.80195,200.6705,183.97185,207.466025
"ZNF138",0.889731089428387,0.0516479318065529,0.0612913772017886,0.996702677074831,0.860269689351575,0.0715693722275613,228.8110575,192.509166666667,389.7293,233.66543,13.6767690137196,68.63007884522,90.9995,16.1438617557932,172.0872,145.06715,344.22955,183.1722,283.941025,259.1779,435.22905,294.285325
"ZNF429",0.241407165863732,0.542283934855301,0.108242342104648,0.999703571364357,0.288157060616584,0.539937492226325,187.72711,82.5771666666667,277.6918,185.3514,14.8505024948907,37.1641411319358,9.90460000000002,21.2906283523897,110.245375,46.63875,272.7395,119.2586,221.628525,108.7441,282.6441,251.1949
"ZNF470",0.871208542267275,0.985220097274164,0.864608261630421,0.463886136790837,0.513367423581946,0.997130862483281,117.4350375,89.5162333333333,132.931,142.01717,8.71432302427041,42.2015383882442,10.3066,16.1596197782199,82.43365,53.87905,127.7777,85.603075,133.6652,126.91085,138.0843,186.699775
"ZNF100",0.503606165557702,0.987003896802426,0.913955048193365,0.256419551968509,0.950886537424879,0.983882328747604,335.3923075,245.4356,309.41495,280.782165,14.8159690988272,80.6657289045974,135.62375,27.3159781800239,271.5351,203.3564,241.603075,196.149225,388.242875,326.07575,377.226825,352.693225
"ZNF398",0.796642634743503,0.857734487269156,0.610978804226801,0.988496565019367,0.734363057426718,0.913190323550031,303.1334975,351.439266666667,252.5432,295.395845,13.6553963627681,72.7236253660925,48.4787,19.6394037639069,233.15905,296.38965,228.30385,235.12435,359.685475,420.11865,276.78255,370.83995
