"gene","p-adj-N1-N0","p-adj-N2-N0","p-adj-N2-N1","p-adj-N3-N0","p-adj-N3-N1","p-adj-N3-N2","p-adj-NX-N0","p-adj-NX-N1","p-adj-NX-N2","p-adj-NX-N3","mean-N0","mean-N1","mean-N2","mean-N3","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-N3","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-N3","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-N3","Q3-NX","count-N0","count-N1","count-N2","count-N3","count-NX"
"ZNF84",0.952221827739811,0.960945304607092,0.834992208649743,0.943775491713243,0.893765645971136,0.989578113997174,0.527133099882575,0.426508462466346,0.749371982284629,0.987529556011929,529.303505660377,549.325421374046,498.731765,438.25676,357.304133333333,14.7954721474304,25.3405747828229,39.2822178019479,94.4772432880934,49.9032103507691,349.83705,352.2472,320.1597,348.8613,289.681175,641.53315,628.83605,619.91145,543.1491,382.661775,318,131,40,5,6
"ZNF667",0.401493141726774,0.74508790577264,0.999958939824063,0.978224029524779,0.99980280437777,0.999951258736319,0.579705946186904,0.846659270189177,0.887696766084867,0.978960743288521,56.6713842767296,43.7208694656489,42.2299575,38.14308,13.4812833333333,4.20585106892181,5.75929552554121,9.35022813706654,29.2043799896248,2.24763853565124,7.3342,6.32405,6.394,8.2816,9.678725,75.80005,63.11605,66.634425,14.3689,16.42315,318,131,40,5,6
"ZNF649",0.589004312698913,0.999657884536175,0.844810007192073,0.999861646643285,0.988415294790579,0.999990855903232,0.805051620354022,0.950568025998389,0.799239651683235,0.908579008263193,155.897622327044,138.712381679389,159.66048,163.94578,104.37435,6.21149501084725,10.0315527100366,21.162371287267,53.2825996672403,11.6174079518841,87.006725,68.11005,81.897375,87.0553,88.247425,197.13375,166.19085,219.435675,157.9832,116.26105,318,131,40,5,6
"ZNF248",0.997746404847748,0.744734121162422,0.880507450899122,0.999999893281801,0.999998904757863,0.994406428457132,0.99935158212531,0.999885675749329,0.999198462027944,0.99991641682545,247.632939937107,243.736304580153,223.7404575,246.24616,236.3684,6.73437372525338,10.1433730475156,17.4503390218198,32.1536718804805,26.432564793817,169.17995,173.5364,148.26445,200,198.70915,292.82065,273.488,273.117,260.5042,270.64235,318,131,40,5,6
"ZNF544",0.663035142819721,0.366724582742215,0.102211722243792,0.953520004925383,0.850007163209016,0.999999620912767,0.719057987458187,0.895345321162783,0.331644143541296,0.637911761926975,617.847636792453,579.193898473282,702.06832,706.78628,474.7353,14.9698486697838,26.3359908401225,45.1637789673319,83.1698511302407,81.6909501357198,437.06855,381.3854,500.698025,602.1429,370.87255,754.47995,717.91055,894.162925,786.6291,530.75215,318,131,40,5,6
"ZNF251",0.999882972615616,0.870532565169888,0.862754935790506,0.843060538632114,0.8318963321944,0.969501006339665,0.986020031253368,0.990050287795527,0.913590562495113,0.799438691388428,335.709315408805,338.686510687023,304.9510225,247.84604,375.88715,9.91041948565113,17.8577804755877,34.8947693670028,81.7810139247894,127.318114622607,212.405275,197.97515,193.188475,121.118,239.2567,423.214575,413.82765,355.0944,300.5825,321.05905,318,131,40,5,6
"ZNF607",0.990225478922651,0.975297697931904,0.998508569930329,0.952868716219382,0.926190376613244,0.89993199810843,0.952772707821105,0.923492991831692,0.895564018136899,0.999999035834598,173.544293081761,180.971816030534,188.9230525,124.1264,128.33635,7.50798096286795,14.6860573226576,36.8729662300893,70.2760623322266,37.0262691417841,83.11045,82.9762,76.068075,35.7143,71.868,228.202025,220.5821,228.0181,129.3204,163.24735,318,131,40,5,6
"ZNF334",0.991328815413747,0.335666481097649,0.5790146805264,0.961025852083598,0.979613737919046,0.999999984326975,0.670604423793611,0.749466158679716,0.983255039879718,0.994480066453497,107.679325471698,101.127135877863,63.9579575,65.02974,31.0636666666667,7.92703772156825,13.531574118705,9.94310991761728,29.8072142149782,9.18290358454836,18.97645,11.912,15.35705,17.0326,15.4221,145.09085,114.9364,84.520075,137.4757,37.150425,318,131,40,5,6
"ZNF485",0.750026111136639,0.999999333202737,0.966125324303307,0.915370146985165,0.799860176503219,0.92432452800382,0.999350179065633,0.984400761654987,0.999325657323489,0.989756588644691,59.5090283018868,63.8846106870229,59.7523975,46.11262,56.1483833333333,1.99907283631453,3.00296426959577,5.45355392954728,8.7244580070856,11.3206056279517,36.206625,37.90595,37.527125,33.6439,38.242625,75.3722,81.2425,69.3981,53.0445,61.778525,318,131,40,5,6
"ZNF192",0.999982449188271,0.571435824738302,0.674473504725255,0.904543652338918,0.915300666913165,0.998007285062068,0.647129757188526,0.673198535929407,0.951904277586435,0.998688022838696,365.373563522013,363.515161068702,317.776045,289.77554,257.6465,10.8737449229883,16.5356637494961,28.3415926639311,73.2574086263267,52.9479206146757,222.173475,237.058,165.1586,220.2877,164.397875,467.373075,441.4195,420.145775,320.8816,342.528825,318,131,40,5,6
"ZNF442",0.999989869561785,0.998721748862008,0.99815067939208,0.999272874932733,0.999061221563536,0.999936030751633,0.997897594216737,0.997438940250454,0.999712346277798,0.999999648088512,15.0227018867925,15.1103458015267,14.54414,13.9086,13.68805,0.552364526195705,1.00134677497425,1.71124257097449,3.74424901255245,1.8190091179449,8.1098,7.10405,6.812,5.8824,10.0134,19.342775,20.733,21.214575,20.1942,17.8082,318,131,40,5,6
"ZNF813",0.999999874526657,0.30376566458726,0.371082966569914,0.946262259421338,0.946733402010748,0.999999924573114,0.99663482808799,0.997035779475039,0.820906809738216,0.932369034436345,91.2397132075472,91.0247908396947,115.8084225,116.67306,80.1624166666667,3.29175564159472,5.82712241494924,26.8986390509242,50.9585771982166,12.4494118520091,49.7507,45.10965,47.624625,26.9151,58.611875,127.342625,120.76805,113.6235,181.7476,98.01595,318,131,40,5,6
"ZNF26",0.999705240663608,0.993404072162885,0.987274054501403,0.999628772575212,0.999865623706916,0.997090581253399,0.180644043959535,0.210641043314323,0.168915214165883,0.661132693489975,268.672157232704,266.653375572519,275.885195,259.38272,176.071083333333,5.80049817740738,8.65906911891823,16.5685023955291,48.505455413545,19.6267918609812,192.195375,201.2012,207.17975,144.5378,156.1249,323.947075,308.348,343.255125,331.2621,213.349825,318,131,40,5,6
"ZNF69",0.482486513054582,0.905046412108518,0.999955587408098,0.968827426388185,0.998981325946792,0.998333225520802,0.522178590140565,0.294292393340278,0.370506261444332,0.538097228322733,25.3873962264151,20.7859404580153,21.3695775,17.54374,42.9585166666667,1.6796412119034,1.82988288500001,3.07865006365279,4.35533852353637,19.9820249678291,10.22085,8.99005,6.717,14.3689,16.210825,29.5715,24.7332,30.95225,26.4951,40.9811,318,131,40,5,6
