"gene","p-adj-M1-M0","mean-M0","mean-M1","SEM-M0","SEM-M1","Q1-M0","Q1-M1","Q3-M0","Q3-M1","count-M0","count-M1"
"PRDM9",0.928464591429473,1.88068,0,1.69821701775837,0,0,0,0,0,455,3
"ZNF12",0.00014716346812671,653.440206373626,1028.19673333333,7.89716385429916,153.675911455822,554.97645,946.0914,748.0622,1181.7494,455,3
"ZNF202",0.0258464376842298,228.643818021978,310.0263,2.93106768176672,65.7403511827401,187.8634,244.31545,260.4291,344.58715,455,3
"ZNF3",0.329451243064137,869.499515164835,740.1312,10.7407358849947,75.2011959024811,709.2133,699.46345,986.65825,815.2466,455,3
"ZNF606",0.0174442315151971,383.782267032967,568.275766666667,6.22565559802922,141.297922669259,299.3681,466.05955,442.69175,703.86885,455,3
"ZNF91",0.471569021523264,545.366054945055,623.898066666667,8.8287797468105,84.5316402115668,434.4331,544.1865,644.8989,688.1208,455,3
"ZNF226",0.000314968142348881,426.534867912088,674.0858,5.46478193009389,158.029301695899,343.71935,527.3529,490.65355,798.266,455,3
"ZNF229",0.00119922520889093,232.62580967033,402.595933333333,4.14345238733856,157.523410439468,171.0437,269.5773,281.7965,542.17885,455,3
"ZNF180",0.997432084069218,217.397938461538,217.2075,4.79460201610165,27.3336825651673,165.4678,201.1354,247.5171,244.3907,455,3
"ZNF641",0.97885254896954,123.154494505495,124.159466666667,3.05737594605367,58.2886525939178,77.15315,74.5025,164.04835,175.42305,455,3
"ZNF610",0.852508894628511,194.413322197802,202.932833333333,3.6979076495073,65.5474128653535,141.61525,137.40415,236.2462,237.0541,455,3
"ZNF528",0.0739372036607814,375.192036043956,502.721766666667,5.72624914133138,139.26652823121,295.47155,363.45925,442.78105,573.26845,455,3
"ZNF701",0.224308839376223,128.735021978022,159.356833333333,2.01292777277927,62.8587097093244,98.754,102.32745,152.8124,210.76585,455,3
"ZNF283",0.000142453407302123,50.0084727472527,84.4085666666667,0.723542397648444,13.7224495607664,39.36595,71.01695,58.97735,93.69815,455,3
"ZNF558",0.000164057777041537,326.252327252747,534.925766666667,4.4018370422008,125.718218549492,269.0953,441.0317,383.22705,654.2726,455,3
"ZNF597",0.806609295490774,41.3974241758242,43.7704,0.785406484964667,4.56360873432418,29.9735,40.1034,49.749,47.9565,455,3
"ZNF30",0.788548311252579,244.17813010989,211.678333333333,9.80885055781887,98.6533812508106,126.07675,116.4359,269.10765,281.5712,455,3
"ZNF354A",0.00861100502032097,198.976324835165,290.191133333333,2.78114285759479,66.3355598381525,160.5315,225.84715,226.03175,336.3343,455,3
"ZNF764",0.24778337409493,221.382008571429,258.118466666667,2.55372979792104,61.1293600303578,185.4235,199.43785,248.4905,302.29245,455,3
"ZNF747",0.00469165864233989,318.326977802198,212.499533333333,3.0182780426261,23.327773441139,279.5542,189.1889,354.7336,224.92915,455,3
"ZNF778",0.983289299732511,78.3344916483516,78.8883333333333,2.13725111695886,30.5862232577748,48.6466,50.9121,93.5542,103.58325,455,3
"ZNF212",0.0970939480114711,412.743323956044,497.673866666667,4.13272621738039,55.6449536069934,356.67295,442.9218,460.13235,533.6481,455,3
"ZNF282",0.000256665912333753,1090.63145626374,1561.6045,10.2262646996485,317.125528047475,956.75125,1270.13535,1205.84145,1815.5553,455,3
"ZNF160",4.54705951047352e-06,523.27328,848.0294,5.46955943152363,281.660025405736,446.4185,566.7231,582.61285,1000.9035,455,3
"ZNF415",0.250598342541454,200.572137582418,163.372733333333,2.58790277515115,79.2553466300399,167.0331,100.76215,231.13685,236.7612,455,3
"ZNF439",0.218052039539891,103.426171868132,59.0129666666667,2.91261156271343,40.2070470262919,55.1073,19.65845,145.2984,85.82265,455,3
"ZNF440",0.694127018067331,347.546085054945,375.681566666667,5.78734416518123,69.2824451433005,267.88655,325.7877,409.9058,442.25775,455,3
"ZNF562",0.994023875941234,559.999175604396,559.192866666667,8.72001947602268,64.4884690466012,428.3296,495.67135,658.9885,600.5887,455,3
"ZNF561",0.762080975814963,887.306228571429,850.615,9.81554880949298,76.9265530121644,745.3118,775.9225,1023.43845,903.9,455,3
"ZNF584",0.0325164938323985,177.596724835165,227.066866666667,1.81298058235369,85.8321014301435,150.2383,141.2434,199.8225,271.03295,455,3
"ZNF274",2.41950193213825e-09,459.816747692308,947.6507,6.18975149477853,367.709373944483,367.097,652.67615,534.7827,1285.2699,455,3
"ZIK1",0.0262503339049657,76.5167485714286,145.204666666667,2.46616918361175,74.5216701409134,40.48745,71.9715,102.46745,193.7706,455,3
"ZNF540",1.02878745865675e-05,111.43926043956,265.287266666667,2.7006152988852,135.29608329372,75.4315,135.79965,131.30065,363.99415,455,3
"ZNF570",0.0402310776922469,55.2923764835165,81.2831666666667,1.0218807714676,14.2100813392386,40.89375,68.9036,66.4278,93.51485,455,3
"ZNF57",0.103665378864321,102.862157582418,128.0004,1.23099777060902,40.7770774585837,87.47695,88.2769,117.82455,155.83775,455,3
"ZNF556",0.612727268096208,6.93657010989011,0.861433333333333,0.972813379855369,0.399440476722683,0,0.46235,1.705,1.0756,455,3
"ZNF554",0.395785793727242,133.626301318681,148.753633333333,1.42810565633269,39.1073338278271,114.57345,112.01935,151.49835,178.73895,455,3
"ZNF738",0.000334315482998115,182.393605054945,327.760466666667,3.24554696449366,60.752114854391,135.7541,281.2891,222.72535,384.88455,455,3
"ZNF596",2.21048501725107e-09,62.8359316483516,176.497666666667,1.40996162508239,100.496282847698,42.24345,76.6934,75.83525,236.5958,455,3
"ZNF621",0,564.989272527473,1321.63426666667,7.15568138800892,358.602753472011,477.4838,1105.77885,657.27575,1677.5575,455,3
"ZNF680",0.797118690353008,671.181502637363,750.960633333333,25.1026235026216,305.817294560845,353.2181,454.50505,770.9891,964.2171,455,3
"ZNF483",0.874052869695485,27.6020661538462,29.2184,0.825437325444347,8.19893758625673,15.55185,21.7037,34.44995,35.81545,455,3
"ZNF417",0.00622157763163333,171.22266967033,276.907966666667,3.10508872154846,54.0579649655914,124.95745,223.05825,210.103,307.93815,455,3
"ZNF791",0.601324973562525,216.919651868132,248.535833333333,4.89070615008928,68.5065269473484,153.23165,192.73945,274.62215,310.85685,455,3
"ZNF519",7.62979791046892e-06,37.590483956044,84.3743333333333,0.811761926575842,38.7220194990023,25.63865,45.65705,46.4875,104.25745,455,3
"ZNF25",0.536859518622903,298.525771428571,329.236966666667,4.01201737891677,71.6408544512681,236.21465,263.6692,352.39825,387.02005,455,3
"ZNF77",0.0174923233547021,80.518032967033,126.314066666667,1.54772798251712,32.413581449568,59.5243,109.57925,91.9573,158.72185,455,3
"ZNF169",0.0856094825538087,59.6788026373626,85.8445333333333,1.22148426989653,29.7193933071955,40.39515,56.36765,72.53845,103.86425,455,3
"ZNF613",0.54520752720307,740.427287032967,636.120533333333,13.969190530139,73.3222327701572,531.4466,567.7501,891.47265,693.24535,455,3
"ZNF404",0.0111924207411213,99.0015692307692,161.1747,1.96267410323287,48.4244641143641,70.4236,121.65005,116.8221,205.1661,455,3
"ZNF135",0.453632501631424,173.139645714286,211.7692,4.12185251967525,126.268764318193,119.4447,96.41485,208.7619,313.91975,455,3
"ZNF620",2.08854265968395e-05,55.057909010989,103.340933333333,0.826582478361515,70.9432198979422,43.23075,32.61745,64.26855,143.53455,455,3
"ZNF619",0.875797578434752,55.002070989011,57.4860333333333,1.28396961323121,19.6573718779439,36.0881,40.3832,70.52935,74.42965,455,3
"ZNF354C",0.945421720523304,38.9411298901099,40.0562333333333,1.31945671582593,9.75237863196006,18.7439,34.3609,51.3522,49.75985,455,3
"ZNF114",0.109317841188269,3.48657648351648,12.9436666666667,0.475585770550905,9.10179467730281,1.2272,3.85695,4.1789,17.94055,455,3
"ZNF454",0.677253745116083,18.3681246153846,21.6660666666667,0.640860034460429,7.94244122973395,8.60455,14.30835,23.65825,27.93525,455,3
"ZNF543",0.00285237054305543,135.120509010989,216.586966666667,2.16854754554745,72.0067461463932,104.36785,144.6087,160.5812,254.3298,455,3
"ZNF354B",0.011553842360297,100.204402857143,165.5678,2.08602548563442,26.1984753004827,65.4492,139.6988,125.45855,182.08925,455,3
"ZNF223",0.0806976956727075,93.2236738461538,122.529733333333,1.35387118469092,19.3945328737537,75.91245,103.137,108.8004,132.4549,455,3
"ZNF713",0.777408486168648,53.1219021978022,57.1732,1.15858057204487,15.805777058194,36.66845,49.0603,65.52705,72.9771,455,3
"ZNF552",0.393021136277654,475.553216923077,373.223266666667,9.69471194509526,94.8909348025113,334.2307,314.6321,570.6299,467.16035,455,3
"ZNF154",0.903700790361596,31.9203793406593,33.6915666666667,1.18142178415199,20.8689376013198,14.16775,13.07525,41.9144,46.8033,455,3
"ZNF571",0.080657017625703,94.923949010989,118.135133333333,1.06721077585338,24.5005084467876,80.9339,94.1152,109.288,134.327,455,3
"ZNF443",0.00220698840263112,115.299840879121,184.426433333333,1.80285547131169,48.1218204195122,89.0965,144.28825,136.4374,227.48415,455,3
"ZNF792",0.709064623006332,165.756172307692,149.284566666667,3.57710804474378,18.8481444837711,114.6427,130.5964,200.478,160.75085,455,3
"ZFP82",2.82895495917757e-09,96.1663782417582,195.581533333333,1.25452245694484,82.1693436602186,77.9738,113.4313,112.72215,238.1913,455,3
"ZNF707",0.364722202552975,236.989286813187,285.863433333333,4.360272167976,51.9173385289967,182.01535,251.5582,266.7457,336.76395,455,3
"ZNF746",4.09694406611205e-06,512.648367472528,811.353066666667,5.03337954379359,239.125947963344,444.6072,572.241,580.51915,933.14045,455,3
"ZNF678",0.531546032787908,74.7538287912088,58.1624333333333,2.14908542279416,6.07315300491525,43.00485,52.38005,94.69845,62.66155,455,3
"HKR1",0.225370691142023,1301.85797956044,1594.3087,19.3678106186695,479.42915558101,1003.7268,1149.0835,1498.0148,1970.9347,455,3
"ZNF101",0.153230876938064,65.5084648351648,84.0058666666667,1.04642272407882,12.9841512976825,51.2067,73.73205,74.8566,96.01865,455,3
"ZNF716",0.907501953433671,0.469054725274725,0,0.327262157951167,0,0,0,0,0,455,3
"ZNF708",0.239485869219444,266.634346373626,325.5892,4.05910007866794,15.8542672963254,208.05925,309.9177,318.65805,335.50375,455,3
"ZNF721",0.000809062732967547,553.226955604396,851.915033333333,7.11321078376981,186.965164282051,450.9299,693.45515,641.214,1017.08,455,3
"ZNF662",0.0664446356002331,185.680914285714,46.9017333333333,6.11631963452581,28.9736512379399,78.3299,19.6813,270.9601,69.1079,455,3
"ZNF320",0.000110123799518136,581.592130769231,994.0342,8.37506723472647,341.756393882763,465.6345,654.0012,677.66985,1193.73645,455,3
"ZNF530",1.94591195379346e-08,59.1370971428571,118.236666666667,0.800874451556098,45.941431314386,48.4658,72.36175,66.49285,143.3143,455,3
"ZFP1",0.111634070677834,137.573807032967,177.905833333333,2.03680576173615,46.7726703986182,108.5711,135.3371,162.09405,215.9738,455,3
"KRBA2",0.137648870890706,74.2495975824176,42.6268333333333,1.7214465256349,19.5819046238556,47.69175,30.3338,96.6859,61.9737,455,3
"ZNF93",0.0514058994796648,70.4646487912088,106.1003,1.47839504844755,12.1787851916081,50.40755,94.012,86.5002,113.42775,455,3
"ZFP90",0.0501338321963987,525.155589230769,675.380766666667,6.11508962592207,194.275807252407,441.66185,495.69745,609.08475,829.197,455,3
"ZNF479",0.854150326350207,0.017047032967033,0,0.0075175997831077,0,0,0,0,0,455,3
