"gene","p-adj-T2-T1","p-adj-T3-T1","p-adj-T3-T2","p-adj-T4-T1","p-adj-T4-T2","p-adj-T4-T3","mean-T1","mean-T2","mean-T3","mean-T4","SEM-T1","SEM-T2","SEM-T3","SEM-T4","Q1-T1","Q1-T2","Q1-T3","Q1-T4","Q3-T1","Q3-T2","Q3-T3","Q3-T4","count-T1","count-T2","count-T3","count-T4"
"ZNF167",0.0618338739493277,0.255703061559971,0.96483453107086,0.181315638710051,0.0154202471728067,0.0302321199034378,62.5661142857143,85.836896,81.2621764705882,15.8418,6.03241783593044,7.3160753009007,6.16009202070024,8.281,45.4496,59.9925,69.1311,11.7013,86.7334,121.7127,92.4458,19.9823,21,25,17,2
"ZNF565",0.922602775027243,0.4117827038897,0.737122030194038,0.877192142455116,0.958724258338442,0.999914376716389,42.0280095238095,39.84082,36.0608823529412,35.5176,2.88683480867314,2.25300105055457,2.61693150298987,3.9561,34.8736,33.9646,27.6851,33.53955,51.89,49.2245,45.7364,37.49565,21,25,17,2
"ZNF34",0.999983959391499,0.964719708616159,0.967873520915112,0.996866339285754,0.996105601024479,0.976440962255552,94.0567476190476,93.689412,88.6372470588235,99.4142,6.22979690123973,6.25173281037964,11.3456793950874,14.9844,75.2862,75.5781,65.3233,91.922,101.4315,103.5609,97.3022,106.9064,21,25,17,2
"ZNF140",0.799353614158495,0.107750127118832,0.42238784336708,0.00665170690691308,0.0176614484371286,0.0989969412087087,489.8451,457.004484,398.142541176471,184.46215,21.8128003758289,27.1025073067823,30.9196978664944,51.23845,425.3266,400.7316,387.1058,158.842925,570.0026,507.4419,455.1128,210.081375,21,25,17,2
"ZNF658",0.999902037412883,0.984166547716089,0.989526704277516,0.205650578579777,0.210267839769995,0.280062340227711,44.6483761904762,44.331436,42.7145705882353,20.33485,3.79111320194318,2.83031152892445,4.63950335301417,4.88445,37.3411,35.9009,26.8293,17.892625,53.0262,53.9193,58.9947,22.777075,21,25,17,2
"ZNF765",0.99785961107009,0.832550114663724,0.721962035876955,0.142517287162814,0.1187424528118,0.291946663376929,338.101885714286,344.668808,304.360652941176,141.4182,29.3251808145096,23.6945845815859,27.7431169653634,52.6607,232.3024,232.1429,234.5085,115.08785,392.7863,413.045,338.1535,167.74855,21,25,17,2
"ZNF124",0.119576797597833,0.0531435096906221,0.934921867337134,0.999859165074075,0.837161853017095,0.709213570430039,43.2067047619048,30.452504,26.9162705882353,42.1764,4.56784299770053,4.1134892339411,3.40969477287541,8.4483,27.2663,17.2478,15.5864,37.95225,55.9062,35.9517,31.0197,46.40055,21,25,17,2
"ZNF569",0.621156601943645,0.784913105492757,0.998258109292891,0.630596931063284,0.889714055704277,0.864738082081274,135.349223809524,112.490688,115.877605882353,78.91445,16.3281585524573,10.6394933020019,15.6335947569542,21.34865,86.1571,82.1733,62.41,68.240125,156.6151,126.1618,130.6202,89.588775,21,25,17,2
"ZNF777",0.251644059270512,0.97988905400563,0.144982019223449,0.832663599329738,0.383862811251516,0.909079206688465,684.980642857143,797.136844,659.292829411765,558.25885,37.7191456391191,45.4435187543897,49.5474341115164,2.88605000000001,624.9057,645.6693,552.7466,556.815825,774.5423,961.5618,772.2736,559.701875,21,25,17,2
"ZNF605",0.949795525464152,0.98250170376141,0.810326385685348,0.314482511046696,0.212977165207737,0.410860260786158,573.743019047619,596.41262,556.495829411765,390.3873,32.9837052506238,27.7222115944453,31.4615476585246,167.1785,478.6891,559.805,450.4065,306.79805,613.4969,667.5657,660.9982,473.97655,21,25,17,2
"ZNF799",0.786203518265154,0.665459162599923,0.990112096139978,0.44207013942045,0.668375822079363,0.755915684128342,128.619114285714,118.750744,115.338852941176,88.9629,8.17125839752123,7.06414342861912,7.89944723925779,36.0371,107.9982,103.727,90.5358,70.94435,153.9762,135.9278,125,106.98145,21,25,17,2
"ZNF782",0.961194898110885,0.992121129149456,0.998284042438724,0.141350276684118,0.20121212718825,0.187774283867242,64.2873904761905,60.77864,62.0608529411765,25.26635,4.64473717694044,3.89306027588837,8.05328312324672,1.59765,50.5667,46.9767,35.7769,24.467525,75.1103,76.2482,80.6776,26.065175,21,25,17,2
"ZNF846",0.991082280570633,0.708283022689386,0.83762497465765,0.999991892641503,0.999735653598416,0.971353174838646,96.8131333333333,99.98216,109.545288235294,97.5721,6.69776981579311,7.31987229231494,9.58765716787307,49.906,73.0391,79.9179,72.8383,72.6191,110.8334,113.073,125.2459,122.5251,21,25,17,2
"ZNF136",0.958163788471828,0.999999983972812,0.963908014318913,0.0916656509310375,0.0552709991114063,0.0969687519066051,304.974685714286,320.647216,304.853264705882,119.37435,25.6241394772978,17.6922380625871,27.9760023896216,17.13885,201.0309,263.4349,216.9947,110.804925,443.0189,370.4672,387.2093,127.943775,21,25,17,2
"ZKSCAN5",0.98627884905497,0.129310912800782,0.205508897422566,0.720861464747074,0.794174400125832,0.999872967659576,401.445152380952,411.794268,475.808117647059,481.2173,20.1980632535902,15.612682592118,34.3487347129263,47.2915,350.0141,363.7224,385.3383,457.57155,469.7595,470.2886,544.8718,504.86305,21,25,17,2
"ZNF33B",0.895995380913574,0.968812630314598,0.997513506898618,0.700602613355202,0.850033518123055,0.817579318738065,673.284038095238,616.550796,632.925670588235,454.215,45.4586738055124,61.1381453874443,69.9296932455833,233.8203,527.2886,414.742,429.4574,337.30485,788.3179,718.5059,724.3073,571.12515,21,25,17,2
"ZNF431",0.708947147287166,0.0281251934859053,0.210463401532745,0.430077473834371,0.212541232203335,0.0372219058097064,250.901919047619,298.95914,392.944788235294,79.85955,29.2454057108509,22.9405537797449,51.7565700469244,19.37295,133.0929,230.2765,254.1095,70.173075,369.4956,362.2356,447.878,89.546025,21,25,17,2
"ZNF418",0.260715219423909,0.24347937248018,0.996250060564889,0.664107994198295,0.977043672436235,0.9897796977724,67.8918571428571,49.57652,47.2726411764706,39.5732,8.12819332981131,6.16830421458767,8.03375899427488,8.6724,37.6142,18.6981,16.3934,35.237,98.2401,71.8636,71.5538,43.9094,21,25,17,2
"ZNF700",0.896758579876616,0.968987017357047,0.997548977708376,0.930668666534775,0.987964715401161,0.978164703713292,264.393652380952,280.593732,275.927429411765,299.3034,16.9904721170826,14.3541206160504,21.6770889845653,14.2931,200.169,244.1755,229.5082,292.15685,313.7014,337.8096,313.033,306.44995,21,25,17,2
"ZFP28",0.9929547535623,0.616281889771172,0.743350983544406,0.199838067694128,0.2374198590012,0.476350919121861,196.633,192.384124,175.554029411765,118.35415,12.8135607610342,9.32588899090462,11.3670623133528,85.45945,169.7342,161.6541,166.7835,75.624425,228.0095,216.305,196.2383,161.083875,21,25,17,2
"ZNF585A",0.945592133255863,0.96523342830622,0.99998855750536,0.168000919740099,0.103123247661365,0.11547813981278,170.505766666667,178.235516,177.766129411765,97.3813,10.3269113524425,8.22475922457649,13.4431025547101,30.4953,151.1869,153.6654,141.886,82.13365,196.4802,208.8827,206.8966,112.62895,21,25,17,2
"ZNF138",0.785296098402081,0.999987432710532,0.831181010529394,0.104257412814404,0.214171897110962,0.113018644480054,247.452523809524,223.752788,246.543941176471,100.58365,17.894962375717,14.791705758197,25.4739883985463,41.41195,202.0135,178.0951,174.3421,79.877675,312.5601,282.8523,287.3932,121.289625,21,25,17,2
"ZNF429",0.924029547914412,0.999996250265348,0.942093544421992,0.0712194593380684,0.119363964225468,0.07710933399534,196.856633333333,179.839336,196.202170588235,26.90895,20.4732371931962,15.9598521524354,26.366568341434,3.33435,137.4519,111.3095,108.8525,25.241775,244.1718,226.9049,267.7872,28.576125,21,25,17,2
"ZNF470",0.656477696552848,0.967779929257203,0.927519843802885,0.342802895200198,0.612667227118664,0.46560552227624,136.942676190476,116.053956,127.818964705882,61.04405,15.6126720402308,9.80878807862466,15.4724028802065,31.98705,74.7534,81.6727,88.3862,45.050525,189.0259,138.0665,143.2376,77.037575,21,25,17,2
"ZNF100",0.747114158013344,0.973262803245831,0.958548081856262,0.155232663390598,0.0622680622720463,0.110267821795369,302.811638095238,334.222616,317.594747058824,136.3759,26.3363593894173,17.0783484947566,27.6790851703171,52.2206,202.0135,265.1163,260.9836,110.2656,394.3396,400.8494,344.4549,162.4862,21,25,17,2
"ZNF398",0.443746642275155,0.727397204499957,0.0714709303468913,0.987356267604375,0.992984044628442,0.862694307263866,293.807338095238,331.529732,265.012741176471,314.6235,20.9977389787811,15.8222982021299,18.8510611427838,64.0753,218.4049,258.6439,214.0805,282.58585,332.1815,402.3549,301.4643,346.66115,21,25,17,2
"ZNF498",0.0396613112903452,0.403144143834395,0.780254033217992,0.381744024785818,0.0410635368450589,0.114723247395545,446.180171428571,543.252204,507.598141176471,303.4898,29.1354240090757,22.7234447261527,26.99868434547,78.6374,387.9245,456.6273,426.8852,264.1711,529.7068,632.8257,570.677,342.8085,21,25,17,2
"ZNF441",0.986792366542114,0.98835595164436,0.914960051093994,0.276116120703127,0.213115213853449,0.355344024567849,254.054428571429,263.429376,244.158423529412,127.4624,19.8419281421464,19.2516855463431,23.332738596078,53.9975,159.9638,218.1389,194.0789,100.46365,320.6544,339.4191,299.7416,154.46115,21,25,17,2
"ZNF420",0.99561561103896,0.995442271382047,0.967357136933763,0.262898541568208,0.300281376883,0.22724040969496,119.933266666667,115.806896,124.541347058824,37.53595,11.9996297228872,9.17984106054217,20.1517092100991,19.99205,79.7115,90.9488,69.9786,27.539925,153.8293,132.7674,147.1349,47.531975,21,25,17,2
"ZNF763",0.438934472311395,0.914278897308035,0.87928878046655,0.111098223727547,0.0248911914110636,0.0616532982526649,143.729785714286,172.209672,157.309941176471,35.5181,17.0635407206296,10.6323339196474,14.5904535735701,10.5345,85.1217,141.4734,101.232,30.25085,189.2718,214.636,199.9211,40.78535,21,25,17,2
"ZNF679",1,0.758040016207344,0.736630067175368,5.08567919277336e-06,4.39793845175007e-06,3.08307539303998e-05,0,0,0.0217470588235294,0.2741,0,0,0.0217470588235294,0.2741,0,0,0,0.13705,0,0,0,0.41115,21,25,17,2
