"gene","p-adj-G2-G1","p-adj-G3-G1","p-adj-G3-G2","p-adj-GX-G1","p-adj-GX-G2","p-adj-GX-G3","mean-G1","mean-G2","mean-G3","mean-GX","SEM-G1","SEM-G2","SEM-G3","SEM-GX","Q1-G1","Q1-G2","Q1-G3","Q1-GX","Q3-G1","Q3-G2","Q3-G3","Q3-GX","count-G1","count-G2","count-G3","count-GX"
"ZNF354B",0.663817314515163,0.619184729115381,0.996709580414981,0.197577804260135,0.544598980378468,0.747668184621505,96.3825666666667,123.417891666667,127.08125952381,146.986895,11.7734850421437,8.00440642749192,9.28979266100803,23.1525659123972,75.146775,74.123625,78.3819,85.9,101.483625,157.801475,161.57435,157.579425,18,72,42,40
"ZNF223",0.839449271213982,0.428432346046312,0.704936908306151,0.306658447998409,0.505898669116394,0.990803641537651,51.8886222222222,60.7464541666667,69.18825,71.8464325,7.70212041689665,4.52594897356892,8.07427764644735,5.02733084771782,31.58765,34.3694,35.236025,53.76425,54.454375,74.699475,91.529225,83.7557,18,72,42,40
"ZNF713",0.582641327382299,0.021410194525416,0.0648495354809789,0.564890923307629,0.998215402626618,0.178583859904093,48.6490444444444,69.9218041666667,100.64850952381,72.0637875,9.19362335107969,7.53634294164162,13.5816905197408,5.29990273497009,23.005225,37.6413,44.503225,51.827325,59.132275,77.23715,123.551625,94.143625,18,72,42,40
"ZNF552",0.37642611463109,0.0185123918580364,0.15537991300657,0.00295881422930078,0.0197199439170331,0.868465880511282,126.649844444444,173.092091666667,217.885004761905,236.48785,21.3846211874438,9.89254765926258,20.1314575033145,20.8449567676536,62.84475,114.677925,118.60575,154.5672,143.19035,219.796975,316.040875,260.1644,18,72,42,40
"ZNF154",0.284322947836118,0.0369627779830743,0.433986596128215,0.0430239080448785,0.480563340773047,0.9999611601654,38.4979888888889,60.3606944444444,73.9871166666667,73.4983975,7.23229809305835,6.06537616388565,6.97227654826963,6.94667205660701,17.575975,26.515775,40.743975,45.282625,41.536125,77.201225,116.81645,100.1758,18,72,42,40
"ZNF571",0.0944831628771373,0.255253427101557,0.961658883436579,0.962500031529127,0.076843693152532,0.309965500489978,43.0831722222222,71.0108027777778,66.7076952380952,49.3242,7.65725166445919,6.49301142728271,7.04062167979435,4.20265077793095,21.628875,34.79595,34.71975,33.196825,62.15245,109.1774,82.47495,60.1215,18,72,42,40
"ZNF443",0.635832343780302,0.280101429155926,0.754774672164122,0.223798730449234,0.642654138869143,0.997954784526556,44.8695111111111,56.5546888888889,63.741769047619,65.2192275,5.60489050205783,4.97982762622202,6.22814617518592,4.47378088588215,28.82825,27.408525,34.917875,44.77475,55.722725,70.881,78.614525,82.542025,18,72,42,40
"ZNF792",0.218627093762844,0.0708616835416824,0.783038069673162,0.000259258191370404,0.00390488163203906,0.113239362377226,94.0527833333333,145.5633,164.039314285714,214.4178825,16.6354898472608,11.34586125467,16.3495429742489,18.1964941792784,44.580625,71.50825,73.716725,135.00665,127.21395,191.482725,222.854425,263.61055,18,72,42,40
"ZFP82",0.74736217052467,0.915369141116811,0.975148407110606,0.930332478595935,0.124055876582802,0.37776770905548,35.6002777777778,55.4456472222222,49.3409166666667,22.7161075,8.30922722180776,12.4635334336661,7.90180049405736,3.81611680623283,5.75395,10.06815,12.01355,7.690775,61.713725,56.802625,60.878425,26.796975,18,72,42,40
"ZNF707",0.998936771496044,0.950956150725602,0.767668190676571,0.903039728970464,0.857781896160714,0.405313256152439,210.028688888889,206.844248611111,222.64800952381,193.706585,17.6789410695156,9.61682001506464,13.6827196607425,13.7844037216664,145.972275,155.7924,177.312575,141.081125,262.501725,248.1104,273.88215,228.3339,18,72,42,40
