"gene","p-adj-YES-NO","mean-NO","mean-YES","SEM-NO","SEM-YES","Q1-NO","Q1-YES","Q3-NO","Q3-YES","count-NO","count-YES"
"ZNF34",0.936787341067052,86.7599821917808,87.3662741935484,4.34479542752967,5.66577630550111,61.1503,60.0634,111.7409,108.3644,73,31
"ZNF140",0.00934904055878039,292.240069863014,357.891806451613,11.5278109455089,26.7297931232632,225.0294,263.7401,336.0893,419.38355,73,31
"ZNF658",0.111036991185806,65.292897260274,49.2694741935484,5.13106790071042,9.39847746361533,33.2181,23.46295,81.1828,56.7211,73,31
"ZNF765",1.59951867773067e-05,255.940015068493,364.556229032258,12.1085113841685,23.2979272731012,182.996,279.54005,318.6706,418.4719,73,31
"ZNF124",0.0017491280783789,89.6611479452055,131.627093548387,7.07086173309497,11.142183443357,45.7816,94.1006,113.5694,139.55595,73,31
"ZNF569",0.0987420426338668,49.5948465753425,33.8316935483871,5.58046767985122,6.13184355816989,16.2666,12.61195,57.512,39.20855,73,31
"ZNF777",0.0341186786779009,630.857483561644,526.533267741935,28.8977514669814,30.2050236676646,431.6269,425.2435,783.9623,620.72385,73,31
"ZNF605",0.171941113038751,346.528916438356,425.95865483871,23.3620106554322,69.798255593055,193.7086,187.09665,463.9818,490.9329,73,31
"ZNF799",0.00320319700089566,62.9701863013699,88.4226129032258,4.98125080588361,5.42100867181638,37.5702,69.93395,74.7058,106.6226,73,31
"ZNF782",0.00205631390822325,74.1172342465753,103.357516129032,3.79819981710585,11.0633897326078,49.7496,68.89835,95.4473,123.36955,73,31
"ZNF846",0.112962089948671,84.3154589041096,67.3452161290323,6.29183620691008,6.71958837935633,45.8889,42.1773,110.6959,81.2811,73,31
"ZNF136",0.63383614219832,175.458698630137,183.825419354839,9.41375812054895,15.2000866293078,111.8211,136.07505,214.2368,251.04685,73,31
"ZKSCAN5",0.960162863163322,429.998960273973,427.255364516129,32.9660820490157,31.985250481432,278.4195,315.2735,454.7,482.388,73,31
"ZNF33B",0.000540789609837056,644.172076712329,879.624003225806,35.410913962437,57.2483717382227,453.8524,695.07065,804.5729,994.9335,73,31
"ZNF431",0.188910595972102,309.473208219178,250.127783870968,27.5287682646286,22.8384526960662,170.485,171.57575,339.4251,294.85415,73,31
"ZNF418",0.680960762325702,32.6288438356164,28.5414870967742,5.19345974711437,9.05938664283643,5.5046,6.0939,35.9577,18.8516,73,31
"ZNF700",0.0507887260797587,302.95847260274,354.396990322581,14.7511199699048,19.6598358506751,210.5001,282.2662,366.9449,408.5958,73,31
"ZFP28",0.0522355980538941,64.2736671232877,31.6237903225806,10.4079427495508,6.87365095265481,11.3577,12.14555,80.893,36.38365,73,31
"ZNF585A",0.00187715846764425,84.8227328767123,126.028103225806,5.78240097343023,14.4450936478438,56.2455,66.22525,108.9956,176.80645,73,31
"ZNF138",0.0560091440042766,217.83758630137,266.979935483871,13.7605770549814,21.7328717745053,149.3603,182.915,256.5196,332.7526,73,31
"ZNF429",0.0762611103551767,77.0215698630137,109.17515483871,8.35758712491465,19.3505197022954,18.8067,34.3112,99.8332,143.95865,73,31
"ZNF470",0.104419255613438,64.9216123287671,38.6697258064516,9.58270662290531,9.68110656817186,13.2899,12.67845,89.5823,40.79395,73,31
"ZNF100",0.0326390336187988,181.432954794521,250.382267741935,13.072439279856,38.1111033227053,98.3847,136.086,253.4413,268.42965,73,31
"ZNF398",0.740134715800308,676.762005479452,656.857561290323,34.6116542239389,42.1644963398068,432.3212,509.726,785.4566,799.8291,73,31
"ZNF498",0.414790075611598,446.550821917808,402.913848387097,32.3426929285247,29.4259411458745,268.6632,316.44545,552.2518,464.7548,73,31
"ZNF441",0.0430068462643526,113.474542465753,147.066329032258,8.35151137348752,15.7195138103481,62.6344,92.7256,138.4396,172.33705,73,31
"ZNF420",0.0674194682976654,67.6581712328767,90.9107967741935,5.72994198687415,13.8585863972031,24.9991,27.80015,96.1385,150.18925,73,31
"ZNF763",4.15815138810061e-06,23.1357657534247,46.5990161290323,2.33873336201388,4.95729138245052,8.8683,25.60995,32.9231,55.7948,73,31
"ZNF679",0.65575705654423,0.258079452054795,0.397803225806452,0.156640805841384,0.307272352012805,0,0,0,0,73,31
"ZNF682",0.585492455861597,35.2627342465753,41.9640419354839,5.97260956655388,12.5071915342195,4.9508,7.69665,44.759,34.9971,73,31
"ZNF772",0.417727193826449,183.224765753425,207.30184516129,15.4096592699244,27.3430050922898,90.3091,80.037,235.6406,324.55315,73,31
"ZNF257",0.260223766694029,12.9802931506849,23.4395935483871,3.59745986670889,11.4256178292739,1.7021,2.5399,7.5213,9.14895,73,31
"ZNF785",0.218918612121792,237.740405479452,269.673077419355,15.3430172692453,16.1207118153673,159.7774,201.56805,263.7736,321.9425,73,31
"ZNF98",0.334384332997976,4.46628630136986,2.09290322580645,1.53863881146776,0.954219829032039,0.3253,0.1441,1.7626,1.28925,73,31
"ZNF786",0.494187928591811,229.578591780822,212.085106451613,14.698741767255,18.1740864167283,149.4867,123.5651,253.3398,288.03525,73,31
"ZNF517",0.446864657306836,204.347006849315,225.579003225806,11.7223998802916,32.6871357295889,140.631,124.1499,258.0645,265.07575,73,31
"ZNF675",0.447817293996253,146.17058630137,126.155806451613,13.0331525947968,26.200869109352,66.1649,25.8906,197.4843,165.7053,73,31
"ZNF860",0.0125223936959283,74.6199931506849,115.609764516129,7.95512250596733,16.2120251466477,30.1883,48.7268,101.8484,157.4167,73,31
"ZNF695",0.928010396796278,81.8593506849315,80.2566935483871,10.5144913371812,11.0649618132425,28.2479,41.7995,114.8735,101.37385,73,31
"ZNF665",0.754247829623334,10.7500397260274,9.81440322580645,1.66396476816849,2.357289448596,1.7553,2.05365,13.1789,11.7848,73,31
"ZNF624",0.0681311297040691,116.470064383562,95.8250129032258,5.86522952445196,10.2382678055702,81.8467,61.874,146.1665,113.57595,73,31
"ZNF841",0.026515124883942,354.162663013699,489.426319354839,29.4546763294216,60.9295408074165,187.8875,274.77435,425.5887,581.88255,73,31
"ZNF615",0.0341232256438893,187.847667123288,259.040606451613,15.6296997813043,35.2459073721954,96.246,106.25295,238.3818,346.56675,73,31
"ZNF433",0.650595026027671,53.8573534246575,58.6897064516129,4.98234444313387,11.3910635844559,16.745,14.9919,74.8321,86.2373,73,31
"ZNF595",0.795382441087039,156.749494520548,144.936606451613,27.6993220541621,24.2892289290196,42.9706,61.9284,172.1368,172.52845,73,31
"ZNF460",0.171197298938503,466.937969863014,382.554229032258,36.3446761740126,38.5090139827816,274.5289,232.8016,584.8919,453.41975,73,31
"ZNF81",0.971749816439964,210.557498630137,209.701219354839,12.8771679097564,21.243133556574,132.6003,134.3094,257.8234,278.162,73,31
"ZNF780A",0.00927839319867163,263.693895890411,343.364825806452,16.4569999865159,24.9628418254904,170.2045,267.0628,329.0251,370.08645,73,31
"ZNF461",0.221132703202906,60.571101369863,72.6413774193548,4.63909307292655,10.3826173146944,34.4684,35.0643,72.2273,77.5645,73,31
"ZNF181",0.0880269783569835,158.346635616438,188.600432258065,8.42805369658118,18.2991477394296,106.7247,116.99655,199.1504,233.4608,73,31
"ZNF44",0.0255996208740965,200.06618630137,248.152151612903,11.3346464532407,18.6854743098845,132.4747,169.03585,258.3533,291.04435,73,31
"ZNF790",0.80531933692532,44.9735821917808,47.4755,4.29843876613136,11.841452447305,12.7796,11.05735,69.6534,37.85335,73,31
"ZNF677",0.461809505938115,10.1137890410959,7.93533225806452,1.82453072419654,1.39422102193602,2.2953,2.03395,10.2093,11.3139,73,31
"ZNF823",0.130012200692726,170.513582191781,199.066780645161,11.2231181613088,11.1026090300631,101.2844,150.0958,214.3105,231.5524,73,31
"ZNF311",0.38376851049039,27.3196493150685,21.1668,3.6140929755023,6.65251233928052,6.0729,3.51205,39.6592,17.6779,73,31
"ZNF347",0.337180326776797,70.4723150684931,53.4062451612903,10.5971184127608,10.6227454315665,12.1212,11.3888,85.7937,63.05865,73,31
"ZNF273",0.059188851975415,197.270598630137,145.860993548387,16.5605571761532,13.5070640163399,105.3826,81.5268,235.1227,172.9209,73,31
"ZNF84",0.0537075049705132,525.076889041096,656.9375,32.0061385172869,71.437786289017,330.0819,414.49685,699.7917,776.7434,73,31
"ZNF667",0.232567060816713,20.1765767123288,11.4482193548387,4.62406308641607,2.28636397295492,2.714,4.5971,18.2158,13.0879,73,31
"ZNF649",0.484518258006177,135.484116438356,154.630858064516,13.5317037326808,27.2480930625134,50.5478,46.6578,173.9258,212.9675,73,31
"ZNF248",0.364945732837986,259.149069863014,282.036251612903,13.3162174756812,22.5241164592321,173.6559,209.5117,338.7192,329.13335,73,31
"ZNF544",0.00667236381760727,594.511295890411,763.262161290323,30.1325194135502,61.0693657863356,452.3675,527.9129,728.3969,949.938,73,31
"ZNF251",0.548113370599762,262.97954109589,281.334106451613,14.6999889397181,31.5097370210683,165.3386,162.91445,345.4629,357.07945,73,31
"ZNF607",0.0827068808060828,149.980884931507,195.962470967742,12.0040814167643,28.7871772561973,78.2952,79.6267,202.3711,256.8762,73,31
"ZNF334",0.164932443727999,78.9227726027397,37.9692774193548,18.171534990897,13.4072041977436,4.393,1.85535,62.5444,22.4685,73,31
"ZNF485",5.88897793873944e-06,65.0853123287671,110.972941935484,4.23726133453956,10.8810282013026,40.3077,65.1586,75.7862,136.59385,73,31
"ZNF192",0.18420353939553,533.266756164384,620.799390322581,36.0431155136859,53.7360361871112,292.8538,395.43935,693.3247,769.83185,73,31
"ZNF442",0.54695822897556,14.3798068493151,15.8596096774194,1.15907224304523,2.5916006993908,6.0271,4.71145,21.649,22.31605,73,31
"ZNF813",0.178702936740071,62.7700328767123,88.8144967741935,8.49904106225921,21.7866899107455,7.7733,7.03865,96.3811,135.0514,73,31
"ZNF26",0.0224242752742357,249.367556164384,313.399690322581,12.9324362640938,29.5853941613307,167.3336,225.2553,312.5244,371.3119,73,31
"ZNF69",9.18265452565237e-09,29.5448054794521,82.3525096774193,4.48800271631163,7.48176736359634,3.8292,59.54875,36.8986,109.5688,73,31
"ZNF583",0.578149374787977,23.5924205479452,26.9944548387097,3.31306833470631,5.16865235252322,6.5975,7.67225,29.5241,36.9165,73,31
"ZNF568",0.214070506842056,39.5383150684931,27.1617419354839,5.53273674726929,7.80189863623472,8.6281,6.16795,47.4227,22.1818,73,31
"ZNF480",0.0239025593886187,450.850204109589,562.525480645161,25.2931562975947,45.2256507032029,301.6004,384.85945,544.9685,699.74975,73,31
"ZNF587",0.00113625883925739,1305.33111232877,1902.91551935484,100.576488597029,137.123454312343,780.78,1368.40785,1488.252,2373.8084,73,31
"ZNF808",0.00961153666061065,263.047956164384,369.586703225806,22.0018547730943,33.9545727001921,140.5007,260.31445,353.229,469.66445,73,31
"ZNF43",0.787607102965496,137.044998630137,127.256651612903,19.7762201596019,30.3854914967023,26.1808,29.6025,190.0622,136.99945,73,31
"ZNF28",0.000328852951877345,400.812326027397,601.596138709677,26.9670332172897,53.3987948083982,254.1966,358.1885,548.2471,794.0166,73,31
"ZNF627",0.0350651124902082,250.307054794521,289.466851612903,9.19832051682789,17.9969897546568,195.5164,222.5136,297.0574,347.19935,73,31
"ZNF789",0.0956079397285576,127.019087671233,178.277319354839,15.8402699607852,28.2495227230937,54.9806,87.83425,134.3612,195.21865,73,31
