"gene","p-adj-Esophagus Squamous Cell Carcinoma-Esophagus Adenocarcinoma, NOS","mean-Esophagus Adenocarcinoma, NOS","mean-Esophagus Squamous Cell Carcinoma","SEM-Esophagus Adenocarcinoma, NOS","SEM-Esophagus Squamous Cell Carcinoma","Q1-Esophagus Adenocarcinoma, NOS","Q1-Esophagus Squamous Cell Carcinoma","Q3-Esophagus Adenocarcinoma, NOS","Q3-Esophagus Squamous Cell Carcinoma","count-Esophagus Adenocarcinoma, NOS","count-Esophagus Squamous Cell Carcinoma"
"ZNF180",0.0160516964288323,208.161153409091,177.780310416667,9.8849613243443,7.8193478660436,151.74215,131.141075,231.6065,204.822475,88,96
"ZNF641",0.0127472160053195,170.236936363636,198.05728125,5.92285430321777,9.08895238844364,136.1808,142.3054,204.14245,244.04965,88,96
"ZNF610",0.899755565541326,16.7526306818182,17.1821479166667,2.36025932489378,2.43842882488513,3.996,4.29415,20.130775,19.896975,88,96
"ZNF528",0.198100424023501,104.822629545455,137.646339583333,19.4715548693523,16.5340320160735,19.7596,43.037575,99.470975,182.958725,88,96
"ZNF701",1.1136910726961e-08,141.801035227273,69.7816770833333,10.8184599064551,5.85883981244095,60.92245,22.158,186.426475,106.804525,88,96
"ZNF283",8.57929175231975e-05,88.2433465909091,66.2199291666667,4.44020112144975,3.31302376384412,62.773725,42.001075,101.7732,84.70085,88,96
"ZNF558",7.43516359591467e-13,296.860475,487.922878125,17.2374193950862,17.6203783382829,195.03395,366.5283,376.914175,560.4096,88,96
"ZNF597",0.0256259324836096,68.0156477272727,54.867434375,4.8745316984046,3.36640124103177,29.49185,31.5211,98.36755,72.707925,88,96
"ZNF30",0.000515099889313531,101.001297727273,67.1804791666667,8.40546455894775,4.95041023269167,54.3005,38.276475,120.64555,74.555175,88,96
"ZNF354A",0.128879630583079,252.860052272727,292.404528125,19.5104700747115,17.2094250262592,155.70045,175.9754,280.755425,359.935025,88,96
"ZNF764",0.000204263428860041,228.893780681818,172.602351041667,13.9074539014857,6.30073114277067,150.15055,130.38135,259.35755,206.58405,88,96
"ZNF747",0.000778608102922185,187.237795454545,228.42033125,8.24393492706119,8.71596617397974,138.5916,169.3694,224.7476,283.39715,88,96
"ZNF778",0.0502700463367176,96.5216534090909,110.443289583333,3.6435222809532,5.88037404323518,70.027725,69.294325,113.7999,130.42105,88,96
"ZNF212",2.69795042165955e-05,235.412225,306.938784375,9.79930650271269,13.1163105750744,179.756875,221.19935,277.8428,365.5608,88,96
"ZNF282",1.08480170069036e-07,817.904519318182,1110.313853125,28.7698450099971,43.1794555834706,656.3392,840.292025,943.7718,1282.39585,88,96
"ZNF160",0.181893834367418,500.890179545455,434.373040625,42.3301817469954,27.4460362002493,270.509925,246.6979,624.49275,530.4364,88,96
"ZNF415",0.806385466054905,46.5161090909091,49.9399885416667,13.0546618948925,5.93494848122082,8.305625,12.494775,37.033325,65.861975,88,96
"ZNF439",0.2003738592905,43.3107477272727,53.435540625,5.07836172460726,5.93461364765096,14.351625,13.97345,51.68065,73.139925,88,96
"ZNF440",0.292461164877452,465.757288636364,433.207879166667,21.3930732634638,22.0600395730802,330.5563,284.989575,590.974675,545.8422,88,96
"ZNF562",0.213828843279008,724.041430681818,672.6877625,29.3379983676307,28.8129056308319,524.3188,494.48765,860.823475,750.6167,88,96
"ZNF561",0.00756020781145106,531.660629545455,617.809065625,19.4835782710258,24.7635690538177,460.987675,472.178875,578.3321,727.0833,88,96
"ZNF584",0.00022102979295846,170.996307954545,234.147441666667,5.78333351212826,15.1362824673414,129.577575,158.1922,197.741325,247.529025,88,96
"ZNF274",0.0772811233108721,335.726760227273,390.364180208333,24.8995947188899,18.6007069465854,199.814475,262.589925,388.3473,461.369075,88,96
"ZIK1",0.656309600928552,24.1797045454545,26.9925447916667,5.07050013648695,3.86045086018075,7.196675,8.06285,22.637125,25.34105,88,96
"ZNF540",0.809587936664013,22.877325,21.9504739583333,2.2896911886078,3.01929771205314,7.635525,6.866275,28.314725,24.804975,88,96
"ZNF570",1.31528905433775e-07,21.3792090909091,47.5706427083333,2.20876186771687,4.0907974558744,7.396775,16.792825,28.1834,70.346775,88,96
"ZNF57",0.00594760260436333,187.309144318182,153.994189583333,9.6118789566811,7.32848222132999,125.341325,100.131975,231.962425,188.78405,88,96
"ZNF556",0.00822796071617227,16.4682965909091,27.2837052083333,3.05988233430037,2.67457853338507,0.868825,7.079025,21.873225,36.47935,88,96
"ZNF554",0.0213197195625,103.398669318182,87.2892479166667,5.33507617918183,4.4936750343697,69.711925,54.51195,123.590925,108.289575,88,96
"ZNF738",0.520560294982425,165.185720454545,147.722061458333,12.6211694208294,23.2510200134436,81.82085,35.57625,228.763425,173.12325,88,96
"ZNF596",0.0711324045445123,59.2826511363636,47.7406260416667,5.43233151762048,3.50284922570192,29.45195,21.446325,79.640725,60.061975,88,96
