"gene","p-adj-Lung Squamous Cell Carcinoma-Lung Adenocarcinoma","mean-Lung Adenocarcinoma","mean-Lung Squamous Cell Carcinoma","SEM-Lung Adenocarcinoma","SEM-Lung Squamous Cell Carcinoma","Q1-Lung Adenocarcinoma","Q1-Lung Squamous Cell Carcinoma","Q3-Lung Adenocarcinoma","Q3-Lung Squamous Cell Carcinoma","count-Lung Adenocarcinoma","count-Lung Squamous Cell Carcinoma"
"ZNF2",6.3245770610898e-05,113.724500193798,120.9086398,1.05668337397569,1.45783164660312,90.54605,91.410175,130.9336,142.227825,1032,1000
"ZNF589",5.14317477495752e-11,279.724625387597,388.9426738,4.8184897847688,9.65234610779732,168.52055,202.881775,355.1401,496.97715,1032,1000
"PRDM9",0.50253949826542,3.30063953488372,2.3697216,1.30355745538498,0.422888947478357,0,0,0,0.6782,1032,1000
"ZNF12",0.0600528756771477,759.622195736434,781.5673204,8.19734667574129,8.29664192009969,580.178775,608.031475,888.30255,903.8996,1032,1000
"ZNF202",5.14126519135516e-11,254.991306589147,310.35849,2.75604607050118,3.79728479399538,195.5137,233.96725,298.710425,371.467825,1032,1000
"ZNF3",2.34179610036911e-07,740.240511434108,813.44388,9.97478096808252,9.97628814081803,548.6274,592.660675,855.93945,966.65385,1032,1000
"ZNF606",2.82457061961949e-07,255.839012403101,228.3000372,3.29165041016393,4.23615966698862,183.795975,142.401475,313.981075,280.28325,1032,1000
"ZNF91",5.14126519135516e-11,344.025472868217,226.946256,5.9594475423542,6.23715020126054,230.959425,97.203825,424.848175,298.64495,1032,1000
"ZNF226",5.14306375265505e-11,309.061649418605,261.835032,3.9738191983607,3.78115458810103,221.989075,183.114575,365.49445,319.639225,1032,1000
"ZNF229",0.600036174173059,133.774716860465,137.5227514,4.56714748619325,5.52241741139832,23.1703,14.7075,191.544625,193.398725,1032,1000
"ZNF180",5.15375520038219e-11,157.458482364341,181.7876788,1.9685468519331,2.60688332323286,117.83135,126.379575,181.9084,216.725225,1032,1000
"ZNF641",0.00344767725744755,178.502232364341,189.5664176,2.4862985883903,2.85493159019066,122.722975,130.877475,224.107825,233.4539,1032,1000
"ZNF610",5.14126519135516e-11,68.6503986434109,42.9258956,1.39914220375349,1.43413379402134,34.7368,11.31485,93.3168,61.37545,1032,1000
"ZNF528",5.14566167453268e-11,261.652326937984,206.1660274,4.92402520792405,5.33683082373089,153.183925,85.656375,335.569475,273.79615,1032,1000
"ZNF701",5.14126519135516e-11,135.988867248062,98.713816,2.04154062668819,2.14269880440737,93.0604,51.010775,163.976525,134.036675,1032,1000
"ZNF283",3.64222207949183e-10,54.5118164728682,47.1409504,0.879958963348756,0.759814113494956,36.805625,31.0354,65.053975,58.2602,1032,1000
"ZNF558",5.14126519135516e-11,331.175231976744,444.2392376,4.68633095360152,7.91718640901638,229.264975,301.446925,408.915,520.7369,1032,1000
"ZNF597",5.14126519135516e-11,60.1587794573643,40.0130772,1.09588541237636,1.00661804121779,40.748425,12.146875,73.293225,59.027575,1032,1000
"ZNF30",1.89033500141988e-06,93.9828457364341,81.982759,1.92694935034889,1.59780027156286,58.468875,49.872675,108.7951,100.6447,1032,1000
"ZNF354A",0.0941386574462797,255.772068604651,265.3602792,3.53885786223576,4.52646419798751,183.068025,183.705875,299.41905,318.1255,1032,1000
"ZNF764",0.00275157661974823,212.056962984496,200.1421922,2.3866483796622,3.19919163896966,163.4435,144.7559,243.11935,227.60495,1032,1000
"ZNF747",0.0183763103990744,247.002831589147,236.0420156,3.2883734401376,3.27827129058177,188.762525,173.18015,280.84,275.640025,1032,1000
"ZNF778",5.14126519135516e-11,93.7975546511628,67.5991436,1.68163131126226,1.07018404075667,60.333225,45.9759,113.10585,80.80595,1032,1000
"ZNF212",0.0335717983650701,412.644454069767,427.6544296,4.62233460751571,5.35314563106416,312.901375,324.787025,478.10875,513.541375,1032,1000
"ZNF282",5.14126519135516e-11,778.94779496124,963.5292944,8.44679676106985,11.0500146498652,598.66875,725.880475,913.01205,1145.937425,1032,1000
"ZNF160",0.743514704667017,529.182025387597,525.748466,6.69231297090367,8.11856892612513,377.917275,358.1167,642.93645,647.646025,1032,1000
"ZNF415",5.14313036603653e-11,120.909563565891,85.0970362,2.38858096112473,2.82860453228335,55.895425,19.07705,167.510825,130.26135,1032,1000
"ZNF439",0.00275770564754041,91.3605610465116,82.5935504,1.93464425231332,2.20080990533604,40.652875,33.872775,127.452975,111.064325,1032,1000
"ZNF440",5.14126519135516e-11,272.084824224806,395.0389264,5.3610225983128,8.27234143460018,163.705175,229.985025,321.76455,481.2724,1032,1000
"ZNF562",5.14137621365762e-11,450.467995930233,554.6408448,5.10431266784796,7.59519909292928,341.739,408.4627,532.161725,643.975475,1032,1000
"ZNF561",5.14357445524638e-11,589.428518410853,693.4637336,6.80141913763699,10.7214825678837,443.3829,493.719225,683.618675,801.053125,1032,1000
"ZNF584",5.14126519135516e-11,168.135168992248,214.4842698,2.07280874307772,2.62985336444548,120.974575,156.129425,205.203575,262.7206,1032,1000
"ZNF274",5.14317477495752e-11,524.978234689922,438.8999878,5.99781261243167,6.26464241250961,373.643475,300.850025,657.473425,544.1823,1032,1000
"ZIK1",0.137485857895159,82.5199635658915,77.0705204,2.42824461436604,2.75726352203482,24.927925,14.945675,109.0705,115.0004,1032,1000
"ZNF540",5.14126519135516e-11,59.6675302325581,31.534946,1.75528766083584,1.60811992638158,23.06255,11.021425,74.92735,33.770875,1032,1000
"ZNF570",3.47902789687993e-07,53.2424003875969,61.598424,0.89601250326998,1.37908307672146,34.562325,33.962925,65.5633,78.9411,1032,1000
"ZNF57",5.14457365596854e-11,101.440450775194,129.374218,2.84448478506135,2.20609380562442,64.94565,83.306425,113.982025,154.68595,1032,1000
"ZNF556",5.14126519135516e-11,2.30825484496124,18.5805108,0.301978268395012,0.876114947392731,0,0.360375,0.599925,27.327225,1032,1000
"ZNF554",0.000749509833205986,100.749302713178,108.435039,1.40894358557363,1.79852376840851,69.9157,68.613375,122.01515,135.01225,1032,1000
"ZNF738",0.00638632041813181,209.910591472868,183.2103606,8.29546775507085,5.04166300904484,109.8829,72.388625,227.0148,233.096,1032,1000
"ZNF596",0.000450977902666461,49.044105620155,43.8353226,1.02293794394084,1.07377286181304,26.569875,23.06575,62.048525,53.482075,1032,1000
"ZNF621",5.14304154819456e-11,547.004472286822,468.0294208,6.17854694437149,6.22678411029694,404.4631,339.4177,641.803275,543.650825,1032,1000
"ZNF680",5.14390752215377e-11,330.505189534884,266.7633606,5.81208149568854,5.4021588175938,207.016975,165.51965,403.3697,317.67415,1032,1000
"ZNF483",5.14126519135516e-11,18.7712403100775,10.5486076,0.51884038896181,0.342095168995811,8.65055,4.27205,22.590575,13.286625,1032,1000
"ZNF417",0.0268597936139892,162.088623449612,155.0088708,2.11984454989328,2.39909690908106,114.779225,103.9439,200.93,186.332125,1032,1000
"ZNF791",5.20055110087014e-11,195.271553682171,221.2979334,2.23146796896214,2.82600170054239,146.782825,158.826925,239.8032,267.8405,1032,1000
"ZNF519",5.14126519135516e-11,38.4109209302326,61.293383,0.810207184537677,1.32377660322576,21.7573,33.0265,46.987,75.835875,1032,1000
"ZNF25",2.92854202443849e-07,222.746101550388,202.7599544,2.62271299497148,2.87141995382049,157.608125,142.25345,276.10495,241.324775,1032,1000
"ZNF77",5.14126519135516e-11,80.5325941860465,116.4882568,1.36797340842325,2.05641137327036,54.445375,73.27845,94.81855,141.17695,1032,1000
"ZNF169",0.000984389306324385,76.9130339147287,71.5689994,1.09736470883015,1.19342392058194,50.273025,46.863925,95.76065,87.86945,1032,1000
"ZNF613",5.14126519135516e-11,134.338590891473,87.3153688,3.04490069964797,1.49132614004682,85.42195,56.5631,148.2807,108.750575,1032,1000
"ZNF404",5.14392972661426e-11,49.5656158914729,34.9078146,1.5559455765594,0.964177839318972,20.8069,14.913425,58.050525,43.528675,1032,1000
"ZNF135",0.167821980605572,86.4018658914729,93.2373902,2.66789065891187,4.21304308240678,25.647525,17.220725,121.229325,118.3139,1032,1000
"ZNF620",5.14126519135516e-11,59.2943389534884,34.448862,0.982449258327324,0.796087732452421,40.2987,18.4549,71.49385,42.79865,1032,1000
"ZNF619",0.000683953005999882,53.7108023255814,50.335466,0.694425064591813,0.709079370962241,39.014725,33.9142,66.1348,61.750775,1032,1000
"ZNF354C",0.755131799209004,36.1418550387597,35.7391696,0.861194953130266,0.964408906695033,15.99925,16.014175,47.718425,46.18655,1032,1000
"ZNF114",6.55671121846391e-05,68.2889517441861,47.2318986,4.62649785118965,2.4083959631341,4.89105,6.4168,68.81295,58.111125,1032,1000
"ZNF454",5.14275289020816e-11,19.8803635658915,9.8311838,0.781846231854925,0.467088145421473,3.956075,2.171675,27.35485,10.439825,1032,1000
"ZNF543",5.14126519135516e-11,100.417015310078,150.557028,1.23904349037506,2.16211966816718,71.5681,102.02495,122.607925,188.1,1032,1000
