"gene","p-adj-MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","count-FEMALE","count-MALE"
"ZNF519",0.384027480973787,26.6431519480519,29.4247272300469,1.80148730114631,1.80308658429673,15.5234,16.1397,34.2766,35.1842,77,213
"ZNF25",0.0300129161656694,252.295784415584,225.474197183099,10.4850995882588,6.34964424812095,184.4906,162.7821,311.1653,273.6727,77,213
"ZNF77",0.405460295574295,63.7474948051948,60.650341314554,4.45079431517347,1.5548507282006,46.5914,46.9934,70.773,71.8824,77,213
"ZNF169",0.708842118822777,70.5462597402597,72.7816112676056,4.6336317302231,3.18088164933243,43.2966,42.7245,86.8421,92.9919,77,213
"ZNF613",0.130426435892863,99.0718506493507,90.9845483568075,4.32378690257365,2.79857544002699,77.0108,68.7772,117.9542,100.1391,77,213
"ZNF404",0.859294537315328,57.2072844155844,58.9531267605634,8.32632908370575,5.09289092261998,17.2639,19.7498,68.2163,72.825,77,213
"ZNF135",0.819972070277847,144.550794805195,147.977002347418,13.3704596885009,7.64437531097992,37.3366,71.1841,211.8372,200.8929,77,213
"ZNF620",0.329321779523376,60.6170558441558,57.5045727699531,2.66769235581525,1.65453610785608,42.5586,42.2088,80.2096,70.2681,77,213
"ZNF619",0.000288309109296669,55.8627155844156,43.0774638497653,3.31954121795521,1.7170095454613,36.3546,23.1377,74.4856,55.0517,77,213
"ZNF354C",0.0195769900938239,34.682725974026,25.6426671361502,4.05177332656176,1.79487277063478,5.2722,6.201,52.7211,36.9393,77,213
"ZNF114",0.89663131643092,38.0172493506494,47.1031220657277,28.1592558670845,40.7223700776085,1.292,1.0995,8.3793,5.7176,77,213
"ZNF454",0.205996187482609,19.7823064935065,16.6337788732394,2.58357681294387,1.16646331873553,3.4814,3.3296,31.3467,25.3165,77,213
"ZNF543",0.000188900534687564,97.0402480519481,78.461258685446,5.20239814774438,2.27932690934324,69.8487,55.522,120.7068,96.9539,77,213
"ZNF354B",0.500651987620558,110.403342857143,117.051321126761,7.73005035654543,5.22642210835804,59.3771,60.4634,133.6769,157.9247,77,213
"ZNF223",0.385176708163421,75.4210428571429,71.1894887323944,3.40298964835372,2.65289993879875,53.8654,51.6266,93.997,81.9936,77,213
"ZNF713",0.145232709858573,46.3690545454545,41.4017023474178,3.58469984298707,1.58334508034009,25.8398,23.8405,65.0929,52.7713,77,213
"ZNF552",0.0607147367254072,133.028416883117,115.586636150235,8.81121535197677,4.57033909042407,94.6776,85.031,151.2066,124.6144,77,213
"ZNF154",0.0839092383164078,48.8554025974026,37.0692732394366,7.64557407114837,3.01339547732854,8.6725,9.2943,61.6438,48.906,77,213
"ZNF571",0.816978421567939,76.8278376623377,77.8273291079812,3.27719235235755,2.30725022621209,55.4008,58.0593,91.949,90.6707,77,213
"ZNF443",0.568080560035454,109.235714285714,113.167072769953,6.33734119479457,3.44408065544179,67.9012,75.0658,126.0807,143.0429,77,213
"ZNF792",0.0159577113498978,92.5750428571429,79.9218014084507,4.09239433874369,2.76702891072874,69.3368,58.3774,112.1137,92.9072,77,213
"ZFP82",0.00181492311408304,61.8159363636364,49.5553215962441,4.02094540329526,1.83720062693435,36.129,29.8507,83.7221,65.6157,77,213
"ZNF707",0.968112783114847,193.237628571429,192.909421596244,8.28859614423503,3.9202923933335,140.6486,152.6932,214.664,228.7486,77,213
"ZNF746",0.271610455076052,534.22992987013,506.420161502347,26.4504612836853,11.8009339388064,394.4554,390.3728,609.6827,595.1597,77,213
"ZNF678",0.00144514974976939,31.0975311688312,22.2692248826291,2.79967011410211,1.30436986407552,13.3374,10.0209,44.5046,28.1111,77,213
"HKR1",0.531970107692459,667.569136363636,686.675432394366,26.3084169889383,15.7027200549144,542.7984,539.3411,789.2138,789.5708,77,213
"ZNF101",0.56948666468349,77.8317376623377,75.7255014084507,3.54700143551001,1.81767276151523,57.7089,59.0675,91.5789,86.6176,77,213
"ZNF716",0.330471541150906,2.42072597402597,1.05142535211268,1.66806061669183,0.59255750597432,0,0,0,0,77,213
"ZNF708",0.186093998958192,128.254164935065,116.5801342723,8.08981107438426,4.41615915007512,77.409,68.6845,163.902,145.5399,77,213
"ZNF721",0.519280764944595,384.580031168831,397.359392957746,15.9814647379486,10.4109144673586,265.5431,307.6477,448.4615,462.59,77,213
"ZNF662",0.134712030000176,112.818975324675,152.85443286385,12.1123285894462,15.4254603427494,13.0959,28.8915,182.4561,206.917,77,213
"ZNF320",6.87860800434592e-05,871.978546753247,1245.27937183099,48.818464968771,52.6470957054285,588.5947,680.1415,1107.0111,1611.7738,77,213
