"gene","p-adj-MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF746",0.93916722241558,613.84937826087,618.857568243243,70.4961240085749,23.4170918546238,447.0129,447.396625,666.37775,724.901225,532.788118181818,627.830779347826,514.4257,562.3929,501.94745,567.0149,447.396625,724.901225,20.9990136935905,22.6782224880274,1.17838735122388,1.09324417500914,0.236813849722206,0.128615661515107,"ESCA"
"ZNF678",0.493342970652166,74.3491347826087,81.6660844594595,9.49159710816986,3.93336035851698,45.66915,47.071725,90.4329,102.273775,68.5842363636364,81.301635326087,72.0721,70.07115,43.318,91.7497,47.071725,102.273775,8.77038284775707,3.53514960712884,1.18542743401009,0.972236829508228,0.245407350885687,-0.0406203086908397,"ESCA"
"HKR1",0.0662189763250094,378.14002173913,483.036374324324,38.9511501556631,21.5045017694171,240.3626,320.11205,501.70345,547.3777,625.897309090909,470.192292391304,583.6444,417.09715,521.35795,732.35125,303.04385,547.024725,56.6691163333697,19.6363686685812,0.751229132258517,0.714642597444608,-0.412675083879232,-0.484706184196074,"ESCA"
"ZNF101",0.650202928696062,148.012613043478,156.608624324324,14.8348961555097,7.08841640415588,102.84855,108.682775,157.91155,182.1296,123.995263636364,152.1753,103.6822,140.2767,88.8341,141.7465,104.810575,170.0449,18.8137836210402,6.0961709812734,1.22726703857237,1.35294872215289,0.295449196276764,0.436107161045685,"ESCA"
"ZNF716",0.886086216933568,11.051652173913,9.98550878378378,7.66297273278161,2.6782023007872,0,0,0.36855,0.93075,0,9.7931902173913,0,0,0,0,0,0.840125,0,2.37831345967044,Inf,NA,Inf,NA,"ESCA"
"ZNF708",0.740244258566986,147.71952173913,155.72497027027,15.9935774739158,9.16066635035255,106.57545,76.806075,168.196,203.981325,224.495736363636,150.981222282609,231.4521,132.08525,173.3322,283.21275,76.806075,199.3812,24.8683893206992,7.99270444282656,0.672534920832753,0.57068071536184,-0.572318914498041,-0.809244283094161,"ESCA"
"ZNF721",0.0696077726471451,645.326604347826,519.036956756757,105.565321245445,21.9189015443506,391.8763,338.643075,614.8288,623.674125,542.655990909091,538.44610923913,560.3923,453.33275,508.9344,593.8385,341.176775,625.362825,41.489288984419,24.1870620464983,0.992242080175126,0.808956065242153,-0.0112359528425714,-0.305866743503378,"ESCA"
"ZNF662",0.190887957935243,36.1082869565217,57.1000540540541,8.34453402444917,6.1556380608238,13.83235,14.104825,36.25415,69.232425,230.448254545455,57.0168972826087,227.8686,26.7967,177.182,297.6063,13.682275,65.512825,30.6798404608195,6.34135053587981,0.247417353605351,0.117597159064478,-2.0149814018392,-3.08807488720539,"ESCA"
"ZNF320",0.360170203325745,429.219534782609,371.421972972973,56.777937352233,23.207939253094,199.69155,133.165525,638.9477,548.297,339.526381818182,370.867990217391,320.8352,312.7442,262.90125,407.2852,133.165525,548.297,43.0731079523383,20.5214674786034,1.09230978821549,0.974781445427434,0.127382074700706,-0.036849304684325,"ESCA"
"ZNF530",0.802506760556291,68.7031086956522,66.0878804054054,8.13832852717326,3.91330456203785,35.454,34.285575,94.79185,82.51535,50.4907636363636,65.787710326087,45.2875,57.2423,42.70285,60.5224,33.402725,82.491525,4.30020009710484,3.50620976575415,1.30296524726567,1.26397571073696,0.381798604806962,0.337968740147905,"ESCA"
