"gene","p-adj-Locoregional Recurrence-Distant Metastasis","p-adj-New Primary Tumor-Distant Metastasis","p-adj-New Primary Tumor-Locoregional Recurrence","mean-Distant Metastasis","mean-Locoregional Recurrence","mean-New Primary Tumor","SEM-Distant Metastasis","SEM-Locoregional Recurrence","SEM-New Primary Tumor","Q1-Distant Metastasis","Q1-Locoregional Recurrence","Q1-New Primary Tumor","Q3-Distant Metastasis","Q3-Locoregional Recurrence","Q3-New Primary Tumor","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF420",0.858693418689545,0.709538022609549,0.863894786961879,60.490025,77.7729357142857,100.35115,12.4065181903422,16.952813749461,35.15305,43.7372,15.3013,82.774625,78.826175,112.914575,117.927675,135.7535,77.4753527173913,135.5471,69.5949,124.79595,144.77835,30.4378,112.0564,10.2572242927164,4.28343415666826,0.570706115992525,0.513437026686665,-0.809180071097096,-0.961740754776429,"ESCA"
"ZNF763",0.0501687893916695,0.609119757517843,0.696532698217353,50.9502,23.9971071428571,35.48095,11.8805491839252,4.76823752673561,2.68435,41.850175,8.1939,34.138775,57.129525,35.84475,36.823125,52.4225727272727,29.0991983695652,49.8824,23.64775,35.35095,65.3311,11.333075,42.161275,6.91072789732931,1.65850508151006,0.555089093413121,0.474070012669799,-0.849208748091928,-1.07682795670774,"ESCA"
"ZNF679",0.853321813244232,1,0.914285235941297,0,0.457457142857143,0,0,0.457457142857143,0,0,0,0,0,0,0,0,0.293729347826087,0,0,0,0,0,0,0,0.101854367621897,Inf,NA,Inf,NA,"ESCA"
"ZNF682",0.992355184008127,0.869117587671239,0.784302892681384,57.26515,62.3369,24.0037,43.7458695062269,20.1905380591945,16.3006,11.4801,5.277975,15.8534,63.15545,83.892,32.154,81.5789090909091,37.1223576086957,81.3559,15.0072,55.51465,101.3185,5.291875,45.288625,13.9997399303861,4.07494157339409,0.455048468070682,0.184463573016831,-1.13590787722179,-2.4385921469843,"ESCA"
"ZNF772",0.985672731721683,0.321991460973495,0.280393112572259,223.185975,211.470307142857,58.8737,44.5493311613911,37.0250302326185,43.4675,197.97115,109.50135,37.13995,256.075325,332.06625,80.60745,154.742381818182,195.874164673913,153.4229,165.85985,135.25445,196.2612,93.702475,271.313975,16.0551156715508,10.9113992982087,1.26580812814462,1.08106319200067,0.340058736872986,0.112450856209872,"ESCA"
"ZNF257",0.77145273501429,0.679129045819758,0.893821363536269,60.241875,34.4033928571429,11.8493,56.2223026345028,14.00990890033,8.698,3.93415,3.6297,7.5003,60.468975,49.560775,16.1983,30.1834272727273,20.0923076086957,26.7227,4.42105,13.3897,45.1829,2.30745,10.402425,6.47158005361752,3.33011973474862,0.665673497815484,0.165441740542685,-0.587113362910795,-2.59560482605677,"ESCA"
"ZNF785",0.91976423666382,0.861138484329771,0.949682939515424,211.18695,227.34785,244.26015,36.2938545477629,18.6021475575166,76.77625,153.962925,174.709175,205.872025,259.266825,267.04285,282.648275,262.391618181818,240.605747282609,262.2431,218.96545,245.68415,302.03985,170.1973,289.017425,18.3456638561755,7.94210743506922,0.91697192520794,0.834971253771786,-0.125050531168793,-0.260201565270464,"ESCA"
"ZNF98",0.608882119714484,0.996779535849561,0.803078856648883,0.5066,6.1043,1.1854,0.21901381615475,3.12852351802846,1.1854,0.21615,0.338275,0.5927,0.8366,1.654825,1.7781,2.38303636363636,4.12821630434783,2.3754,0.8429,1.56645,3.13185,0.325675,1.79595,0.399685552601889,0.868872582943301,1.73233458261142,0.354845499705313,0.792717598688725,-1.49473708527492,"ESCA"
"ZNF786",0.787282285436481,0.735948330655109,0.929524341153858,196.263575,234.635464285714,262.7692,45.5647092278914,26.2367147865994,115.3821,129.488125,171.45365,205.07815,247.11995,271.538425,320.46025,160.268945454545,224.22515923913,174.1382,204.45495,109.55765,178.77675,147.383525,275.525625,18.4677012453702,8.24568419240142,1.39905556003502,1.17409591921818,0.484453256709503,0.231550276018318,"ESCA"
"ZNF517",0.953857325460688,0.971036815651527,0.879464176921648,258.148675,278.025657142857,234.2133,52.4946384527724,33.9741074032255,1.0808,233.210475,188.124375,233.6729,308.06395,391.231275,234.7537,220.721045454545,221.49662826087,215.0245,186.88175,183.082,249.96215,140.45795,267.464325,14.6945624099304,9.88455449955633,1.00351385978952,0.869118402786659,0.00506054227255813,-0.202375361487509,"ESCA"
"ZNF675",0.512085768751772,0.961541060608148,0.853813586768184,107.3053,202.656814285714,141.8676,38.584597297432,44.4144169968749,37.5259,65.895375,81.761925,123.10465,165.328575,258.147425,160.63055,173.1425,140.862289673913,189.9837,117.9441,127.6827,211.27385,52.941425,190.413575,22.5234250869138,8.62281663603774,0.813562757115746,0.620811680159929,-0.297674457179436,-0.687772393756834,"ESCA"
"ZNF860",0.0412750586057492,0.26258836282193,0.989925985836865,144.854775,55.0816714285714,61.1755,56.5271756643707,10.9364406821417,1.6517,79.285325,20.7526,60.34965,200.99955,75.356975,62.00135,46.3869,81.4666483695652,22.6574,64.4209,15.9962,62.34175,34.0968,103.358475,14.1713621420872,5.06121346476321,1.75624256782767,2.84326092137668,0.812492120063326,1.5075464988408,"ESCA"
"ZNF695",0.404454933381712,0.20100817180052,0.546206916927462,101.53915,65.4564,26.5061,46.7744799803714,8.44045832554576,13.83,41.757425,51.917075,19.5911,144.424075,91.23835,33.4211,9.23735454545455,78.9667141304348,4.4199,57.707,3.00345,11.1593,31.14465,102.001125,3.2027260021699,5.52411614393356,8.54862869470483,13.0561777415779,3.09569301251102,3.70666069771593,"ESCA"
"ZNF665",0.559578799324186,0.727204784201854,0.994960850583928,3.204275,12.2009571428571,13.29975,1.37076217690196,4.47537534433882,11.19895,1.159,2.602875,7.700275,4.876625,9.121875,18.899225,31.1128909090909,12.4348010869565,29.1309,5.8698,17.91805,42.01855,2.212975,13.243275,4.82439367754134,1.32866996012313,0.399667170861425,0.201497379071707,-1.32312902195529,-2.31116702151795,"ESCA"
